close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
203954,Joel Embiid,1610612755,PHI,C-F,26.0,4,4,0.392,5.25,9.5,0.553,0.634,-0.082
201143,Al Horford,1610612755,PHI,C-F,34.0,4,4,0.34,2.25,4.5,0.5,0.606,-0.106
202692,Alec Burks,1610612755,PHI,G,28.0,4,4,0.407,1.5,2.75,0.545,0.586,-0.04
1629003,Shake Milton,1610612755,PHI,G-F,23.0,4,4,0.216,2.25,2.75,0.818,0.591,0.227
202699,Tobias Harris,1610612755,PHI,F,27.0,4,4,0.27,1.75,2.5,0.7,0.588,0.112
203124,Kyle O'Quinn,1610612755,PHI,C-F,30.0,1,1,0.667,0.0,2.0,0.0,0.476,-0.476
1626196,Josh Richardson,1610612755,PHI,G,26.0,4,4,0.216,1.5,2.0,0.75,0.574,0.177
1629680,Matisse Thybulle,1610612755,PHI,G-F,23.0,4,4,0.276,1.25,2.0,0.625,0.573,0.052
203526,Raul Neto,1610612755,PHI,G,28.0,2,2,0.3,1.0,1.5,0.667,0.542,0.124
1627788,Furkan Korkmaz,1610612755,PHI,G-F,22.0,4,4,0.357,0.75,1.25,0.6,0.602,-0.002
203118,Mike Scott,1610612755,PHI,F,31.0,3,2,0.6,0.0,1.0,0.0,0.669,-0.669
