close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
203954,Joel Embiid,1610612755,PHI,C-F,26.0,4,4,0.485,27,47,0.574,0.585,-0.01
201143,Al Horford,1610612755,PHI,C-F,34.0,4,4,0.396,10,21,0.476,0.574,-0.097
1629003,Shake Milton,1610612755,PHI,G-F,23.0,4,4,0.294,11,15,0.733,0.551,0.182
202699,Tobias Harris,1610612755,PHI,F,27.0,4,4,0.378,8,14,0.571,0.553,0.019
202692,Alec Burks,1610612755,PHI,G,28.0,4,4,0.444,7,12,0.583,0.539,0.045
1629680,Matisse Thybulle,1610612755,PHI,G-F,23.0,4,4,0.379,7,11,0.636,0.538,0.098
1626196,Josh Richardson,1610612755,PHI,G,26.0,4,4,0.27,7,10,0.7,0.532,0.168
1627788,Furkan Korkmaz,1610612755,PHI,G-F,22.0,4,4,0.357,3,5,0.6,0.541,0.059
203526,Raul Neto,1610612755,PHI,G,28.0,2,2,0.4,2,4,0.5,0.497,0.004
203118,Mike Scott,1610612755,PHI,F,31.0,3,2,0.6,0,3,0.0,0.622,-0.622
203124,Kyle O'Quinn,1610612755,PHI,C-F,30.0,1,1,0.667,0,2,0.0,0.436,-0.436
203658,Norvel Pelle,1610612755,PHI,F,27.0,1,1,0.5,1,1,1.0,0.8,0.2
