close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_10,fga_lt_10,lt_10_pct,ns_lt_10_pct,plusminus
202355,Hassan Whiteside,1610612757,POR,C,31.0,66,66,0.549,321,657,0.489,0.594,-0.105
203468,CJ McCollum,1610612757,POR,G,28.0,69,69,0.45,241,448,0.538,0.564,-0.026
203081,Damian Lillard,1610612757,POR,G,29.0,65,65,0.432,206,340,0.606,0.577,0.029
1629014,Anfernee Simons,1610612757,POR,G,21.0,69,66,0.454,146,269,0.543,0.558,-0.016
2546,Carmelo Anthony,1610612757,POR,F,36.0,57,56,0.394,127,228,0.557,0.587,-0.03
2772,Trevor Ariza,1610612757,POR,F,35.0,52,51,0.432,123,204,0.603,0.583,0.02
1629018,Gary Trent Jr.,1610612757,POR,G-F,21.0,59,52,0.435,96,177,0.542,0.563,-0.02
1626209,Mario Hezonja,1610612757,POR,F-G,25.0,52,48,0.474,95,174,0.546,0.579,-0.033
1629642,Nassir Little,1610612757,POR,F-G,20.0,44,37,0.504,66,124,0.532,0.58,-0.048
203918,Rodney Hood,1610612757,POR,G-F,27.0,21,20,0.524,57,98,0.582,0.577,0.004
1628403,Caleb Swanigan,1610612757,POR,F,23.0,24,20,0.514,45,74,0.608,0.587,0.021
1628380,Zach Collins,1610612757,POR,F-C,22.0,11,11,0.398,30,66,0.455,0.578,-0.123
203994,Jusuf Nurkić,1610612757,POR,C,25.0,8,8,0.47,39,62,0.629,0.576,0.053
1629117,Wenyen Gabriel,1610612757,POR,F,23.0,22,19,0.424,17,36,0.472,0.583,-0.111
1629658,Jaylen Hoard,1610612757,POR,F,21.0,10,9,0.643,10,18,0.556,0.536,0.02
1629650,Moses Brown,1610612757,POR,C,20.0,7,5,0.476,8,10,0.8,0.585,0.215
