close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
202331,Paul George,1610612746,LAC,F,31.0,19,19,0.345,3.0,5.05,0.594,0.656,-0.062
202694,Marcus Morris Sr.,1610612746,LAC,F,31.0,19,19,0.327,2.95,4.42,0.667,0.643,0.023
202695,Kawhi Leonard,1610612746,LAC,F,30.0,11,9,0.331,2.64,4.36,0.604,0.634,-0.03
202704,Reggie Jackson,1610612746,LAC,G,31.0,19,19,0.293,2.53,4.11,0.615,0.651,-0.035
201587,Nicolas Batum,1610612746,LAC,G-F,32.0,19,18,0.378,2.58,4.0,0.645,0.641,0.004
1627826,Ivica Zubac,1610612746,LAC,C,24.0,17,13,0.246,1.35,2.59,0.523,0.653,-0.13
1629611,Terance Mann,1610612746,LAC,G-F,24.0,17,14,0.243,1.47,2.12,0.694,0.648,0.046
201586,Serge Ibaka,1610612746,LAC,F,31.0,2,2,0.308,1.0,2.0,0.5,0.669,-0.169
202326,DeMarcus Cousins,1610612746,LAC,C,30.0,6,3,0.25,0.67,1.67,0.4,0.684,-0.284
200765,Rajon Rondo,1610612746,LAC,G,35.0,13,8,0.267,0.92,1.54,0.6,0.657,-0.057
201976,Patrick Beverley,1610612746,LAC,G,32.0,16,11,0.213,1.0,1.44,0.696,0.673,0.023
1628379,Luke Kennard,1610612746,LAC,G,25.0,15,13,0.247,0.8,1.33,0.6,0.616,-0.016
1630206,Jay Scrubb,1610612746,LAC,G,20.0,2,2,0.667,0.5,1.0,0.5,0.634,-0.134
1630187,Daniel Oturu,1610612746,LAC,C,21.0,4,3,0.429,0.75,0.75,1.0,0.6,0.4
1627812,Yogi Ferrell,1610612746,LAC,G,28.0,2,1,0.333,0.5,0.5,1.0,0.429,0.571
