close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
202710,Jimmy Butler III,1610612748,MIA,F,33.0,22,22,0.486,47,151,0.311,0.377,-0.065
1628997,Caleb Martin,1610612748,MIA,F,27.0,23,23,0.457,45,148,0.304,0.38,-0.076
1628389,Bam Adebayo,1610612748,MIA,C-F,25.0,23,23,0.413,56,140,0.4,0.378,0.022
1629216,Gabe Vincent,1610612748,MIA,G,27.0,22,22,0.493,39,138,0.283,0.386,-0.104
1629622,Max Strus,1610612748,MIA,G-F,27.0,23,23,0.457,47,127,0.37,0.378,-0.008
200768,Kyle Lowry,1610612748,MIA,G,37.0,23,20,0.392,29,78,0.372,0.372,0.0
1629130,Duncan Robinson,1610612748,MIA,F,29.0,23,19,0.477,21,61,0.344,0.371,-0.026
201567,Kevin Love,1610612748,MIA,F-C,34.0,20,17,0.293,14,39,0.359,0.384,-0.025
1629312,Haywood Highsmith,1610612748,MIA,F,26.0,15,12,0.455,9,30,0.3,0.37,-0.07
203469,Cody Zeller,1610612748,MIA,F-C,30.0,21,12,0.274,7,20,0.35,0.369,-0.019
203506,Victor Oladipo,1610612748,MIA,G,31.0,2,2,0.591,7,13,0.538,0.391,0.147
1629639,Tyler Herro,1610612748,MIA,G,23.0,1,1,0.5,2,5,0.4,0.403,-0.003
1631107,Nikola Jović,1610612748,MIA,F,20.0,3,3,0.8,0,4,0.0,0.365,-0.365
1630209,Omer Yurtseven,1610612748,MIA,C,25.0,3,1,0.333,1,2,0.5,0.351,0.15
