close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
201572,Brook Lopez,1610612749,MIL,C,35.0,5,5,0.326,4.0,9.0,0.444,0.362,0.082
201950,Jrue Holiday,1610612749,MIL,G,33.0,5,5,0.506,4.0,8.2,0.488,0.37,0.118
203114,Khris Middleton,1610612749,MIL,F,31.0,5,5,0.619,1.4,5.2,0.269,0.368,-0.098
1626192,Pat Connaughton,1610612749,MIL,G,30.0,4,4,0.567,2.0,4.25,0.471,0.375,0.095
1626171,Bobby Portis,1610612749,MIL,F,28.0,5,5,0.512,2.6,4.2,0.619,0.366,0.253
1628960,Grayson Allen,1610612749,MIL,G,27.0,5,5,0.457,2.0,4.2,0.476,0.367,0.11
203507,Giannis Antetokounmpo,1610612749,MIL,F,28.0,3,2,0.478,2.33,3.67,0.636,0.359,0.277
203109,Jae Crowder,1610612749,MIL,F,32.0,3,3,0.5,1.0,3.33,0.3,0.341,-0.041
1630699,MarJon Beauchamp,1610612749,MIL,F,22.0,1,1,1.0,2.0,3.0,0.667,0.392,0.275
202083,Wesley Matthews,1610612749,MIL,G,36.0,2,2,0.455,1.0,2.5,0.4,0.373,0.027
204060,Joe Ingles,1610612749,MIL,F-G,35.0,5,4,0.5,0.4,2.0,0.2,0.366,-0.166
203086,Meyers Leonard,1610612749,MIL,F-C,31.0,2,2,1.0,0.5,1.0,0.5,0.367,0.133
1628975,Jevon Carter,1610612749,MIL,G,27.0,4,2,0.333,0.75,0.75,1.0,0.366,0.634
201609,Goran Dragic,1610612749,MIL,G,37.0,2,1,0.5,0.5,0.5,1.0,0.356,0.644
