close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
1627826,Ivica Zubac,1610612746,LAC,C,28.0,7,7,0.31,3.29,7.0,0.469,0.398,0.071
1627739,Kris Dunn,1610612746,LAC,G,31.0,7,7,0.408,2.0,4.14,0.483,0.382,0.1
202695,Kawhi Leonard,1610612746,LAC,F,33.0,7,7,0.346,1.29,3.86,0.333,0.385,-0.052
201935,James Harden,1610612746,LAC,G,35.0,7,7,0.25,1.14,3.43,0.333,0.379,-0.045
201587,Nicolas Batum,1610612746,LAC,G-F,36.0,7,7,0.243,0.71,2.43,0.294,0.362,-0.068
1626181,Norman Powell,1610612746,LAC,G,32.0,7,7,0.313,1.0,2.14,0.467,0.374,0.092
203992,Bogdan Bogdanović,1610612746,LAC,G,32.0,7,7,0.359,0.57,2.0,0.286,0.376,-0.09
1629234,Drew Eubanks,1610612746,LAC,F-C,28.0,2,2,0.571,0.0,2.0,0.0,0.358,-0.358
1627884,Derrick Jones Jr.,1610612746,LAC,F,28.0,7,6,0.26,0.57,1.86,0.308,0.368,-0.06
1627732,Ben Simmons,1610612746,LAC,G-F,28.0,5,3,0.211,0.2,0.8,0.25,0.382,-0.132
1641757,Jordan Miller,1610612746,LAC,G,25.0,3,2,0.4,0.33,0.67,0.5,0.345,0.156
