close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
1629029,Luka Dončić,1610612747,LAL,F-G,26.0,50,50,0.433,2.36,6.5,0.363,0.355,0.008
1630559,Austin Reaves,1610612747,LAL,G,27.0,72,72,0.343,1.83,5.35,0.343,0.359,-0.016
2544,LeBron James,1610612747,LAL,F,40.0,69,68,0.471,1.78,5.19,0.344,0.357,-0.013
1629060,Rui Hachimura,1610612747,LAL,F,27.0,59,59,0.437,1.71,5.03,0.34,0.361,-0.021
1627827,Dorian Finney-Smith,1610612747,LAL,F,32.0,62,61,0.338,1.23,3.85,0.318,0.362,-0.044
1629216,Gabe Vincent,1610612747,LAL,G,28.0,72,68,0.424,1.24,3.51,0.352,0.363,-0.011
1628467,Maxi Kleber,1610612747,LAL,F,33.0,34,34,0.338,1.41,3.5,0.403,0.365,0.038
1642261,Dalton Knecht,1610612747,LAL,F,24.0,74,67,0.406,1.15,3.03,0.379,0.358,0.022
1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,55,48,0.314,1.22,3.02,0.404,0.366,0.038
1630692,Jordan Goodwin,1610612747,LAL,G,26.0,28,26,0.367,1.0,2.75,0.364,0.356,0.007
1629003,Shake Milton,1610612747,LAL,G,28.0,46,43,0.471,1.09,2.61,0.417,0.36,0.057
1629629,Cam Reddish,1610612747,LAL,F-G,25.0,32,28,0.394,0.84,2.56,0.329,0.356,-0.026
1629020,Jarred Vanderbilt,1610612747,LAL,F,26.0,34,31,0.336,0.74,2.26,0.325,0.366,-0.041
1641998,Trey Jemison III,1610612747,LAL,C,25.0,34,30,0.374,0.79,2.09,0.38,0.348,0.032
202693,Markieff Morris,1610612747,LAL,F,35.0,15,11,0.382,0.67,1.73,0.385,0.366,0.018
203458,Alex Len,1610612747,LAL,C,31.0,40,29,0.32,0.55,1.63,0.338,0.362,-0.024
1631132,Christian Koloko,1610612747,LAL,C,24.0,36,23,0.327,0.5,1.47,0.34,0.346,-0.006
1642355,Bronny James,1610612747,LAL,G,20.0,19,13,0.361,0.53,1.37,0.385,0.362,0.023
1642422,Armel Traoré,1610612747,LAL,F,22.0,8,4,0.348,0.63,1.0,0.625,0.388,0.237
1642439,Quincy Olivari,1610612747,LAL,G,24.0,2,2,0.667,0.5,1.0,0.5,0.203,0.298
