close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,71,71,0.714,476,854,0.557,0.554,0.003
1628404,Josh Hart,1610612752,NYK,G,30.0,76,76,0.61,401,717,0.559,0.544,0.015
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,80,80,0.64,355,666,0.533,0.531,0.002
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,73,73,0.557,287,560,0.513,0.543,-0.031
1628973,Jalen Brunson,1610612752,NYK,G,28.0,64,64,0.591,266,462,0.576,0.532,0.044
1630540,Miles McBride,1610612752,NYK,G,24.0,63,63,0.628,193,393,0.491,0.528,-0.037
1630173,Precious Achiuwa,1610612752,NYK,F,25.0,56,55,0.689,196,375,0.523,0.554,-0.031
1626166,Cameron Payne,1610612752,NYK,G,30.0,71,65,0.607,105,202,0.52,0.535,-0.015
1629013,Landry Shamet,1610612752,NYK,G,28.0,47,46,0.631,112,185,0.605,0.534,0.071
1626153,Delon Wright,1610612752,NYK,G,33.0,37,37,0.633,83,155,0.535,0.529,0.006
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,22,21,0.74,49,97,0.505,0.558,-0.053
1629011,Mitchell Robinson,1610612752,NYK,C-F,27.0,16,16,0.695,49,89,0.551,0.569,-0.019
1642278,Tyler Kolek,1610612752,NYK,G,24.0,25,24,0.67,39,67,0.582,0.551,0.031
1630699,MarJon Beauchamp,1610612752,NYK,F,24.0,28,21,0.541,17,33,0.515,0.503,0.013
1642359,Pacôme Dadiet,1610612752,NYK,F,19.0,16,16,0.565,16,26,0.615,0.532,0.083
1630346,Matt Ryan,1610612752,NYK,F,28.0,12,7,0.458,8,11,0.727,0.539,0.188
200782,P.J. Tucker,1610612752,NYK,F,40.0,3,2,0.478,8,11,0.727,0.506,0.222
1641755,Kevin McCullar Jr.,1610612752,NYK,G,24.0,3,2,0.7,5,7,0.714,0.514,0.2
1641817,Anton Watson,1610612752,NYK,F,24.0,6,6,0.857,4,6,0.667,0.481,0.186
