player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
201143,Al Horford,Al,1610612737,ATL,30.0,82,48,34,0.585,32.1,98.7,5.5,0.158,0.241,0.8,0.144,1.5,0.383,10.0,8.7,7.6,26.7,0.154,1,48,307,133,60,55,39,146,134,132,362,19,79,383,425,354,386,4
203471,Dennis Schröder,Dennis,1610612737,ATL,22.0,80,47,33,0.588,20.3,95.9,2.2,0.106,0.165,0.9,0.226,0.1,0.047,6.3,5.4,4.4,16.2,0.113,44,53,291,128,232,26,258,302,283,117,140,371,395,217,253,173,211,37
204002,Edy Tavares,Edy,1610612737,ATL,24.0,11,7,4,0.636,6.6,114.1,1.3,0.197,0.275,0.1,0.083,0.5,0.857,3.9,1.4,1.8,6.0,0.0,438,410,27,95,440,456,387,71,95,452,446,109,1,98,21,36,37,456
201952,Jeff Teague,Jeff,1610612737,ATL,28.0,79,47,32,0.595,28.5,102.1,2.3,0.074,0.113,1.2,0.228,0.3,0.081,9.6,8.2,7.8,25.2,0.106,63,53,282,119,110,141,248,434,427,47,135,218,344,366,395,363,366,53
203145,Kent Bazemore,Kent,1610612737,ATL,26.0,75,44,31,0.587,27.8,100.6,4.7,0.156,0.24,1.3,0.249,0.5,0.138,9.2,8.3,7.5,23.7,0.117,126,72,265,129,124,95,66,149,137,40,101,123,242,351,401,349,340,30
2550,Kirk Hinrich,Kirk,1610612737,ATL,35.0,46,26,20,0.565,13.7,98.5,1.3,0.093,0.142,0.3,0.158,0.0,0.03,4.4,4.1,3.2,11.7,0.065,322,258,155,159,350,53,375,355,345,359,315,423,424,116,172,96,122,204
2743,Kris Humphries,Kris,1610612737,ATL,31.0,53,29,24,0.547,15.7,105.5,3.0,0.19,0.28,0.3,0.121,0.4,0.225,5.1,4.0,4.8,14.6,0.043,291,215,185,171,308,296,161,81,80,372,409,154,165,151,160,207,185,319
2594,Kyle Korver,Kyle,1610612737,ATL,35.0,80,46,34,0.575,30.0,98.3,3.1,0.096,0.145,0.8,0.137,0.4,0.113,9.7,8.1,7.7,25.4,0.146,44,65,307,152,92,52,159,345,333,162,379,153,283,374,393,358,371,9
203934,Lamar Patterson,Lamar,1610612737,ATL,24.0,35,23,12,0.657,11.3,102.1,1.3,0.122,0.178,0.3,0.12,0.1,0.063,3.3,2.3,3.1,10.2,0.043,365,278,88,86,383,140,382,243,247,397,412,412,372,69,67,95,102,320
203488,Mike Muscala,Mike,1610612737,ATL,24.0,60,34,26,0.567,9.4,100.5,1.3,0.138,0.21,0.2,0.114,0.5,0.403,3.3,2.3,2.2,8.5,0.04,253,165,217,158,402,94,381,193,180,415,423,147,71,72,64,53,75,335
203118,Mike Scott,Mike,1610612737,ATL,27.0,75,46,29,0.613,15.3,94.4,2.0,0.126,0.19,0.3,0.116,0.2,0.148,5.1,3.5,3.3,12.2,0.094,126,65,246,111,313,15,283,231,224,352,419,274,232,150,124,104,127,85
200794,Paul Millsap,Paul,1610612737,ATL,31.0,81,48,33,0.593,32.7,101.6,6.6,0.189,0.289,1.8,0.29,1.7,0.389,10.8,9.5,8.7,28.7,0.125,19,48,291,121,52,125,17,83,68,12,51,10,76,423,459,406,418,21
200757,Thabo Sefolosha,Thabo,1610612737,ATL,32.0,75,42,33,0.56,23.4,98.8,3.8,0.15,0.228,1.1,0.239,0.5,0.177,7.9,6.1,5.4,20.1,0.112,126,90,291,164,178,56,107,163,153,66,113,129,195,305,300,244,281,41
201168,Tiago Splitter,Tiago,1610612737,ATL,31.0,36,21,15,0.583,16.1,94.8,2.1,0.126,0.189,0.6,0.154,0.3,0.19,5.8,3.9,4.4,12.1,0.096,360,293,114,135,299,20,278,228,228,244,329,205,184,188,155,170,126,80
203501,Tim Hardaway Jr.,Tim,1610612737,ATL,24.0,51,29,22,0.569,16.9,97.8,1.5,0.084,0.126,0.4,0.147,0.1,0.07,5.6,4.0,3.2,13.4,0.086,306,215,165,157,290,41,351,395,388,316,353,352,357,183,166,97,157,111
