player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
201166,Aaron Brooks,Aaron,1610612741,CHI,31.0,69,36,33,0.522,49.3,1.7,0.7,1.8,8.2,16.1,12.8,14.1,42.2,0.4,1.5,5.9,3.4,40.9,185,151,291,204,204,407,441,274,210,207,226,297,303,308,395,384,247,217
1626171,Bobby Portis,Bobby,1610612741,CHI,21.0,62,29,33,0.468,49.3,2.1,4.5,2.1,10.5,16.2,13.5,14.0,45.5,1.0,1.0,4.5,3.0,45.0,235,215,291,273,198,367,53,235,135,224,303,294,129,175,280,267,300,140
1626245,Cristiano Felicio,Cristiano,1610612741,CHI,23.0,31,14,17,0.452,49.0,3.7,3.1,1.5,9.2,16.5,11.5,13.1,39.4,2.0,0.8,4.7,3.4,47.5,376,352,130,280,243,128,145,307,174,247,102,225,423,76,184,292,254,105
201565,Derrick Rose,Derrick,1610612741,CHI,27.0,66,32,34,0.485,49.1,2.9,1.6,2.8,11.9,16.1,15.3,14.1,47.6,0.3,1.8,2.0,3.6,42.5,207,183,307,258,240,222,320,156,84,199,440,295,58,358,433,9,233,181
203926,Doug McDermott,Doug,1610612741,CHI,24.0,81,41,40,0.506,48.3,3.0,2.5,2.4,6.3,16.9,13.7,14.5,43.5,0.2,0.9,3.3,1.7,28.4,19,96,378,223,332,213,205,203,288,280,324,327,207,419,216,115,427,438
202734,E'Twaun Moore,E'Twaun,1610612741,CHI,27.0,59,29,30,0.492,49.1,3.0,1.8,2.3,7.7,16.9,15.1,15.0,46.4,0.7,1.0,4.0,1.6,33.6,260,215,258,250,228,218,290,222,230,278,430,353,91,239,260,203,435,365
202710,Jimmy Butler III,Jimmy,1610612741,CHI,26.0,67,37,30,0.552,49.7,4.4,3.2,3.5,10.8,15.6,15.2,13.7,45.1,0.9,1.1,2.5,7.4,53.0,200,139,258,167,140,59,130,85,118,144,432,268,149,202,306,23,22,57
201149,Joakim Noah,Joakim,1610612741,CHI,31.0,29,15,14,0.517,49.3,1.7,3.8,0.6,7.5,16.5,14.2,12.3,40.5,2.3,1.2,6.0,3.3,53.1,385,347,104,207,197,406,80,420,243,242,366,153,391,56,334,397,260,56
203200,Justin Holiday,Justin,1610612741,CHI,27.0,53,28,25,0.528,48.7,2.1,1.0,2.5,4.3,18.3,12.3,15.2,42.9,1.2,1.3,3.8,3.0,34.3,291,237,201,196,296,359,414,193,388,360,189,360,249,138,341,182,296,350
2399,Mike Dunleavy,Mike,1610612741,CHI,35.0,31,13,18,0.419,49.3,2.0,1.9,2.5,4.5,15.7,14.6,13.0,46.8,0.7,0.8,4.6,2.4,29.9,376,361,139,308,194,385,275,199,385,165,399,209,81,237,188,283,369,422
202703,Nikola Mirotic,Nikola,1610612741,CHI,25.0,66,37,29,0.561,48.7,2.9,3.3,2.0,5.1,16.2,13.5,13.3,48.2,1.4,0.7,4.5,4.1,46.5,207,139,246,163,288,228,122,250,353,222,300,236,47,119,157,265,173,119
2200,Pau Gasol,Pau,1610612741,CHI,35.0,72,36,36,0.5,49.2,2.2,4.2,0.8,9.6,16.3,15.7,14.1,45.8,3.1,1.3,3.2,5.6,64.0,157,151,331,224,214,355,60,397,162,228,450,299,112,24,346,92,76,11
203915,Spencer Dinwiddie,Spencer,1610612741,CHI,23.0,12,5,7,0.417,49.9,0.9,1.6,1.6,8.2,14.1,8.8,10.7,39.5,0.0,1.3,6.3,9.7,35.5,431,426,49,315,114,451,325,303,212,56,16,59,420,444,337,414,2,328
201959,Taj Gibson,Taj,1610612741,CHI,31.0,73,37,36,0.507,50.0,2.1,4.0,0.8,11.1,16.6,15.4,15.0,44.8,2.0,1.4,4.7,4.2,43.5,144,139,331,219,105,358,72,395,107,254,443,351,157,75,382,284,164,161
203503,Tony Snell,Tony,1610612741,CHI,24.0,64,33,31,0.516,48.9,2.0,1.9,1.9,3.6,14.8,14.2,11.8,43.2,0.6,1.1,3.8,1.4,27.0,227,170,265,208,267,387,278,268,413,93,364,122,230,251,284,174,444,448
