player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
101112,Channing Frye,Channing,1610612739,CLE,33.0,17,12,5,0.706,237.26666666666668,97.0,5.5,0.155,0.206,0.9,0.167,1.4,0.5,10.0,5.5,4.4,23.7,0.169,34,18,142,16,57,41,75,68,86,98,102,36,16,77,30,21,29,42
2563,Dahntay Jones,Dahntay,1610612739,CLE,35.0,15,11,4,0.733,50.03,76.5,5.0,0.117,0.171,0.7,0.125,0.7,0.333,8.6,5.0,9.4,17.3,0.427,38,19,62,15,161,8,86,111,119,124,130,72,40,53,27,119,11,8
202697,Iman Shumpert,Iman,1610612739,CLE,26.0,21,16,5,0.762,366.835,105.2,3.6,0.105,0.157,1.0,0.192,0.3,0.086,11.0,8.5,4.8,26.3,0.073,10,1,142,6,33,121,134,133,137,87,95,116,116,100,85,25,52,121
2747,JR Smith,JR,1610612739,CLE,30.0,21,16,5,0.762,730.235,106.8,3.0,0.084,0.123,1.3,0.198,0.2,0.069,10.5,8.1,6.3,28.8,0.055,10,1,142,6,9,137,164,156,164,66,91,124,121,85,72,41,98,137
2592,James Jones,James,1610612739,CLE,35.0,12,9,3,0.75,54.7,83.2,2.0,0.049,0.071,0.0,0.0,0.0,0.0,13.2,8.6,7.2,23.7,0.331,49,40,37,12,156,12,193,197,197,172,172,143,143,161,86,63,30,13
203895,Jordan McRae,Jordan,1610612739,CLE,25.0,2,2,0,1.0,4.166666666666667,37.5,17.3,0.286,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.849,197,122,1,1,211,1,1,6,10,172,172,143,143,1,1,1,12,2
201567,Kevin Love,Kevin,1610612739,CLE,27.0,20,15,5,0.75,612.795,106.9,8.3,0.239,0.342,0.5,0.092,0.5,0.151,8.6,8.7,7.1,29.0,0.052,16,7,142,12,14,139,23,19,22,142,150,95,91,54,89,59,103,142
202681,Kyrie Irving,Kyrie,1610612739,CLE,24.0,21,16,5,0.762,773.71,107.7,2.2,0.063,0.092,1.7,0.286,0.6,0.171,10.0,8.3,6.7,29.7,0.044,10,1,142,6,4,147,187,184,189,33,36,83,83,76,78,55,118,149
2544,LeBron James,LeBron,1610612739,CLE,31.0,21,16,5,0.762,822.0883333333334,103.3,6.9,0.193,0.279,2.1,0.348,1.2,0.351,9.3,7.8,5.7,27.5,0.093,10,1,142,6,3,105,44,35,48,22,22,47,39,60,59,32,73,105
203521,Matthew Dellavedova,Matthew,1610612739,CLE,25.0,20,15,5,0.75,241.13,101.3,1.6,0.049,0.068,0.1,0.032,0.1,0.056,12.1,5.5,6.4,27.2,0.12,16,7,142,12,56,81,198,196,199,171,170,136,128,130,31,43,64,79
2590,Mo Williams,Mo,1610612739,CLE,33.0,13,10,3,0.769,68.09333333333333,90.4,3.2,0.077,0.115,2.1,0.4,0.0,0.0,13.7,9.0,5.8,22.2,0.251,46,29,37,4,149,23,155,172,172,23,14,143,143,176,100,36,24,20
2210,Richard Jefferson,Richard,1610612739,CLE,36.0,21,16,5,0.762,381.235,103.1,5.5,0.158,0.223,0.9,0.172,0.1,0.034,11.1,7.2,6.4,25.7,0.098,10,1,142,6,31,102,73,65,71,94,99,142,140,107,50,44,48,102
202389,Timofey Mozgov,Timofey,1610612739,CLE,29.0,13,10,3,0.769,75.57166666666667,105.4,7.6,0.211,0.32,1.4,0.333,1.4,1.0,13.3,9.5,9.5,23.8,0.071,46,29,37,4,146,125,30,26,25,51,24,31,1,164,111,126,32,123
202684,Tristan Thompson,Tristan,1610612739,CLE,25.0,21,16,5,0.762,622.1433333333333,104.0,5.9,0.166,0.245,0.5,0.074,1.0,0.321,9.9,8.9,6.5,28.6,0.086,10,1,142,6,12,110,64,58,60,147,157,54,50,74,94,51,91,110
