player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
2760,Anderson Varejao,Anderson,1610612744,GSW,33.0,17,11,6,0.647,49.4,2.7,7.4,0.357,0.0,0.0,0.0,5.3,10.1,0.526,6.4,4.8,11.2,6.9,1.1,1.1,1.1,1.1,9.0,11.7,10.6,9.6,39.7,0,0,33.0,34,19,33,23,141,197,204,161,147,170,147,37,14,152,14,142,57,32,167,117,70,81,12,4,176,31,98,49,4,134
2738,Andre Iguodala,Andre,1610612744,GSW,32.0,24,15,9,0.625,48.6,4.9,10.4,0.476,1.6,4.1,0.385,2.0,3.6,0.561,2.2,4.4,6.7,5.7,1.5,1.8,0.6,0.4,2.3,3.5,13.5,3.9,36.0,1,0,32.4,1,7,9,24,162,152,175,65,93,122,54,128,107,147,75,153,131,51,150,60,97,133,193,114,153,59,130,30,4,140
101106,Andrew Bogut,Andrew,1610612744,GSW,31.0,22,15,7,0.682,49.6,6.5,10.4,0.623,0.0,0.3,0.0,0.7,1.9,0.357,6.4,10.6,17.0,4.1,2.6,1.9,4.7,0.8,9.8,2.7,13.7,4.6,57.5,2,0,48.0,9,7,17,18,131,109,174,19,147,167,147,172,156,173,15,29,17,74,83,55,6,101,10,141,152,54,18,18,4,43
201575,Brandon Rush,Brandon,1610612744,GSW,30.0,14,8,6,0.571,49.1,4.0,8.9,0.45,1.8,5.4,0.333,0.4,0.9,0.5,0.0,10.3,10.3,1.3,0.9,0.9,0.9,0.0,4.0,1.3,10.3,-0.4,29.1,0,0,27.2,39,41,33,56,152,173,193,96,84,93,74,177,180,153,176,33,70,169,179,130,82,155,135,179,182,95,172,49,4,177
203110,Draymond Green,Draymond,1610612744,GSW,26.0,23,15,8,0.652,48.8,6.6,15.3,0.431,2.1,5.8,0.365,4.4,5.9,0.738,2.1,10.5,12.7,7.7,3.1,2.1,2.3,1.1,4.5,5.8,19.7,7.8,56.3,9,1,50.8,6,7,16,22,156,105,108,111,68,81,60,62,58,103,78,30,49,23,66,48,22,82,109,50,83,41,23,4,2,32
203105,Festus Ezeli,Festus,1610612744,GSW,26.0,23,14,9,0.609,46.6,8.5,15.9,0.536,0.0,0.0,0.0,4.4,10.1,0.432,5.3,8.7,14.0,1.8,3.2,0.2,1.6,2.3,7.8,6.2,21.4,-0.2,43.3,0,0,40.9,6,16,9,39,196,61,99,33,147,170,147,63,13,167,24,54,34,150,63,170,48,19,24,39,68,94,72,49,4,69
203084,Harrison Barnes,Harrison,1610612744,GSW,24.0,24,15,9,0.625,48.9,5.4,14.0,0.385,1.7,5.0,0.342,1.7,2.2,0.765,1.8,5.6,7.4,2.0,1.2,1.1,0.3,0.8,3.0,2.2,14.2,2.8,29.0,1,0,28.0,1,7,9,24,154,140,126,144,89,100,71,141,151,87,96,124,112,144,159,110,131,103,171,156,144,67,173,30,4,174
203546,Ian Clark,Ian,1610612744,GSW,25.0,16,10,6,0.625,46.4,7.9,16.0,0.491,1.8,5.4,0.333,2.4,3.0,0.8,0.6,4.5,5.1,4.8,2.7,2.4,0.0,1.5,5.4,3.6,19.9,4.8,37.9,0,0,36.6,36,29,33,24,201,76,97,58,83,91,74,103,124,73,161,151,161,58,79,33,143,46,73,103,82,53,113,49,4,110
203949,James Michael McAdoo,James Michael,1610612744,GSW,23.0,8,4,4,0.5,45.6,2.4,4.8,0.5,0.0,0.0,0.0,1.2,4.8,0.25,0.0,9.6,9.6,2.4,1.2,3.6,2.4,2.4,7.2,6.0,6.0,-14.5,38.1,0,0,30.1,91,75,75,60,208,200,211,46,147,170,147,155,78,176,176,43,80,126,158,8,20,16,30,46,197,162,110,49,4,160
202691,Klay Thompson,Klay,1610612744,GSW,26.0,24,15,9,0.625,48.5,11.5,25.9,0.444,5.6,13.2,0.424,4.7,5.5,0.854,0.9,4.2,5.0,3.1,2.7,1.5,0.5,1.4,3.0,4.6,33.3,3.7,47.3,0,0,51.0,1,7,9,24,165,29,25,100,6,5,39,49,63,53,143,163,166,105,81,82,110,55,170,73,21,64,55,49,4,31
2571,Leandro Barbosa,Leandro,1610612744,GSW,33.0,23,14,9,0.609,48.2,9.7,16.7,0.58,2.1,5.3,0.393,3.0,4.0,0.762,2.1,3.0,5.1,2.8,2.1,2.1,0.2,1.5,4.5,3.2,24.4,5.9,39.6,0,0,39.0,6,16,9,39,176,46,91,24,71,94,49,90,99,88,80,186,162,111,111,44,139,45,105,121,51,47,99,49,4,88
201578,Marreese Speights,Marreese,1610612744,GSW,28.0,24,15,9,0.625,47.4,10.8,27.8,0.39,4.2,10.1,0.419,5.7,7.3,0.774,3.5,7.5,11.1,2.6,4.7,0.7,1.9,0.9,10.1,6.8,31.6,1.4,51.9,0,0,54.7,1,7,9,24,193,35,14,140,16,16,41,29,40,85,47,76,59,118,26,144,37,91,9,24,26,75,41,49,4,24
2733,Shaun Livingston,Shaun,1610612744,GSW,30.0,24,15,9,0.625,48.5,7.7,15.8,0.488,0.0,0.1,0.0,3.0,3.5,0.865,1.2,5.9,7.2,7.5,2.7,1.1,0.5,0.8,4.5,3.3,18.5,7.4,40.5,0,0,36.4,1,7,9,24,166,77,101,59,147,168,147,91,109,47,121,111,118,26,78,109,113,98,108,118,97,42,93,49,4,113
201939,Stephen Curry,Stephen,1610612744,GSW,28.0,18,11,7,0.611,48.1,11.6,26.5,0.438,6.3,15.5,0.404,6.0,6.5,0.916,1.1,6.7,7.8,7.3,5.9,2.0,0.4,1.2,3.1,6.8,35.4,3.7,57.0,3,0,61.6,25,19,17,31,180,28,23,103,4,4,44,27,51,34,130,95,106,29,15,49,118,72,169,26,13,63,22,12,4,14
