player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
101139,CJ Miles,CJ,1610612754,IND,29.0,64,34,30,0.531,1463.6066666666666,4.5,2.1,4.0,5.3,16.9,13.7,12.6,42.8,1.0,0.9,4.7,3.5,40.5,227,165,258,190,197,47,236,61,338,303,344,205,222,179,243,294,239,208
201588,George Hill,George,1610612754,IND,30.0,74,41,33,0.554,2524.4133333333334,3.9,1.8,2.9,5.2,15.4,12.2,10.9,39.9,0.3,0.6,2.8,3.7,35.0,135,96,291,166,38,90,286,135,343,175,207,76,362,354,136,55,203,325
203922,Glenn Robinson III,Glenn,1610612754,IND,22.0,45,24,21,0.533,508.1983333333333,4.6,1.8,3.6,7.4,16.2,10.9,15.4,42.9,0.9,1.3,2.0,3.3,33.2,327,271,163,186,349,41,289,77,240,254,79,380,220,200,372,10,254,359
101133,Ian Mahinmi,Ian,1610612754,IND,29.0,71,41,30,0.577,1815.763333333333,3.0,2.7,1.0,13.2,15.8,11.2,11.3,39.0,2.0,1.1,5.8,4.6,46.1,172,96,258,147,140,205,180,357,55,216,108,101,396,70,302,389,128,116
1626202,Joe Young,Joe,1610612754,IND,24.0,41,19,22,0.463,383.5133333333333,3.8,1.1,3.1,6.8,15.0,13.1,12.4,45.8,0.0,0.8,3.8,3.3,40.5,338,311,165,276,375,108,393,113,265,139,294,187,85,444,183,182,260,207
201941,Jordan Hill,Jordan,1610612754,IND,28.0,73,40,33,0.548,1512.6666666666667,2.4,4.9,0.3,12.9,16.6,14.1,13.3,41.9,1.2,1.0,4.9,2.9,45.8,144,108,291,170,190,314,33,443,62,283,377,251,275,141,272,324,303,119
202730,Lavoy Allen,Lavoy,1610612754,IND,27.0,79,43,36,0.544,1598.8066666666666,2.4,3.9,0.5,8.8,15.8,12.5,12.2,38.2,1.3,0.7,4.4,2.2,35.6,63,81,331,174,182,315,74,432,184,210,228,172,417,128,144,271,392,311
101145,Monta Ellis,Monta,1610612754,IND,30.0,81,44,37,0.543,2733.968333333333,3.5,1.7,3.1,6.9,16.7,13.1,12.8,41.2,0.6,0.6,3.1,3.4,41.8,19,72,343,177,17,143,308,119,259,290,288,222,296,245,109,87,245,183
1626167,Myles Turner,Myles,1610612754,IND,20.0,60,32,28,0.533,1367.185,3.0,3.3,1.6,10.0,15.4,13.5,11.6,42.8,3.0,0.8,5.5,4.3,47.2,253,183,238,186,214,201,112,293,137,172,324,131,221,26,214,372,147,97
202331,Paul George,Paul,1610612754,IND,26.0,81,44,37,0.543,2818.9333333333334,6.4,3.1,4.5,7.4,16.3,12.9,12.0,40.9,0.5,1.3,3.9,7.4,56.6,19,72,343,177,10,6,135,36,237,262,263,164,313,293,367,206,18,26
1626176,Rakeem Christmas,Rakeem,1610612754,IND,24.0,1,1,0,1.0,6.1,0.0,0.0,0.0,31.5,78.7,23.6,15.7,63.0,0.0,0.0,7.9,0.0,40.9,474,459,1,1,475,457,453,449,2,476,473,393,3,444,1,459,465,199
201155,Rodney Stuckey,Rodney,1610612754,IND,30.0,58,33,25,0.569,1275.4633333333334,3.6,0.9,4.7,7.5,16.8,13.6,11.5,41.8,0.3,1.1,2.9,5.1,37.4,268,170,201,156,227,124,426,33,236,299,335,124,276,366,314,64,101,268
203963,Shayne Whittington,Shayne,1610612754,IND,25.0,7,4,3,0.571,40.71666666666667,1.2,2.4,0.0,11.8,20.0,8.3,10.6,30.7,1.2,0.0,8.3,2.4,36.4,451,434,20,153,457,440,212,449,81,429,14,62,469,138,1,464,370,292
203524,Solomon Hill,Solomon,1610612754,IND,25.0,59,31,28,0.525,866.1666666666666,3.0,2.5,1.5,6.6,15.1,14.1,11.9,41.9,0.6,0.7,3.8,2.1,35.6,260,198,238,201,291,197,196,304,271,145,375,155,274,254,172,184,398,312
201951,Ty Lawson,Ty,1610612754,IND,28.0,66,31,35,0.47,1411.1916666666666,2.6,0.6,2.0,4.6,18.9,15.1,14.1,48.1,0.2,1.0,3.0,2.8,32.6,207,198,322,271,207,295,446,247,369,394,434,318,42,392,261,72,316,375
