player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
101139,CJ Miles,CJ,1610612754,IND,29.0,64,34,30,0.531,22.9,2.2,1.0,1.9,2.5,8.0,6.5,6.0,20.4,0.5,0.4,2.2,1.7,19.3,227,165,258,190,184,84,196,78,263,306,323,283,184,145,298,358,180,172
201588,George Hill,George,1610612754,IND,30.0,74,41,33,0.554,34.1,2.8,1.3,2.1,3.7,11.0,8.7,7.7,28.4,0.2,0.4,2.0,2.6,24.9,135,96,291,166,32,42,145,64,185,428,427,361,65,270,307,301,83,104
203922,Glenn Robinson III,Glenn,1610612754,IND,22.0,45,24,21,0.533,11.3,1.1,0.4,0.8,1.7,3.8,2.6,3.6,10.1,0.2,0.3,0.5,0.8,7.8,327,271,163,186,382,239,372,225,333,93,77,126,379,295,198,24,355,386
101133,Ian Mahinmi,Ian,1610612754,IND,29.0,71,41,30,0.577,25.6,1.6,1.4,0.5,7.0,8.4,6.0,6.0,20.8,1.1,0.6,3.1,2.4,24.6,172,96,258,147,151,162,123,284,51,326,290,280,177,43,362,469,103,109
1626202,Joe Young,Joe,1610612754,IND,24.0,41,19,22,0.463,9.4,0.7,0.2,0.6,1.3,2.9,2.6,2.4,8.9,0.0,0.1,0.7,0.6,7.9,338,311,165,276,405,330,428,270,375,59,78,62,397,444,83,49,384,384
201941,Jordan Hill,Jordan,1610612754,IND,28.0,73,40,33,0.548,20.7,1.0,2.1,0.1,5.6,7.2,6.1,5.7,18.1,0.5,0.4,2.1,1.2,19.8,144,108,291,170,220,251,48,425,88,256,297,267,226,121,284,329,251,167
202730,Lavoy Allen,Lavoy,1610612754,IND,27.0,79,43,36,0.544,20.2,1.0,1.6,0.2,3.7,6.7,5.3,5.2,16.1,0.5,0.3,1.9,0.9,15.0,63,81,331,174,233,257,96,404,182,233,240,234,268,112,174,259,327,250
101145,Monta Ellis,Monta,1610612754,IND,30.0,81,44,37,0.543,33.8,2.4,1.2,2.2,4.9,11.7,9.2,9.0,29.0,0.5,0.4,2.1,2.4,29.4,19,72,343,177,35,61,163,56,126,449,445,420,57,141,275,342,104,67
1626167,Myles Turner,Myles,1610612754,IND,20.0,60,32,28,0.533,22.8,1.4,1.6,0.8,4.8,7.3,6.4,5.5,20.3,1.4,0.4,2.6,2.0,22.4,253,183,238,186,186,189,110,238,129,264,315,255,187,21,271,419,139,133
202331,Paul George,Paul,1610612754,IND,26.0,81,44,37,0.543,34.8,4.7,2.2,3.2,5.4,11.8,9.3,8.7,29.7,0.4,1.0,2.8,5.4,41.0,19,72,343,177,23,4,41,19,99,452,449,408,45,187,447,447,13,15
1626176,Rakeem Christmas,Rakeem,1610612754,IND,24.0,1,1,0,1.0,6.1,0.0,0.0,0.0,4.0,10.0,3.0,2.0,8.0,0.0,0.0,1.0,0.0,5.2,474,459,1,1,447,457,453,449,167,382,101,43,407,444,1,75,465,432
201155,Rodney Stuckey,Rodney,1610612754,IND,30.0,58,33,25,0.569,22.0,1.7,0.4,2.2,3.4,7.7,6.2,5.3,19.2,0.1,0.5,1.3,2.3,17.1,268,170,201,156,197,150,380,59,204,290,305,237,207,351,337,133,109,214
203963,Shayne Whittington,Shayne,1610612754,IND,25.0,7,4,3,0.571,5.8,0.1,0.3,0.0,1.4,2.4,1.0,1.3,3.7,0.1,0.0,1.0,0.3,4.4,451,434,20,153,449,450,409,449,362,42,13,16,459,346,1,75,441,444
203524,Solomon Hill,Solomon,1610612754,IND,25.0,59,31,28,0.525,14.7,0.9,0.8,0.5,2.0,4.6,4.3,3.6,12.8,0.2,0.2,1.2,0.6,10.9,260,198,238,201,327,282,259,321,301,126,189,129,333,312,134,100,389,340
201951,Ty Lawson,Ty,1610612754,IND,28.0,66,31,35,0.47,21.4,1.1,0.3,0.9,2.1,8.4,6.7,6.3,21.4,0.1,0.4,1.3,1.3,14.5,207,198,322,271,207,231,416,215,298,324,331,306,168,378,283,130,250,258
