player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
201582,Alexis Ajinca,Alexis,1610612740,NOP,28.0,59,20,39,0.339,14.6,0.997,0.003,0.852,0.352,0.0,0.014,0.148,0.094,0.5,0.767,0.233,0.0,0.0,0.767,0.233,150,315,0.476,260,303,367,389,332,50,426,33,23,382,447,265,430,151,57,411,376,282,98,374,250,261,132
202087,Alonzo Gee,Alonzo,1610612740,NOP,29.0,73,27,46,0.37,22.4,0.765,0.235,0.708,0.043,0.157,0.326,0.135,0.295,0.665,0.696,0.304,1.0,0.0,0.735,0.265,132,255,0.518,144,247,423,366,193,192,284,143,403,294,9,298,12,76,118,351,1,282,143,331,270,296,76
203076,Anthony Davis,Anthony,1610612740,NOP,23.0,61,24,37,0.393,35.5,0.905,0.095,0.709,0.258,0.071,0.09,0.22,0.138,0.451,0.728,0.272,0.943,0.057,0.741,0.259,560,1136,0.493,241,271,343,343,16,126,350,142,71,338,300,92,317,201,87,382,169,213,131,343,19,24,109
1626214,Bryce Dejean-Jones,Bryce,1610612740,NOP,23.0,14,8,6,0.571,19.9,0.536,0.464,0.405,0.152,0.456,0.165,0.139,0.076,0.253,0.375,0.625,0.833,0.167,0.571,0.429,28,69,0.406,427,402,39,153,240,380,96,388,207,82,119,289,447,389,349,120,264,116,310,163,401,401,351
201967,Dante Cunningham,Dante,1610612740,NOP,29.0,80,28,52,0.35,24.6,0.578,0.422,0.541,0.14,0.341,0.192,0.118,0.176,0.401,0.855,0.145,1.0,0.0,0.898,0.102,186,412,0.451,44,237,446,385,164,354,122,278,218,150,74,354,148,246,24,445,1,282,27,447,218,215,196
201569,Eric Gordon,Eric,1610612740,NOP,27.0,45,14,31,0.311,32.9,0.467,0.533,0.344,0.087,0.494,0.153,0.162,0.153,0.257,0.441,0.559,0.85,0.15,0.641,0.359,231,552,0.418,327,352,265,396,48,424,52,424,324,63,155,227,255,384,316,153,255,127,256,218,165,155,311
203516,James Ennis III,James,1610612740,NOP,25.0,22,11,11,0.5,14.9,0.487,0.513,0.352,0.025,0.491,0.226,0.157,0.195,0.327,0.714,0.286,0.885,0.115,0.796,0.204,54,113,0.478,407,377,81,224,318,410,66,418,427,65,44,241,88,317,96,368,234,148,77,397,358,367,130
202706,Jordan Hamilton,Jordan,1610612740,NOP,25.0,11,4,7,0.364,27.6,0.612,0.388,0.576,0.144,0.312,0.176,0.112,0.088,0.432,0.389,0.611,0.769,0.231,0.49,0.51,49,116,0.422,438,434,49,370,127,325,151,238,215,184,96,370,435,221,345,124,295,87,359,115,367,364,296
201950,Jrue Holiday,Jrue,1610612740,NOP,26.0,65,27,38,0.415,28.2,0.723,0.277,0.593,0.156,0.24,0.104,0.167,0.126,0.437,0.207,0.793,0.517,0.483,0.273,0.727,410,935,0.439,221,247,353,318,117,227,249,224,202,240,265,204,369,213,424,45,363,19,453,21,58,55,240
2570,Kendrick Perkins,Kendrick,1610612740,NOP,31.0,37,13,24,0.351,14.6,1.0,0.0,0.879,0.088,0.0,0.022,0.121,0.055,0.791,0.85,0.15,0.0,0.0,0.85,0.15,40,75,0.533,353,361,185,382,329,1,434,22,323,382,440,342,455,23,27,442,376,282,43,431,380,391,58
202337,Luke Babbitt,Luke,1610612740,NOP,27.0,47,16,31,0.34,18.0,0.623,0.377,0.477,0.098,0.404,0.061,0.119,0.113,0.379,0.538,0.462,0.955,0.045,0.689,0.311,122,289,0.422,317,339,265,388,273,313,163,337,299,107,367,348,401,263,256,213,150,231,195,279,287,280,298
101126,Nate Robinson,Nate,1610612740,NOP,32.0,2,0,2,0.0,11.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,469,469,15,469,376,474,1,469,446,382,449,462,457,467,466,461,376,282,473,464,474,474,474
