player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
202692,Alec Burks,Alec,1610612762,UTA,24.0,31,13,18,0.419,797.2733333333333,101.4,93,0.121,0.182,18,0.133,4,0.045,236,175,217,616,3.25,376,361,139,308,305,117,308,246,236,319,384,368,397,154,154,170,154,252
203187,Chris Johnson,Chris,1610612762,UTA,26.0,70,38,32,0.543,856.855,97.2,105,0.118,0.169,32,0.219,20,0.198,277,212,180,674,4.68,177,130,282,179,296,37,291,258,270,241,154,186,178,179,174,149,169,170
202324,Derrick Favors,Derrick,1610612762,UTA,24.0,62,30,32,0.484,1983.2016666666664,103.2,334,0.18,0.256,74,0.234,91,0.46,646,421,519,1628,6.61,235,209,282,260,118,190,68,102,119,72,124,27,51,353,308,353,337,88
202407,Elijah Millsap,Elijah,1610612762,UTA,28.0,20,9,11,0.45,172.775,93.2,29,0.152,0.225,7,0.259,3,0.125,49,44,41,114,1.18,411,394,81,281,417,12,399,157,157,398,85,379,259,54,58,56,49,364
202330,Gordon Hayward,Gordon,1610612762,UTA,26.0,80,38,42,0.475,2892.9566666666665,103.6,336,0.121,0.174,95,0.207,27,0.084,951,688,723,2388,9.38,44,130,403,267,2,212,65,249,262,37,181,144,332,465,439,448,456,19
1626266,JJ O'Brien,JJ,1610612762,UTA,24.0,2,2,0,1.0,6.266666666666667,120.0,1,0.2,0.333,1,0.5,0,0.0,4,4,4,4,-0.01,469,449,1,1,472,469,465,62,30,442,4,444,444,4,9,6,2,459
203481,Jeff Withey,Jeff,1610612762,UTA,26.0,51,25,26,0.49,657.885,97.8,117,0.183,0.271,21,0.189,53,0.697,175,153,127,512,3.3,306,265,217,253,326,44,268,95,99,302,235,61,8,124,141,118,136,250
204060,Joe Ingles,Joe,1610612762,UTA,28.0,81,40,41,0.494,1241.0966666666666,100.3,132,0.109,0.16,55,0.289,4,0.034,434,288,290,1018,5.41,19,108,391,242,236,83,248,293,295,136,52,368,419,250,226,219,226,124
203526,Raul Neto,Raul,1610612762,UTA,24.0,81,40,41,0.494,1498.6016666666667,99.9,103,0.071,0.102,62,0.267,2,0.012,492,346,353,1224,6.55,19,108,391,242,192,78,293,441,450,106,74,395,440,280,258,262,270,89
203918,Rodney Hood,Rodney,1610612762,UTA,23.0,79,39,40,0.494,2541.016666666667,103.0,229,0.095,0.138,73,0.192,16,0.06,829,587,607,2074,8.57,63,123,378,246,33,183,132,348,359,75,226,228,375,435,392,394,412,33
203497,Rudy Gobert,Rudy,1610612762,UTA,24.0,61,33,28,0.541,1932.0733333333333,100.6,460,0.242,0.351,45,0.148,135,0.616,641,477,442,1494,8.01,241,170,238,181,125,99,24,24,20,179,349,7,17,350,338,316,321,47
202714,Shelvin Mack,Shelvin,1610612762,UTA,26.0,52,27,25,0.519,1057.9366666666667,100.3,115,0.111,0.157,34,0.19,3,0.029,407,231,242,876,4.54,299,247,201,206,265,86,270,283,304,231,233,379,426,242,187,187,201,175
202353,Tibor Pleiss,Tibor,1610612762,UTA,26.0,12,7,5,0.583,81.54,106.1,9,0.118,0.176,1,0.083,2,0.5,38,24,19,64,0.21,431,410,31,135,437,322,440,255,252,442,446,395,37,44,41,31,38,431
202344,Trevor Booker,Trevor,1610612762,UTA,28.0,79,39,40,0.494,1632.0333333333333,98.9,286,0.178,0.26,59,0.209,41,0.227,577,372,401,1352,7.84,63,123,378,246,174,59,89,107,116,117,177,89,162,323,273,290,290,50
203504,Trey Burke,Trey,1610612762,UTA,23.0,64,31,33,0.484,1365.7916666666667,102.6,94,0.07,0.107,35,0.165,6,0.044,444,351,328,1114,4.86,227,198,291,259,215,170,306,444,446,230,296,340,400,260,261,245,250,157
1626168,Trey Lyles,Trey,1610612762,UTA,20.0,80,38,42,0.475,1382.3933333333334,103.3,240,0.18,0.26,26,0.135,18,0.14,435,344,341,1188,4.59,44,130,403,267,211,191,127,100,117,267,383,207,241,251,257,256,264,173
