player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
1626151,Aaron Harrison,Aaron,1610612766,CHA,22.0,5,2,3,0.4,3.3,100.0,0.6,0.176,0.231,0.0,0.0,0.0,0.0,1.2,0.8,0.8,3.6,0.016,458,452,26,325,476,40,458,106,145,466,466,447,447,12,9,15,15,447
203148,Brian Roberts,Brian,1610612766,CHA,31.0,41,16,25,0.39,10.2,104.8,0.8,0.084,0.116,0.2,0.153,0.0,0.038,3.4,2.1,2.6,8.4,0.036,338,345,207,339,404,159,440,396,419,416,335,442,424,81,54,83,73,369
1627362,Briante Weber,Briante,1610612766,CHA,24.0,20,12,8,0.6,10.2,112.9,0.9,0.107,0.168,0.6,0.324,0.1,0.077,2.4,2.2,3.5,9.5,0.011,410,383,54,119,403,453,433,310,276,223,24,428,356,39,60,116,98,460
1626174,Christian Wood,Christian,1610612766,CHA,21.0,13,5,8,0.385,8.2,95.3,1.2,0.128,0.188,0.2,0.3,0.5,0.6,3.5,2.0,2.4,6.6,0.053,437,434,54,345,433,20,399,228,231,406,45,137,11,84,49,71,50,277
203469,Cody Zeller,Cody,1610612766,CHA,24.0,62,33,29,0.532,27.8,104.1,4.4,0.157,0.219,1.0,0.212,0.9,0.356,6.7,6.1,5.8,22.5,0.107,244,177,250,167,112,129,75,152,174,83,186,46,99,250,305,272,336,38
1626163,Frank Kaminsky,Frank,1610612766,CHA,24.0,75,31,44,0.413,26.1,108.3,3.7,0.141,0.201,0.6,0.16,0.5,0.181,7.2,5.9,7.3,22.2,0.067,111,196,419,316,142,328,106,192,205,216,309,143,208,272,291,354,328,188
203087,Jeremy Lamb,Jeremy,1610612766,CHA,25.0,62,27,35,0.435,18.4,108.9,3.8,0.2,0.286,0.4,0.205,0.4,0.198,4.8,4.5,4.6,15.5,0.044,244,243,330,295,257,358,103,59,69,315,205,186,193,140,191,198,210,326
203948,Johnny O'Bryant III,Johnny,1610612766,CHA,24.0,11,4,7,0.364,7.3,119.3,0.9,0.152,0.204,0.0,0.0,0.1,0.5,2.6,1.6,2.5,7.8,-0.006,442,440,48,376,448,480,430,162,196,466,466,391,32,49,35,76,65,479
202689,Kemba Walker,Kemba,1610612766,CHA,27.0,79,36,43,0.456,34.7,107.4,3.3,0.095,0.134,1.1,0.215,0.3,0.077,8.6,8.5,9.1,28.5,0.098,54,140,413,273,20,284,133,350,372,65,174,240,355,344,432,441,421,63
201158,Marco Belinelli,Marco,1610612766,CHA,31.0,74,34,40,0.459,24.0,107.5,2.2,0.093,0.131,0.6,0.181,0.1,0.054,6.5,5.4,6.8,21.2,0.068,126,164,387,268,174,293,268,359,378,225,259,366,398,239,253,324,308,183
101107,Marvin Williams,Marvin,1610612766,CHA,31.0,76,32,44,0.421,30.2,107.9,5.4,0.18,0.252,0.8,0.173,0.7,0.239,7.8,7.6,8.2,25.4,0.081,97,188,419,309,82,308,39,94,115,148,273,77,157,301,388,401,373,125
203077,Michael Kidd-Gilchrist,Michael,1610612766,CHA,23.0,81,36,45,0.444,29.0,105.8,5.0,0.171,0.241,1.0,0.223,1.0,0.316,7.3,6.6,7.3,22.8,0.097,18,140,431,286,98,199,51,116,132,83,154,45,118,280,329,355,340,72
1627861,Mike Tobey,Mike,1610612766,CHA,22.0,2,0,2,0.0,12.6,98.0,0.5,0.037,0.048,0.0,0.0,0.0,0.0,2.0,0.0,9.0,9.0,0.071,477,479,13,479,367,29,465,479,481,466,466,447,447,30,1,436,85,167
203101,Miles Plumlee,Miles,1610612766,CHA,28.0,45,19,26,0.422,10.8,107.2,1.3,0.112,0.173,0.4,0.247,0.3,0.333,4.2,2.9,2.1,9.6,0.031,329,317,215,308,393,272,381,285,263,335,109,236,108,117,94,62,99,400
201587,Nicolas Batum,Nicolas,1610612766,CHA,28.0,77,35,42,0.455,34.0,108.2,5.6,0.164,0.231,1.1,0.214,0.4,0.111,9.2,8.5,9.1,29.2,0.089,85,151,402,275,29,320,32,130,145,59,177,182,291,369,431,440,435,99
201196,Ramon Sessions,Ramon,1610612766,CHA,31.0,50,23,27,0.46,16.2,107.5,1.2,0.071,0.1,0.5,0.25,0.1,0.037,5.5,4.0,4.6,14.4,0.047,308,287,221,267,304,291,385,442,453,247,97,419,427,177,151,200,172,312
1626203,Treveon Graham,Treveon,1610612766,CHA,23.0,27,10,17,0.37,7.0,104.3,0.6,0.088,0.123,0.2,0.24,0.0,0.067,2.0,1.6,1.9,5.4,0.026,391,397,128,370,450,134,455,385,401,409,122,437,375,31,31,47,27,424
