player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1627773,AJ Hammons,AJ,1610612742,DAL,24.0,22,4,18,0.182,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0.5,0.0,0.6,0.2,1.0,0.6,2.2,-0.2,5.9,0,0,5.5,403,440,339,473,447,437,440,345,343,378,5,392,327,457,339,380,388,465,399,463,92,328,401,397,439,220,430,222,24,430
1627791,Ben Bentil,Ben,1610612742,DAL,22.0,3,2,1,0.667,3.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,-4.0,0.5,0,0,0.7,471,452,475,56,477,481,474,481,401,385,401,468,472,468,473,449,468,476,431,466,447,455,467,451,483,450,485,222,24,485
202732,DeAndre Liggins,DeAndre,1610612742,DAL,29.0,62,40,22,0.645,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.4,0.6,0.625,0.3,1.4,1.7,0.9,0.7,0.8,0.2,0.3,1.3,0.8,2.5,0.9,8.1,0,0,7.3,244,92,298,76,369,432,425,389,328,353,133,398,387,393,360,365,382,325,322,149,276,303,335,360,432,133,392,222,24,392
2734,Devin Harris,Devin,1610612742,DAL,34.0,65,29,36,0.446,16.7,2.1,5.2,0.399,0.9,2.7,0.328,1.6,2.0,0.829,0.2,1.8,2.0,2.1,0.9,0.7,0.1,0.3,1.6,2.1,6.7,0.6,13.6,0,0,13.2,220,215,136,285,290,302,273,368,166,160,251,139,158,123,431,324,360,147,258,190,376,288,277,121,249,145,270,222,24,267
1717,Dirk Nowitzki,Dirk,1610612742,DAL,39.0,54,23,31,0.426,26.4,5.5,12.6,0.437,1.5,3.9,0.378,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.9,0.6,0.7,0.2,2.1,2.2,14.2,-0.2,27.2,8,0,26.3,287,287,193,304,132,69,62,262,89,92,106,119,147,48,307,26,52,206,230,241,76,353,139,100,74,221,84,71,24,82
1627827,Dorian Finney-Smith,Dorian,1610612742,DAL,24.0,81,33,48,0.407,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.6,0.8,0.754,0.7,2.1,2.7,0.8,0.6,0.6,0.3,0.3,1.5,0.7,4.3,-1.5,11.1,0,0,10.5,18,177,30,321,227,364,335,417,207,190,311,353,372,253,222,288,272,334,359,200,228,273,281,384,359,325,329,222,24,332
203939,Dwight Powell,Dwight,1610612742,DAL,25.0,77,30,47,0.39,17.3,2.5,4.9,0.515,0.3,1.0,0.284,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.4,0.8,0.5,0.3,1.8,1.7,6.7,-2.2,15.9,2,0,14.2,85,209,35,340,279,244,291,84,330,334,322,170,173,248,114,195,163,367,404,142,115,238,226,177,251,372,234,143,24,252
203084,Harrison Barnes,Harrison,1610612742,DAL,25.0,79,32,47,0.405,35.5,7.6,16.2,0.468,1.0,2.8,0.351,3.1,3.6,0.861,1.2,3.8,5.0,1.5,1.3,0.8,0.2,0.6,1.6,3.4,19.2,-1.7,29.1,1,0,28.7,54,188,35,323,13,26,24,161,153,153,182,50,60,66,119,101,108,216,155,131,302,87,256,44,35,344,65,168,24,63
200826,J.J. Barea,J.J.,1610612742,DAL,33.0,35,11,24,0.314,22.0,4.1,9.8,0.414,1.5,4.2,0.358,1.3,1.5,0.863,0.3,2.1,2.4,5.5,1.8,0.4,0.0,0.4,0.9,2.1,10.9,0.3,21.5,0,0,21.2,365,392,281,419,202,133,109,320,80,79,161,196,227,65,392,277,307,24,80,335,440,180,423,124,124,173,145,222,24,132
1627784,Jarrod Uthoff,Jarrod,1610612742,DAL,24.0,9,2,7,0.222,12.7,1.8,4.2,0.421,0.3,1.0,0.333,0.6,0.8,0.714,0.9,1.6,2.4,1.0,0.3,0.2,0.4,0.2,0.9,0.6,4.4,-6.9,10.5,0,0,9.6,446,452,434,461,365,339,325,305,309,320,225,358,363,312,168,351,301,285,431,409,144,332,417,400,352,482,345,222,24,357
1626780,Jonathan Gibson,Jonathan,1610612742,DAL,29.0,17,4,13,0.235,13.6,2.1,5.6,0.368,0.9,2.6,0.333,1.2,1.7,0.724,0.1,1.2,1.3,1.5,1.2,0.5,0.0,0.3,1.2,1.4,6.2,-4.9,10.3,0,0,10.9,425,440,386,458,352,304,251,419,168,163,225,206,187,300,467,386,420,203,164,289,447,275,347,222,272,470,351,222,24,326
202412,Manny Harris,Manny,1610612742,DAL,27.0,4,1,3,0.25,6.2,0.8,3.8,0.2,0.0,0.5,0.0,0.5,1.0,0.5,0.8,1.5,2.3,0.5,0.5,0.0,0.0,0.8,0.3,0.5,2.0,-5.3,5.0,0,0,4.8,467,464,454,453,460,440,359,475,401,372,401,369,300,443,202,357,321,400,383,466,447,54,473,411,443,474,445,222,24,442
203457,Nerlens Noel,Nerlens,1610612742,DAL,23.0,51,24,27,0.471,20.5,3.6,6.1,0.595,0.0,0.0,0.0,1.5,2.2,0.694,1.8,3.9,5.8,1.0,1.0,1.3,1.0,0.2,2.5,2.2,8.7,-1.6,22.9,3,0,20.0,304,275,254,256,220,160,228,21,401,439,401,155,139,339,56,96,79,296,216,37,40,340,72,104,185,339,123,124,24,152
1627852,Nicolas Brussino,Nicolas,1610612742,DAL,24.0,54,18,36,0.333,9.7,1.0,2.6,0.369,0.5,1.8,0.305,0.3,0.4,0.773,0.5,1.3,1.8,0.9,0.5,0.3,0.1,0.1,0.8,0.5,2.8,-2.0,7.1,0,0,6.9,287,327,136,392,411,425,414,418,256,244,298,423,435,219,285,379,380,326,395,368,338,429,430,420,414,359,411,222,24,403
