player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
203085,Austin Rivers,Austin,1610612746,LAC,24.0,3,1,2,0.333,90.17333333333332,105.7,7,0.075,0.119,1,0.167,1,0.2,40,24,21,98,0.33,176,152,30,115,138,69,142,179,171,142,104,109,81,100,87,81,92,107
201933,Blake Griffin,Blake,1610612746,LAC,28.0,3,2,1,0.667,99.43333333333334,102.7,15,0.179,0.227,2,0.125,1,0.143,21,19,12,78,0.44,176,106,6,31,130,43,112,52,70,117,139,109,96,66,72,61,76,91
101138,Brandon Bass,Brandon,1610612746,LAC,32.0,1,0,1,0.0,3.783333333333333,112.5,0,0.0,0.0,1,1.0,0,0.0,2,0,0,6,0.01,208,178,6,178,213,148,209,209,209,142,1,152,152,11,1,1,8,176
101108,Chris Paul,Chris,1610612746,LAC,32.0,7,3,4,0.429,260.1683333333333,107.7,31,0.134,0.193,12,0.333,1,0.083,82,77,42,224,0.78,91,88,72,88,50,93,55,91,101,28,17,109,130,163,178,121,164,44
201599,DeAndre Jordan,DeAndre,1610612746,LAC,28.0,7,3,4,0.429,264.32166666666666,109.6,76,0.323,0.45,3,0.088,6,0.462,85,67,45,228,0.64,91,88,72,88,47,120,10,6,3,104,154,30,29,168,168,124,167,69
200755,JJ Redick,JJ,1610612746,LAC,33.0,7,3,4,0.429,205.74166666666667,112.1,12,0.073,0.101,2,0.074,0,0.0,77,56,33,210,0.35,91,88,72,88,72,145,124,183,190,117,160,152,152,157,149,111,162,102
2037,Jamal Crawford,Jamal,1610612746,LAC,37.0,7,3,4,0.429,195.59666666666664,105.6,7,0.04,0.058,4,0.167,1,0.125,45,33,27,166,0.71,91,88,72,88,75,68,142,208,207,91,104,109,107,108,107,98,135,57
201601,Luc Mbah a Moute,Luc,1610612746,LAC,30.0,7,3,4,0.429,223.76666666666668,106.8,24,0.123,0.164,8,0.242,4,0.4,75,57,32,190,0.73,91,88,72,88,61,80,72,109,128,51,68,52,32,153,152,107,154,54
201578,Marreese Speights,Marreese,1610612746,LAC,29.0,7,3,4,0.429,97.87,102.7,16,0.186,0.262,2,0.167,3,0.5,31,18,13,88,0.44,91,88,72,88,132,42,109,46,49,117,104,65,20,81,69,64,83,90
1718,Paul Pierce,Paul,1610612746,LAC,39.0,7,3,4,0.429,101.46,106.6,12,0.126,0.174,2,0.154,0,0.0,30,21,24,84,0.34,91,88,72,88,128,78,124,103,119,117,119,152,152,77,81,87,81,103
101109,Raymond Felton,Raymond,1610612746,LAC,33.0,7,3,4,0.429,126.88666666666668,110.0,8,0.075,0.11,6,0.375,0,0.0,39,13,12,108,0.31,91,88,72,88,116,123,138,178,185,70,14,152,152,99,53,61,100,111
202325,Wesley Johnson,Wesley,1610612746,LAC,29.0,3,1,2,0.333,10.798333333333334,117.4,2,0.333,0.4,1,0.5,0,0.0,3,0,4,10,0.0,176,152,30,115,197,182,184,4,6,142,4,152,152,18,1,26,16,183
