player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1627742,Brandon Ingram,Brandon,1610612747,LAL,19.0,79,26,53,0.329,2279.2616666666668,4.4,10.8,0.402,0.9,3.0,0.294,2.1,3.4,0.621,0.9,4.0,5.0,2.6,1.8,0.8,0.6,0.8,2.5,3.0,11.7,-6.0,23.9,0,0,22.9,54,253,11,406,65,317,293,351,304,302,308,225,180,400,269,293,287,221,247,353,219,172,347,163,316,398,393,222,24,401
201147,Corey Brewer,Corey,1610612747,LAL,31.0,82,47,35,0.573,1281.2166666666667,4.1,9.8,0.422,0.8,3.3,0.229,1.4,1.9,0.735,0.9,3.8,4.7,2.7,1.5,1.7,0.6,0.8,3.7,2.0,10.4,2.0,25.4,0,0,23.1,1,52,147,141,229,346,344,301,319,278,368,349,341,282,282,320,309,217,315,54,224,174,137,337,384,120,356,222,24,396
1626156,D'Angelo Russell,D'Angelo,1610612747,LAL,21.0,63,21,42,0.333,1810.5783333333331,7.0,17.2,0.405,2.7,7.6,0.352,2.9,3.7,0.782,0.6,3.8,4.4,6.0,3.5,1.7,0.3,0.8,2.6,2.9,19.6,-7.1,36.5,2,0,36.8,239,303,75,392,134,81,39,344,41,32,181,127,147,201,364,318,335,45,22,51,318,187,332,181,56,420,89,143,24,58
1628021,David Nwaba,David,1610612747,LAL,24.0,20,5,15,0.25,397.2416666666667,4.3,7.3,0.58,0.1,0.5,0.2,2.3,3.5,0.641,1.5,4.2,5.7,1.3,1.0,1.2,0.6,0.8,3.3,2.4,10.9,0.9,24.1,0,0,21.6,410,434,369,453,373,328,440,25,386,399,375,199,165,385,195,276,253,414,431,190,193,160,194,255,356,156,383,222,24,434
1627826,Ivica Zubac,Ivica,1610612747,LAL,20.0,38,8,30,0.211,608.515,7.5,14.1,0.529,0.0,0.2,0.0,1.9,2.9,0.653,2.4,7.0,9.4,1.8,1.8,0.8,2.0,1.4,3.9,3.0,16.8,-7.9,37.3,4,0,33.5,352,408,210,467,332,55,119,66,401,414,401,264,221,375,126,73,87,332,265,345,26,25,114,165,116,430,80,108,24,104
203903,Jordan Clarkson,Jordan,1610612747,LAL,25.0,82,26,56,0.317,2396.555,7.2,16.1,0.445,1.8,5.3,0.329,2.0,2.5,0.798,0.7,3.0,3.7,3.2,2.5,1.3,0.1,0.9,2.3,2.2,18.1,-6.3,29.2,0,0,29.6,1,253,4,417,50,66,61,228,156,137,250,245,274,175,326,407,408,177,112,140,429,138,394,297,92,401,238,222,24,182
203944,Julius Randle,Julius,1610612747,LAL,22.0,74,24,50,0.324,2132.1066666666666,6.4,13.1,0.488,0.3,1.1,0.27,3.4,4.8,0.723,2.5,8.2,10.7,4.5,2.9,0.8,0.6,1.2,4.2,3.3,16.5,-7.6,37.5,18,3,34.9,126,275,25,408,91,121,166,118,366,382,335,85,78,302,119,39,61,110,54,348,199,44,90,140,135,425,74,27,7,82
1626204,Larry Nance Jr.,Larry,1610612747,LAL,24.0,63,21,42,0.333,1441.84,4.7,9.0,0.526,0.2,0.9,0.278,1.5,2.0,0.738,3.0,6.2,9.2,2.4,1.4,2.0,1.0,0.2,3.7,2.0,11.2,-3.3,33.5,7,0,29.1,239,303,75,392,200,273,384,73,369,387,325,339,334,280,80,117,95,241,347,28,127,422,139,321,341,338,127,80,24,198
2736,Luol Deng,Luol,1610612747,LAL,32.0,56,18,38,0.321,1485.8733333333332,4.0,10.3,0.387,1.2,4.0,0.309,1.1,1.5,0.73,1.5,5.6,7.1,1.8,1.0,1.2,0.5,0.6,1.5,1.6,10.3,-4.7,25.5,5,0,23.8,280,327,109,410,196,361,326,391,243,233,289,402,402,293,196,156,182,328,419,196,258,280,466,393,390,370,355,97,24,377
1626273,Marcelo Huertas,Marcelo,1610612747,LAL,34.0,23,5,18,0.217,236.56166666666667,3.8,10.3,0.368,0.6,2.9,0.211,1.4,2.6,0.529,0.3,3.3,3.7,7.9,2.9,1.5,0.3,0.8,2.4,2.1,9.6,-6.5,28.4,0,0,25.4,400,434,339,466,400,380,322,420,338,307,374,353,269,439,449,363,411,17,56,93,327,183,358,309,414,409,258,222,24,325
1897,Metta World Peace,Metta,1610612747,LAL,37.0,25,8,17,0.32,160.33,4.3,15.3,0.279,2.0,8.5,0.237,2.2,3.6,0.625,1.1,3.4,4.5,2.5,1.6,2.2,0.4,0.7,4.0,2.2,12.8,-13.2,28.4,0,0,27.2,395,408,352,411,417,327,77,466,116,18,361,200,160,393,248,360,323,233,308,11,272,225,107,284,265,469,259,222,24,262
201156,Nick Young,Nick,1610612747,LAL,32.0,60,19,41,0.317,1556.2666666666669,6.3,14.6,0.43,3.9,9.7,0.404,1.8,2.1,0.856,0.6,2.6,3.2,1.3,0.8,0.9,0.3,0.3,3.2,1.9,18.3,-4.9,26.8,0,0,29.1,261,317,86,418,181,130,101,280,5,7,54,285,326,79,382,443,439,400,454,324,316,421,218,349,86,371,316,222,24,197
204028,Tarik Black,Tarik,1610612747,LAL,25.0,67,24,43,0.358,1090.8983333333333,5.0,9.7,0.51,0.0,0.1,0.5,2.7,3.6,0.752,4.8,6.6,11.3,1.3,1.9,1.0,1.5,1.0,5.7,3.3,12.6,-1.6,33.5,2,0,30.1,202,275,69,383,264,254,348,92,396,428,5,154,159,258,15,95,45,411,228,276,64,103,23,132,270,271,130,143,24,166
203080,Thomas Robinson,Thomas,1610612747,LAL,26.0,48,15,33,0.313,560.4083333333333,6.7,12.6,0.536,0.0,0.1,0.0,2.0,4.2,0.47,5.4,8.9,14.3,2.0,3.0,1.7,0.6,1.0,4.9,3.5,15.5,-5.3,39.4,1,0,36.3,316,357,173,420,341,91,195,56,401,429,401,248,107,456,7,22,10,303,48,63,216,94,47,117,167,384,60,168,24,68
202389,Timofey Mozgov,Timofey,1610612747,LAL,30.0,54,16,38,0.296,1103.86,5.5,10.7,0.515,0.0,0.0,0.0,2.1,2.5,0.808,3.4,5.2,8.6,1.4,2.3,0.5,1.0,0.8,4.3,3.0,13.1,-6.4,27.8,1,0,26.2,287,345,109,431,263,196,297,82,401,441,401,235,273,155,66,180,121,391,132,441,119,146,81,162,259,403,281,168,24,295
203898,Tyler Ennis,Tyler,1610612747,LAL,22.0,53,28,25,0.528,588.1466666666666,5.5,12.7,0.433,1.7,4.3,0.386,1.3,1.5,0.84,0.6,2.2,2.8,5.3,2.8,1.5,0.1,1.0,3.6,1.8,14.0,-0.1,27.4,0,0,26.9,294,234,273,174,334,198,186,272,174,212,89,370,401,107,391,468,468,68,75,89,426,107,155,370,225,201,297,222,24,267
