player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,26.0,4,0,4,0.0,112.825,5.4,11.8,0.459,2.2,5.4,0.412,2.2,3.5,0.636,1.6,6.7,8.3,1.3,2.9,1.0,1.3,1.3,2.9,2.6,15.3,-13.4,31.0,0,0,31.6,153,178,71,178,123,89,93,90,46,60,43,93,72,136,75,43,56,150,31,102,40,44,124,106,75,179,93,50,6,66
203459,Allen Crabbe,Allen,1610612757,POR,25.0,4,0,4,0.0,92.01833333333332,3.5,9.4,0.375,1.2,5.1,0.231,0.4,1.2,0.333,0.0,4.7,4.7,0.8,0.4,0.4,0.0,1.2,3.5,1.2,8.6,-11.0,16.2,0,0,16.0,153,178,71,178,135,167,143,167,116,74,138,173,163,173,177,96,144,179,183,159,152,50,91,176,179,172,200,50,6,202
203468,CJ McCollum,CJ,1610612757,POR,25.0,4,0,4,0.0,140.31833333333333,8.2,20.5,0.4,2.8,5.6,0.5,3.8,4.1,0.938,2.1,4.1,6.2,1.0,3.8,1.0,0.5,1.8,2.6,2.8,23.1,-14.9,32.8,0,0,36.2,153,178,71,178,111,25,8,146,25,59,17,35,54,38,56,121,101,166,13,91,97,20,147,91,24,183,73,50,6,39
203081,Damian Lillard,Damian,1610612757,POR,26.0,4,0,4,0.0,150.61,9.3,21.5,0.433,2.2,7.6,0.281,5.7,6.0,0.96,1.0,3.3,4.3,3.1,3.1,1.2,0.5,2.6,2.6,5.5,26.5,-20.1,38.3,0,0,39.4,153,178,71,178,105,13,6,114,52,20,124,16,31,34,117,150,149,80,25,80,103,10,141,20,10,193,36,50,6,28
202323,Evan Turner,Evan,1610612757,POR,28.0,4,0,4,0.0,124.11166666666666,3.5,9.6,0.364,1.5,4.4,0.333,3.5,4.6,0.75,0.9,5.8,6.7,4.4,2.0,2.0,0.6,1.2,2.0,3.2,11.9,-13.6,32.2,1,0,29.6,153,178,71,178,117,171,139,170,101,98,92,45,42,99,128,61,87,42,73,19,89,51,180,68,128,180,78,29,6,82
1627774,Jake Layman,Jake,1610612757,POR,23.0,2,0,2,0.0,15.966666666666669,4.5,9.0,0.5,2.3,2.3,1.0,2.3,4.5,0.5,0.0,2.3,2.3,2.3,0.0,2.3,0.0,2.3,4.5,2.3,13.5,6.8,26.4,0,0,24.8,197,178,158,178,190,124,151,55,43,149,1,90,47,151,177,190,204,103,186,13,152,12,44,123,102,38,130,50,6,136
203994,Jusuf Nurkić,Jusuf,1610612757,POR,22.0,1,0,1,0.0,16.666666666666668,2.2,6.5,0.333,0.0,2.2,0.0,0.0,0.0,0.0,0.0,23.8,23.8,8.6,6.5,0.0,2.2,0.0,2.2,0.0,4.3,17.3,45.8,0,0,41.0,208,178,187,178,188,196,198,182,155,151,155,176,179,176,177,1,2,7,3,173,13,163,173,195,202,12,17,50,6,19
203090,Maurice Harkless,Maurice,1610612757,POR,24.0,4,0,4,0.0,99.08166666666666,3.6,12.4,0.294,0.7,4.4,0.167,2.5,2.9,0.875,2.5,2.2,4.7,1.1,0.4,1.8,1.8,2.2,5.1,2.5,10.5,-18.2,28.4,0,0,24.3,153,178,71,178,131,160,77,191,135,96,148,77,94,54,44,192,142,162,185,29,18,13,35,108,154,189,116,50,6,142
203086,Meyers Leonard,Meyers,1610612757,POR,25.0,3,0,3,0.0,30.506666666666668,1.2,5.9,0.2,0.0,4.7,0.0,0.0,0.0,0.0,2.4,7.1,9.4,1.2,4.7,0.0,0.0,0.0,7.1,0.0,2.4,-21.2,10.7,0,0,13.0,176,178,145,178,169,203,204,201,155,87,155,176,179,176,49,34,40,153,8,173,152,163,10,195,207,196,210,50,6,206
203943,Noah Vonleh,Noah,1610612757,POR,21.0,4,0,4,0.0,100.235,2.9,6.5,0.444,0.0,0.0,0.0,0.7,1.8,0.4,3.2,7.2,10.4,2.9,2.2,0.4,1.1,0.7,4.0,1.4,6.5,-17.2,25.4,0,0,22.6,153,178,71,178,129,188,199,101,155,175,155,165,141,168,35,33,31,85,64,162,51,83,65,164,198,187,139,50,6,160
