player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
203469,Cody Zeller,Cody,1610612766,CHA,25.0,33,14,19,0.424,627.1833333333333,85,156,0.545,2,3,0.667,61,85,0.718,67,110,177,31,33,14,21,21,81,76,233,23,563.9,1,0,513.0,356,361,213,341,336,326,344,70,401,443,7,225,220,321,120,284,236,354,313,353,187,314,246,231,318,161,314,177,32,322
1628407,Dwayne Bacon,Dwayne,1610612766,CHA,22.0,53,25,28,0.472,712.9983333333333,72,192,0.375,11,43,0.256,20,25,0.8,4,120,124,38,23,16,2,4,46,25,175,11,411.8,0,0,384.0,288,239,304,303,319,343,320,453,317,310,378,365,369,181,434,267,307,337,355,339,416,129,188,371,353,195,349,228,32,349
2730,Dwight Howard,Dwight,1610612766,CHA,32.0,81,35,46,0.432,2463.343333333333,506,911,0.555,1,7,0.143,334,582,0.574,255,757,1012,105,208,48,131,79,249,439,1347,89,3047.9,53,0,2823.0,27,168,486,338,38,28,48,66,418,416,428,15,4,444,5,4,3,186,17,150,3,527,536,5,28,103,15,4,32,19
1626163,Frank Kaminsky,Frank,1610612766,CHA,25.0,79,35,44,0.443,1835.1883333333333,307,716,0.429,104,274,0.38,155,194,0.799,46,242,288,129,66,36,19,39,95,145,873,-57,1511.1,0,0,1504.0,59,168,474,331,129,123,108,310,101,103,123,78,84,188,182,123,144,156,211,222,203,424,281,121,108,382,150,228,32,145
203087,Jeremy Lamb,Jeremy,1610612766,CHA,26.0,80,36,44,0.45,1967.36,380,832,0.457,94,254,0.37,179,208,0.861,49,275,324,186,93,61,32,32,138,175,1033,77,1886.8,0,0,1823.0,42,158,474,322,109,74,68,225,109,114,152,59,76,74,174,104,115,103,141,109,126,395,389,90,63,113,83,228,32,84
203948,Johnny O'Bryant III,Johnny,1610612766,CHA,25.0,36,15,21,0.417,379.06166666666667,68,171,0.398,14,43,0.326,21,25,0.84,29,64,93,14,15,9,6,7,45,26,171,-87,333.6,0,0,322.0,348,350,229,349,377,347,337,407,304,310,286,356,369,104,252,348,333,406,392,379,342,168,182,365,355,435,372,228,32,370
202933,Julyan Stone,Julyan,1610612766,CHA,29.0,23,10,13,0.435,174.755,6,13,0.462,6,13,0.462,1,2,0.5,1,28,29,26,7,4,2,1,21,6,19,38,103.8,0,0,92.0,393,390,146,335,431,478,488,206,356,384,25,484,477,461,481,407,424,363,430,429,416,57,123,448,475,140,436,228,32,438
202689,Kemba Walker,Kemba,1610612766,CHA,28.0,80,36,44,0.45,2735.8783333333336,588,1363,0.431,231,601,0.384,363,420,0.864,32,216,248,444,179,91,24,89,98,323,1770,204,2899.6,3,0,2923.0,42,158,474,322,11,17,10,299,4,5,110,9,13,69,232,152,172,14,31,36,166,533,289,20,11,59,19,121,32,15
1628370,Malik Monk,Malik,1610612766,CHA,20.0,63,26,37,0.413,853.505,153,425,0.36,83,243,0.342,32,38,0.842,8,58,66,91,49,20,9,13,60,46,421,-191,674.7,0,0,719.0,226,231,422,354,295,254,212,468,130,120,242,312,329,100,394,359,369,211,257,317,313,232,218,313,249,493,296,228,32,278
1628493,Mangok Mathiang,Mangok,1610612766,CHA,25.0,4,3,1,0.75,19.8,4,7,0.571,0,0,0.0,0,1,0.0,3,7,10,0,0,1,0,0,5,1,8,1,23.0,0,0,20.0,498,468,11,35,508,490,499,47,445,492,445,501,500,501,451,473,472,510,518,476,473,1,54,496,498,225,498,228,32,500
1627779,Marcus Paige,Marcus,1610612766,CHA,24.0,5,4,1,0.8,28.016666666666666,4,14,0.286,2,8,0.25,2,2,1.0,0,4,4,3,0,0,0,1,0,1,12,8,21.3,0,0,21.0,487,455,11,21,501,490,485,504,401,410,379,464,477,1,500,492,496,477,518,500,473,57,1,496,489,206,501,228,32,499
101107,Marvin Williams,Marvin,1610612766,CHA,32.0,78,33,45,0.423,2005.8516666666667,258,563,0.458,126,305,0.413,102,123,0.829,74,296,370,96,66,56,38,23,116,102,744,69,1548.0,3,0,1524.0,69,183,483,342,101,158,157,219,66,87,60,148,161,125,106,92,92,205,211,123,103,331,327,186,145,117,146,121,32,141
203487,Michael Carter-Williams,Michael,1610612766,CHA,26.0,52,23,29,0.442,834.7433333333333,76,229,0.332,14,59,0.237,73,89,0.82,37,101,138,116,52,44,23,10,99,106,239,-61,727.6,0,0,641.0,296,265,314,332,298,338,302,492,304,283,394,201,213,144,213,298,286,174,250,176,169,207,292,182,313,389,283,228,32,297
203077,Michael Kidd-Gilchrist,Michael,1610612766,CHA,24.0,74,34,40,0.459,1850.2883333333332,282,560,0.504,0,2,0.0,117,171,0.684,84,218,302,71,53,51,32,52,143,141,681,51,1345.9,2,0,1220.0,115,173,452,314,124,140,159,107,445,451,445,118,105,356,84,149,134,259,248,139,126,481,404,125,159,129,179,151,32,191
