player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
2738,Andre Iguodala,Andre,1610612744,GSW,34.0,64,46,18,0.719,1622.4783333333332,74,34,93,186,640,456,418,1560,38,12,99,98,1203.2,220,67,198,46,172,222,286,105,223,424,401,385,383,103,222,292,192,202
1628449,Chris Boucher,Chris,1610612744,GSW,25.0,1,1,0,1.0,1.3166666666666669,0,0,0,0,0,0,0,2,0,0,0,0,1.2,524,499,1,1,538,498,488,478,515,1,1,1,6,473,1,1,516,534
1627745,Damian Jones,Damian,1610612744,GSW,23.0,15,7,8,0.467,88.71166666666667,4,4,2,20,14,31,20,88,3,3,14,10,52.8,436,421,101,306,461,454,445,450,421,51,91,74,81,390,115,106,426,467
2561,David West,David,1610612744,GSW,37.0,73,52,21,0.712,998.6966666666668,61,79,40,292,368,296,251,946,75,11,120,82,1273.6,134,17,229,51,276,258,150,251,141,273,286,269,268,33,215,339,217,192
203110,Draymond Green,Draymond,1610612744,GSW,28.0,70,48,22,0.686,2286.853333333333,124,72,147,376,909,644,654,2162,91,33,185,178,2533.0,169,37,242,63,56,124,172,50,103,526,510,509,483,21,399,487,84,32
201580,JaVale McGee,JaVale,1610612744,GSW,30.0,65,45,20,0.692,615.3866666666667,50,45,45,248,275,169,188,622,57,8,91,44,769.3,213,75,223,59,337,278,245,233,176,236,217,233,213,53,180,268,318,274
1628395,Jordan Bell,Jordan,1610612744,GSW,23.0,57,43,14,0.754,808.9133333333333,47,48,47,212,291,247,231,774,56,16,92,43,885.4,260,90,156,33,302,288,230,221,203,247,263,261,241,55,263,274,321,252
201142,Kevin Durant,Kevin,1610612744,GSW,29.0,68,49,19,0.721,2325.095,252,129,292,526,923,688,736,2346,119,38,133,326,3197.8,193,31,213,44,49,15,53,6,53,528,521,529,508,6,421,377,18,10
1626172,Kevon Looney,Kevon,1610612744,GSW,22.0,66,45,21,0.682,910.07,38,60,22,204,316,218,275,856,56,22,106,64,827.0,207,75,229,67,290,312,192,317,208,257,242,283,255,55,324,306,261,267
202691,Klay Thompson,Klay,1610612744,GSW,28.0,73,55,18,0.753,2504.2166666666667,177,93,277,300,948,720,757,2416,34,29,117,124,2209.9,134,10,198,34,33,53,122,7,138,532,527,532,516,119,379,331,150,52
201156,Nick Young,Nick,1610612744,GSW,33.0,80,56,24,0.7,1393.1716666666666,76,44,112,84,557,370,409,1402,7,9,100,70,881.0,42,8,264,56,218,218,252,83,325,377,327,376,348,332,193,295,247,253
201956,Omri Casspi,Omri,1610612744,GSW,30.0,53,40,13,0.755,741.5933333333334,70,44,55,204,287,227,231,758,19,13,71,59,690.5,288,120,146,32,314,243,252,197,208,245,246,261,240,203,232,233,269,294
1627775,Patrick McCaw,Patrick,1610612744,GSW,22.0,57,41,16,0.719,961.1333333333332,53,25,34,126,375,282,280,1032,10,19,67,42,566.9,260,109,175,46,282,273,328,270,286,276,282,285,284,298,292,227,325,312
1626188,Quinn Cook,Quinn,1610612744,GSW,25.0,33,21,12,0.636,740.5033333333333,65,11,68,88,257,217,218,752,1,16,59,26,550.9,356,284,144,97,315,252,390,161,318,229,241,252,238,440,263,214,365,317
2733,Shaun Livingston,Shaun,1610612744,GSW,32.0,71,49,22,0.69,1129.3166666666666,69,19,80,204,423,324,303,1040,21,15,117,49,871.2,163,31,242,60,258,245,355,129,208,299,302,299,286,187,253,331,296,257
201939,Stephen Curry,Stephen,1610612744,GSW,30.0,51,41,10,0.804,1630.7966666666666,220,84,222,276,631,458,505,1656,8,21,114,207,2235.2,306,109,118,20,171,29,139,12,150,414,402,445,402,322,314,323,57,49
2585,Zaza Pachulia,Zaza,1610612744,GSW,34.0,69,47,22,0.681,971.7466666666668,36,53,47,270,351,258,304,1008,17,35,122,94,1014.7,178,52,242,68,281,319,219,221,157,269,268,300,278,215,410,346,200,234
