player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
201143,Al Horford,Al,1610612738,BOS,33.0,68,41,27,0.603,29.0,0.719,0.281,0.679,0.201,0.237,0.05,0.084,0.115,0.478,0.752,0.248,1.0,0.0,0.798,0.202,387,723,0.535,165,103,271,152,95,165,362,119,43,338,446,428,418,211,86,428,1,316,131,388,76,101,68,BOS
203382,Aron Baynes,Aron,1610612738,BOS,32.0,51,32,19,0.627,16.1,0.726,0.274,0.592,0.056,0.222,0.042,0.186,0.134,0.535,0.667,0.333,1.0,0.0,0.733,0.267,105,223,0.471,284,179,183,123,319,161,366,186,300,354,458,129,331,156,178,327,1,316,192,325,306,317,175,BOS
202954,Brad Wanamaker,Brad,1610612738,BOS,29.0,36,27,9,0.75,9.5,0.629,0.371,0.486,0.129,0.343,0.321,0.171,0.2,0.357,0.412,0.588,0.75,0.25,0.52,0.48,50,105,0.476,364,229,96,29,442,257,270,310,125,234,12,170,71,339,380,135,365,87,389,129,384,394,162,BOS
1628464,Daniel Theis,Daniel,1610612738,BOS,27.0,66,38,28,0.576,13.8,0.748,0.252,0.642,0.059,0.209,0.035,0.149,0.128,0.583,0.792,0.208,0.962,0.038,0.822,0.178,146,266,0.549,190,132,292,189,366,139,388,144,293,366,466,231,358,129,54,461,185,269,99,420,273,293,60,BOS
202330,Gordon Hayward,Gordon,1610612738,BOS,29.0,72,44,28,0.611,25.9,0.636,0.364,0.531,0.145,0.28,0.171,0.189,0.179,0.385,0.607,0.393,0.87,0.13,0.676,0.324,296,635,0.466,135,77,292,141,157,249,278,260,98,295,112,128,124,307,244,271,298,156,265,254,124,130,188,BOS
1627824,Guerschon Yabusele,Guerschon,1610612738,BOS,23.0,41,27,14,0.659,6.1,0.636,0.364,0.553,0.043,0.287,0.106,0.16,0.16,0.511,0.615,0.385,1.0,0.0,0.714,0.286,35,77,0.455,350,229,136,91,487,247,279,230,336,290,296,199,193,171,234,280,1,316,211,305,409,409,215,BOS
1627759,Jaylen Brown,Jaylen,1610612738,BOS,22.0,74,41,33,0.554,25.9,0.652,0.348,0.566,0.081,0.296,0.229,0.138,0.2,0.485,0.571,0.429,0.968,0.032,0.674,0.326,368,792,0.465,112,103,372,208,159,237,290,219,232,285,40,276,70,201,269,244,176,278,266,253,86,81,194,BOS
1628369,Jayson Tatum,Jayson,1610612738,BOS,21.0,79,48,31,0.608,31.1,0.7,0.3,0.563,0.163,0.28,0.165,0.157,0.191,0.401,0.497,0.503,0.853,0.147,0.586,0.414,466,1036,0.45,56,38,335,146,69,190,337,223,73,296,122,204,100,289,328,187,311,143,345,174,54,47,227,BOS
202681,Kyrie Irving,Kyrie,1610612738,BOS,27.0,67,37,30,0.552,33.0,0.65,0.35,0.539,0.175,0.327,0.15,0.134,0.141,0.363,0.265,0.735,0.638,0.362,0.373,0.627,604,1241,0.487,179,139,324,209,39,238,289,253,62,249,157,290,285,331,459,56,409,45,464,55,21,23,140,BOS
202694,Marcus Morris Sr.,Marcus,1610612738,BOS,29.0,75,44,31,0.587,27.9,0.539,0.461,0.442,0.147,0.419,0.093,0.139,0.156,0.294,0.528,0.472,0.938,0.062,0.687,0.313,377,844,0.447,98,77,335,173,113,346,181,356,93,163,347,268,217,406,296,219,218,236,252,267,80,68,240,BOS
