player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
1627936,Alex Caruso,Alex,1610612747,LAL,25.0,25,8,17,0.32,46.6,102.4,4.1,0.079,0.12,2.1,0.279,0.8,0.164,18.0,13.8,14.5,42.8,0.219,403,424,164,435,313,66,429,445,440,81,77,231,241,433,377,371,84,79
201281,Andre Ingram,Andre,1610612747,LAL,33.0,4,1,3,0.25,43.0,87.5,2.9,0.053,0.091,2.9,0.2,0.0,0.0,5.9,11.8,5.9,29.4,0.4,493,499,48,465,519,12,496,506,493,21,219,473,473,16,128,19,12,16
1627742,Brandon Ingram,Brandon,1610612747,LAL,21.0,52,25,27,0.481,46.0,108.8,5.9,0.113,0.168,0.7,0.111,0.8,0.144,17.8,13.5,17.0,49.2,0.133,281,251,271,287,387,292,273,296,288,464,459,225,266,422,341,489,379,305
1629067,Isaac Bonga,Isaac,1610612747,LAL,19.0,22,7,15,0.318,45.5,89.6,6.1,0.113,0.158,3.4,0.36,1.5,0.211,14.4,12.1,12.9,37.1,0.405,411,433,145,437,445,15,261,293,320,10,21,97,177,136,163,214,22,13
201580,JaVale McGee,JaVale,1610612747,LAL,31.0,75,35,40,0.467,45.8,111.1,10.2,0.203,0.294,1.3,0.173,4.1,0.617,18.6,14.4,17.1,49.4,0.102,98,152,454,305,417,402,66,73,72,296,310,9,10,459,424,492,382,406
1629203,Jemerrio Jones,Jemerrio,1610612747,LAL,24.0,6,3,3,0.5,48.0,98.0,11.1,0.198,0.27,2.3,0.368,1.7,0.263,20.5,14.1,18.1,42.3,0.285,481,472,48,251,108,33,46,80,98,53,18,82,133,497,405,508,70,33
1629140,Johnathan Williams,Johnathan,1610612747,LAL,24.0,24,10,14,0.417,47.1,102.4,6.5,0.13,0.194,1.0,0.133,0.9,0.206,12.8,13.0,13.7,46.1,0.222,407,400,136,364,255,67,231,239,233,389,415,199,187,57,284,305,214,72
1628404,Josh Hart,Josh,1610612747,LAL,24.0,67,31,36,0.463,45.6,104.7,5.7,0.109,0.158,1.7,0.235,1.1,0.209,16.3,12.5,13.3,46.7,0.19,179,187,406,314,439,116,287,316,322,160,139,157,180,295,194,263,244,127
203484,Kentavious Caldwell-Pope,Kentavious,1610612747,LAL,26.0,82,37,45,0.451,46.0,110.1,4.3,0.088,0.131,1.6,0.23,0.3,0.064,18.6,14.4,13.8,48.9,0.115,1,139,488,325,386,354,411,411,407,167,149,408,408,461,433,312,364,366
1628398,Kyle Kuzma,Kyle,1610612747,LAL,23.0,70,33,37,0.471,45.8,109.7,6.4,0.127,0.182,0.8,0.115,0.5,0.099,17.3,12.7,14.3,48.5,0.12,148,169,416,301,410,342,241,251,261,449,452,334,345,388,222,356,340,351
202362,Lance Stephenson,Lance,1610612747,LAL,28.0,68,33,35,0.485,45.1,108.4,7.3,0.15,0.222,1.6,0.229,0.3,0.066,17.1,12.9,15.7,47.4,0.139,165,169,397,279,471,267,181,178,171,169,153,415,405,374,262,452,284,282
2544,LeBron James,LeBron,1610612747,LAL,34.0,55,28,27,0.509,45.9,107.6,9.7,0.193,0.279,1.7,0.237,0.8,0.146,16.9,12.1,14.6,48.5,0.148,270,219,271,249,396,238,84,87,89,154,135,234,262,358,162,380,334,255
1628366,Lonzo Ball,Lonzo,1610612747,LAL,21.0,47,25,22,0.532,45.8,106.1,6.3,0.124,0.176,2.2,0.29,0.6,0.109,16.6,13.0,14.5,47.9,0.17,310,251,217,228,412,169,243,258,277,70,60,290,332,327,271,373,309,187
201563,Michael Beasley,Michael,1610612747,LAL,30.0,26,11,15,0.423,46.5,108.8,7.9,0.153,0.232,1.5,0.225,1.7,0.323,16.4,15.7,14.9,47.2,0.133,399,394,145,357,331,295,151,166,159,212,161,83,100,315,488,405,270,307
203488,Mike Muscala,Mike,1610612747,LAL,27.0,64,35,29,0.547,45.7,106.5,6.5,0.133,0.192,0.8,0.103,1.3,0.275,16.1,12.3,14.9,48.4,0.164,201,152,312,213,424,190,227,229,237,458,470,117,128,285,173,402,331,205
1629021,Moritz Wagner,Moritz,1610612747,LAL,22.0,43,15,28,0.349,45.4,105.5,6.9,0.142,0.199,1.1,0.172,1.3,0.342,21.3,11.8,16.8,44.4,0.178,331,352,292,419,448,143,207,209,220,346,319,121,88,506,134,484,127,159
