player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
1628389,Bam Adebayo,Bam,1610612748,MIA,21.0,82,39,43,0.476,23.3,0.969,0.031,0.76,0.044,0.012,0.1,0.228,0.174,0.716,0.7,0.3,0.667,0.333,0.7,0.3,280,486,0.576,1,118,474,293,193,57,470,81,332,443,314,61,142,70,150,365,395,54,233,285,135,183,45,MIA
1627884,Derrick Jones Jr.,Derrick,1610612748,MIA,22.0,60,31,29,0.517,19.2,0.719,0.281,0.626,0.014,0.199,0.154,0.175,0.244,0.611,0.652,0.348,1.0,0.0,0.713,0.288,160,324,0.494,232,187,312,243,264,167,360,154,437,371,147,153,34,120,199,316,1,316,216,303,262,268,124,MIA
203079,Dion Waiters,Dion,1610612748,MIA,27.0,44,20,24,0.455,25.9,0.395,0.605,0.338,0.068,0.62,0.076,0.042,0.099,0.269,0.281,0.719,0.826,0.174,0.581,0.419,198,478,0.414,326,294,245,321,158,467,60,446,268,35,387,493,453,424,449,66,330,124,346,173,208,192,352,MIA
1629130,Duncan Robinson,Duncan,1610612748,MIA,25.0,15,7,8,0.467,10.7,0.239,0.761,0.32,0.08,0.6,0.24,0.08,0.2,0.24,0.875,0.125,1.0,0.0,0.944,0.056,18,46,0.391,441,433,93,305,425,510,17,460,235,42,32,440,71,447,23,489,1,316,28,491,438,443,422,MIA
2548,Dwyane Wade,Dwyane,1610612748,MIA,37.0,72,35,37,0.486,26.2,0.728,0.272,0.609,0.14,0.238,0.094,0.153,0.138,0.469,0.333,0.667,0.547,0.453,0.377,0.623,416,960,0.433,135,152,416,278,153,159,368,169,107,335,340,222,306,221,413,98,429,25,460,59,67,56,282,MIA
1629150,Emanuel Terry,Emanuel,1610612748,MIA,22.0,3,0,3,0.0,7.6,1.0,0.0,0.8,0.0,0.0,0.1,0.2,0.5,0.8,0.75,0.25,0.0,0.0,0.75,0.25,4,7,0.571,501,519,48,519,467,1,495,55,461,454,315,101,4,25,88,421,451,316,175,340,490,504,46,MIA
201609,Goran Dragic,Goran,1610612748,MIA,33.0,36,16,20,0.444,27.5,0.621,0.379,0.494,0.073,0.346,0.134,0.16,0.168,0.421,0.295,0.705,0.772,0.228,0.447,0.553,179,433,0.413,364,341,195,335,120,265,262,300,257,232,210,197,160,270,441,74,356,98,429,90,238,218,355,MIA
202355,Hassan Whiteside,Hassan,1610612748,MIA,30.0,72,33,39,0.458,23.3,0.976,0.024,0.87,0.041,0.007,0.044,0.123,0.134,0.83,0.614,0.386,1.0,0.0,0.616,0.384,388,680,0.571,135,169,438,315,195,52,475,24,344,448,454,320,328,21,237,278,1,316,324,195,75,115,47,MIA
201949,James Johnson,James,1610612748,MIA,32.0,55,27,28,0.491,21.2,0.607,0.393,0.533,0.033,0.35,0.051,0.117,0.133,0.5,0.518,0.482,0.86,0.14,0.622,0.378,164,379,0.433,270,229,292,276,227,278,249,258,369,228,441,342,337,183,303,212,304,150,321,198,254,242,283,MIA
1626196,Josh Richardson,Josh,1610612748,MIA,25.0,73,35,38,0.479,34.8,0.552,0.448,0.428,0.131,0.407,0.099,0.165,0.154,0.298,0.436,0.564,0.878,0.122,0.608,0.392,423,1026,0.412,124,152,426,288,13,332,195,364,121,177,320,184,227,402,365,150,287,167,331,188,64,51,363,MIA
