player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
1626150,Andrew Harrison,Andrew,1610612740,NOP,24.0,17,6,11,0.353,10.9,0.9,3.1,0.302,0.3,1.5,0.2,1.0,1.1,0.944,0.4,0.8,1.2,1.4,0.7,0.2,0.1,0.1,2.0,1.1,3.2,-1.3,7.1,0,0,6.8,435,450,407,417,420,472,421,498,378,338,423,249,308,16,375,472,461,248,329,445,402,447,196,306,443,333,445,261,38,446,NOP
203076,Anthony Davis,Anthony,1610612740,NOP,26.0,56,25,31,0.446,33.0,9.5,18.3,0.517,0.9,2.6,0.331,6.1,7.7,0.794,3.1,8.9,12.0,3.9,2.0,1.6,2.4,0.7,2.4,6.6,25.9,2.4,56.1,37,0,50.6,263,251,180,332,40,4,15,92,234,225,267,4,4,183,13,10,8,66,60,16,3,87,120,5,10,76,3,13,38,5,NOP
1627767,Cheick Diallo,Cheick,1610612740,NOP,22.0,64,27,37,0.422,14.0,2.6,4.2,0.62,0.0,0.1,0.25,0.8,1.0,0.746,1.2,4.0,5.2,0.5,0.8,0.5,0.5,0.3,1.8,1.0,6.0,-1.4,15.2,10,0,13.7,201,229,106,359,363,274,362,21,450,483,402,317,309,273,117,104,109,452,304,318,129,272,255,336,311,348,269,70,38,287,NOP
1626174,Christian Wood,Christian,1610612740,NOP,23.0,21,13,8,0.619,11.9,2.9,5.6,0.521,0.4,1.2,0.346,2.0,2.7,0.732,0.8,3.1,4.0,0.4,0.8,0.3,0.5,0.2,0.8,1.7,8.2,-2.5,15.1,2,0,14.6,417,374,436,135,405,231,282,83,340,359,213,117,112,291,196,180,186,478,288,382,143,339,455,193,221,427,273,159,38,270,NOP
1629541,Dairis Bertans,Dairis,1610612740,NOP,29.0,12,3,9,0.25,13.9,1.0,3.9,0.255,0.8,2.8,0.294,0.0,0.0,0.0,0.2,0.6,0.8,0.8,0.2,0.1,0.0,0.2,0.6,0.6,2.8,-4.2,5.1,0,0,5.4,454,472,430,465,365,458,382,507,239,191,358,497,504,497,462,490,489,375,493,494,473,401,482,417,456,481,477,261,38,471,NOP
203121,Darius Miller,Darius,1610612740,NOP,29.0,69,31,38,0.449,25.5,2.7,7.0,0.39,1.9,5.3,0.365,0.8,1.0,0.789,0.2,1.7,1.9,2.1,0.9,0.6,0.3,0.2,2.4,0.9,8.2,0.2,15.5,0,0,15.9,157,187,94,326,165,252,214,426,58,60,141,308,314,192,449,375,396,169,266,241,231,359,117,357,219,205,258,261,38,239,NOP
202734,E'Twaun Moore,E'Twaun,1610612740,NOP,30.0,53,21,32,0.396,27.6,4.8,10.0,0.481,1.4,3.3,0.432,0.8,1.1,0.763,0.7,1.7,2.4,1.9,1.1,0.8,0.2,0.5,2.1,1.0,11.9,0.2,19.3,0,0,19.5,275,284,160,383,119,113,122,153,119,157,30,294,298,241,253,364,342,184,196,165,367,152,171,338,128,209,196,261,38,186,NOP
203901,Elfrid Payton,Elfrid,1610612740,NOP,25.0,42,18,24,0.429,29.8,4.3,9.8,0.434,0.8,2.5,0.314,1.3,1.8,0.743,1.2,4.1,5.2,7.6,2.7,1.0,0.4,1.1,1.9,1.8,10.6,-1.6,30.0,10,6,27.2,341,321,277,350,87,135,126,276,256,237,325,190,197,277,118,101,104,11,26,73,186,19,222,175,158,373,73,70,7,87,NOP
1628402,Frank Jackson,Frank,1610612740,NOP,21.0,61,22,39,0.361,19.2,3.2,7.3,0.434,0.9,2.8,0.314,0.9,1.2,0.74,0.4,1.8,2.2,1.1,0.8,0.4,0.0,0.4,1.5,1.1,8.1,-2.2,13.0,0,0,13.2,227,276,78,409,266,208,197,279,229,195,327,281,284,281,354,356,361,306,298,340,468,226,331,303,225,411,317,261,38,299,NOP
203546,Ian Clark,Ian,1610612740,NOP,28.0,60,24,36,0.4,16.2,2.5,6.4,0.394,1.1,3.4,0.327,0.6,0.6,0.892,0.2,1.3,1.5,1.6,1.0,0.4,0.1,0.4,1.6,0.7,6.7,-0.9,11.3,0,0,11.8,232,262,116,377,317,285,247,419,162,155,281,378,419,28,444,422,439,224,237,369,386,243,318,401,284,304,363,261,38,333,NOP
1626143,Jahlil Okafor,Jahlil,1610612740,NOP,23.0,59,23,36,0.39,15.8,3.6,6.1,0.586,0.0,0.1,0.2,1.0,1.5,0.663,1.4,3.3,4.7,0.7,0.9,0.3,0.7,0.5,1.6,1.6,8.2,-2.0,16.8,6,0,15.5,240,272,116,391,325,182,257,40,449,477,423,249,230,393,88,159,128,413,255,434,87,154,306,205,220,400,237,95,38,248,NOP
201160,Jason Smith,Jason,1610612740,NOP,33.0,20,10,10,0.5,9.5,1.1,3.0,0.356,0.5,1.3,0.346,0.7,0.8,0.875,0.8,1.8,2.6,0.7,0.7,0.2,0.4,0.1,1.5,0.7,3.3,-2.5,8.3,0,0,8.0,421,400,421,251,441,455,437,463,336,356,213,338,374,45,202,353,316,407,345,481,223,459,333,401,441,422,420,261,38,419,NOP
201950,Jrue Holiday,Jrue,1610612740,NOP,29.0,67,30,37,0.448,35.8,8.2,17.3,0.472,1.8,5.4,0.325,3.1,4.0,0.768,1.1,3.9,5.0,7.7,3.1,1.6,0.8,1.0,2.2,3.6,21.2,3.4,42.9,18,0,40.5,179,201,106,330,5,24,22,173,78,56,287,46,46,232,125,116,117,9,13,13,62,37,154,49,25,54,18,38,38,21,NOP
203944,Julius Randle,Julius,1610612740,NOP,24.0,73,31,42,0.425,30.6,7.8,14.9,0.524,0.9,2.7,0.344,4.9,6.7,0.731,2.2,6.5,8.7,3.1,2.8,0.7,0.6,1.2,3.4,5.0,21.4,-0.2,37.7,31,1,36.8,124,187,58,354,74,27,41,82,212,212,220,17,11,296,37,27,25,98,19,180,102,10,11,20,21,248,31,21,16,29,NOP
1629026,Kenrich Williams,Kenrich,1610612740,NOP,24.0,46,17,29,0.37,23.5,2.3,6.1,0.384,1.1,3.4,0.333,0.3,0.4,0.684,1.2,3.6,4.8,1.8,0.8,1.0,0.4,0.4,2.1,1.0,6.1,-1.9,17.9,1,0,16.5,316,328,208,403,192,306,260,437,158,151,248,460,465,368,114,138,125,197,300,94,177,235,184,321,310,392,219,189,38,229,NOP
203524,Solomon Hill,Solomon,1610612740,NOP,28.0,44,14,30,0.318,20.0,1.5,4.0,0.382,0.7,2.3,0.317,0.5,0.7,0.719,0.8,2.3,3.0,1.3,0.7,0.5,0.2,0.2,1.8,0.8,4.3,-2.9,11.4,0,0,10.8,326,361,197,437,250,401,371,440,273,252,320,385,390,315,213,281,271,273,331,273,300,369,245,358,385,443,362,261,38,361,NOP
1626169,Stanley Johnson,Stanley,1610612740,NOP,23.0,66,28,38,0.424,18.3,2.6,6.7,0.389,0.9,3.3,0.288,0.8,1.0,0.781,0.5,2.8,3.3,1.3,1.2,0.9,0.2,0.6,1.7,1.0,6.9,-3.0,15.0,0,0,14.7,190,219,94,356,283,279,229,429,208,162,368,322,340,212,303,220,249,262,176,109,318,129,271,339,272,449,275,261,38,267,NOP
