player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank,team
202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,28.0,16,8,8,0.5,24.9,111.5,4.4,0.175,0.262,0.6,0.15,0.6,0.244,8.6,8.0,6.4,26.1,-0.246,18,30,191,74,85,153,44,53,49,93,126,48,63,142,157,118,149,153,POR
1629014,Anfernee Simons,Anfernee,1610612757,POR,20.0,5,2,3,0.4,2.4,96.3,0.0,0.0,0.0,0.2,0.333,0.0,0.0,0.0,0.0,0.4,2.0,-0.01,111,106,38,111,203,41,199,199,199,150,17,141,141,1,1,15,16,27,POR
203468,CJ McCollum,CJ,1610612757,POR,27.0,16,8,8,0.5,39.7,111.8,4.1,0.1,0.153,0.8,0.135,0.6,0.156,12.3,12.9,10.9,39.5,-0.391,18,30,191,74,4,155,56,145,141,52,134,48,94,188,208,180,209,194,POR
203081,Damian Lillard,Damian,1610612757,POR,28.0,16,8,8,0.5,40.6,112.0,4.3,0.102,0.156,1.7,0.293,0.3,0.069,13.4,13.0,10.7,41.0,-0.405,18,30,191,74,2,157,48,142,134,8,33,78,126,201,209,178,212,197,POR
202683,Enes Freedom,Enes,1610612757,POR,27.0,16,8,8,0.5,28.8,109.6,6.4,0.212,0.315,0.7,0.164,0.6,0.176,9.4,8.3,7.7,28.5,-0.257,18,30,191,74,66,132,15,26,25,74,121,56,86,152,165,147,161,156,POR
202323,Evan Turner,Evan,1610612757,POR,30.0,16,8,8,0.5,15.3,106.4,3.7,0.213,0.339,0.2,0.111,0.2,0.107,4.6,6.3,3.6,13.8,-0.117,18,30,191,74,128,107,67,25,15,156,145,115,112,91,119,77,87,92,POR
1627774,Jake Layman,Jake,1610612757,POR,25.0,6,3,3,0.5,3.4,97.8,0.5,0.158,0.25,0.0,0.0,0.0,0.0,0.8,0.3,1.0,4.0,-0.015,99,89,38,74,190,50,179,68,54,171,171,141,141,28,20,26,33,35,POR
203090,Maurice Harkless,Maurice,1610612757,POR,26.0,16,8,8,0.5,24.2,111.4,3.1,0.132,0.186,1.1,0.261,1.0,0.485,8.8,7.1,7.9,23.9,-0.241,18,30,191,74,87,152,84,102,111,30,48,16,25,144,137,149,137,150,POR
203086,Meyers Leonard,Meyers,1610612757,POR,27.0,11,5,6,0.455,15.5,111.9,3.1,0.211,0.321,0.3,0.13,0.1,0.091,3.3,4.6,4.2,16.5,-0.155,52,74,177,100,127,156,82,27,22,140,136,135,116,67,95,83,100,114,POR
203918,Rodney Hood,Rodney,1610612757,POR,26.0,16,8,8,0.5,23.3,106.9,1.7,0.064,0.108,0.4,0.154,0.2,0.073,6.6,8.7,4.7,21.3,-0.181,18,30,191,74,93,113,133,182,172,128,123,115,123,118,179,91,125,124,POR
203552,Seth Curry,Seth,1610612757,POR,28.0,16,8,8,0.5,20.4,103.8,1.3,0.055,0.09,0.8,0.3,0.3,0.108,6.1,7.6,4.8,17.5,-0.133,18,30,191,74,106,87,150,188,186,58,28,89,111,110,148,93,103,101,POR
1627746,Skal Labissiere,Skal,1610612757,POR,23.0,3,1,2,0.333,3.5,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,-0.013,180,123,13,117,188,38,199,199,199,171,171,141,141,1,1,1,21,31,POR
1628380,Zach Collins,Zach,1610612757,POR,21.0,16,8,8,0.5,17.2,105.6,2.6,0.131,0.208,0.4,0.25,1.3,0.7,5.3,6.4,3.6,13.9,-0.124,18,30,191,74,116,103,103,105,85,113,52,9,9,100,124,77,88,93,POR
