player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
1629164,Brandon Goodwin,Brandon,1610612737,ATL,24.0,34,13,21,0.382,12.7,1.1,0.6,0.9,2.5,4.5,3.9,2.9,12.4,0.1,0.4,1.3,0.9,11.4,342,347,256,362,384,272,370,239,301,128,160,112,385,404,297,149,344,355,ATL
1628981,Bruno Fernando,Bruno,1610612737,ATL,21.0,56,18,38,0.321,12.7,0.4,1.2,0.4,3.4,5.8,3.8,3.7,13.8,0.3,0.4,1.9,1.0,11.0,206,282,467,425,383,462,167,383,234,204,153,167,359,235,300,303,335,360,ATL
1629629,Cam Reddish,Cam,1610612737,ATL,20.0,58,17,41,0.293,26.7,1.6,1.1,1.6,3.6,10.3,8.6,8.6,31.6,0.5,0.9,2.3,1.9,20.2,173,295,494,455,144,172,198,114,219,451,479,455,58,149,489,396,151,189,ATL
202718,Chandler Parsons,Chandler,1610612737,ATL,31.0,5,0,5,0.0,10.8,0.6,1.0,0.0,0.4,5.6,3.8,4.0,14.8,0.2,0.0,0.6,0.2,7.8,487,518,71,518,418,411,232,479,500,193,155,184,343,327,1,46,498,433,ATL
1629718,Charlie Brown Jr.,Charlie,1610612737,ATL,23.0,10,1,9,0.1,4.0,0.4,0.2,0.2,0.6,0.2,0.6,0.0,2.2,0.2,0.0,0.3,0.5,3.7,449,501,109,514,513,456,465,446,490,6,9,1,522,327,1,12,442,497,ATL
203991,Clint Capela,Clint,1610612737,ATL,26.0,39,22,17,0.564,32.8,2.1,3.2,2.0,12.5,12.8,9.1,11.5,35.8,1.8,1.0,2.6,2.7,38.8,316,221,202,195,45,95,17,69,13,512,499,524,21,10,503,455,85,34,ATL
1627745,Damian Jones,Damian,1610612737,ATL,25.0,55,15,40,0.273,16.1,0.7,1.1,0.3,4.3,6.4,5.1,4.7,17.9,0.7,0.5,2.7,1.4,14.1,220,321,484,473,323,398,193,432,173,239,265,224,286,77,362,468,227,293,ATL
1629631,De'Andre Hunter,De'Andre,1610612737,ATL,22.0,63,19,44,0.302,32.0,1.6,1.3,1.7,4.0,12.7,9.4,10.6,35.9,0.3,0.9,2.9,2.1,21.8,107,264,515,443,56,165,147,110,187,510,506,511,19,253,480,487,138,162,ATL
1627761,DeAndre' Bembry,DeAndre',1610612737,ATL,25.0,43,10,33,0.233,21.3,1.5,0.7,1.1,4.1,9.4,7.1,6.1,21.4,0.4,0.4,2.0,1.1,16.6,299,372,410,492,226,192,318,195,183,400,388,311,217,168,344,320,302,247,ATL
203473,Dewayne Dedmon,Dewayne,1610612737,ATL,30.0,44,17,27,0.386,17.6,0.7,1.2,0.5,3.3,5.8,5.0,4.0,15.6,0.9,0.3,3.0,1.2,16.6,291,295,339,359,299,369,176,341,242,204,250,188,332,47,237,495,273,248,ATL
201952,Jeff Teague,Jeff,1610612737,ATL,32.0,59,22,37,0.373,24.8,1.4,0.6,0.9,5.3,8.8,8.3,6.2,26.1,0.3,0.6,1.8,2.6,22.8,162,221,452,369,175,209,350,246,124,367,465,316,152,229,431,272,96,150,ATL
1628381,John Collins,John,1610612737,ATL,22.0,41,15,26,0.366,33.2,3.2,3.4,2.1,13.5,13.6,10.0,10.8,36.6,1.6,1.3,3.4,3.5,41.2,306,321,328,374,36,26,12,60,6,525,519,516,11,14,520,516,51,22,ATL
1628989,Kevin Huerter,Kevin,1610612737,ATL,21.0,56,19,37,0.339,31.4,2.2,1.0,1.6,3.6,13.0,9.5,10.3,35.9,0.5,0.3,2.5,1.0,25.4,206,264,452,391,66,86,223,116,216,517,507,506,20,150,263,434,313,116,ATL
1627746,Skal Labissiere,Skal,1610612737,ATL,24.0,33,14,19,0.424,17.2,0.4,1.3,0.4,3.7,5.6,5.9,4.2,16.8,0.9,0.2,2.7,1.0,16.4,346,339,226,327,307,461,145,389,208,195,312,196,301,45,179,465,315,255,ATL
1629027,Trae Young,Trae,1610612737,ATL,21.0,60,18,42,0.3,35.3,3.9,1.8,3.1,9.8,14.6,11.3,11.4,41.9,0.1,1.3,1.7,7.7,47.6,151,282,503,445,10,13,75,26,37,529,527,523,1,396,521,258,2,9,ATL
1626203,Treveon Graham,Treveon,1610612737,ATL,26.0,55,21,34,0.382,16.9,0.9,0.8,0.5,1.9,5.7,5.3,3.7,17.2,0.1,0.4,1.9,1.1,10.0,220,235,420,363,310,319,284,374,362,199,271,170,294,417,342,289,298,377,ATL
1627820,Tyrone Wallace,Tyrone,1610612737,ATL,26.0,14,3,11,0.214,11.5,0.6,0.1,0.6,1.9,3.7,2.7,2.5,9.1,0.1,0.4,1.4,1.0,7.1,427,462,131,500,403,401,473,336,364,97,96,94,442,452,300,171,320,445,ATL
1713,Vince Carter,Vince,1610612737,ATL,43.0,60,19,41,0.317,14.6,0.5,0.5,0.4,0.9,5.7,4.5,3.7,15.3,0.4,0.1,1.5,0.5,10.5,151,264,494,429,349,432,378,390,463,196,218,172,339,184,79,197,438,372,ATL
