player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
1628988,Aaron Holiday,Aaron,1610612754,IND,23.0,66,42,24,0.636,47.6,2.6,1.9,2.3,6.7,14.0,13.8,14.0,46.5,0.5,0.8,3.5,3.4,37.6,70,51,299,103,154,336,318,247,336,68,407,398,252,349,247,168,255,315
1628993,Alize Johnson,Alize,1610612754,IND,24.0,17,10,7,0.588,45.3,3.1,2.3,2.3,6.9,20.4,7.7,15.0,33.8,0.8,2.3,4.6,4.2,42.3,419,372,93,171,455,233,233,238,323,478,18,455,510,243,522,336,160,211
1628968,Brian Bowen II,Brian,1610612754,IND,21.0,6,5,1,0.833,47.8,0.0,0.0,0.0,9.2,10.8,9.2,13.8,43.1,1.5,1.5,4.6,1.5,25.2,482,440,7,9,124,498,482,479,200,18,28,386,390,100,473,336,479,504
1627734,Domantas Sabonis,Domantas,1610612754,IND,24.0,62,37,25,0.597,48.4,3.6,4.1,1.0,17.0,14.2,11.9,13.5,46.5,0.7,1.3,4.4,6.8,58.2,123,91,307,161,59,149,84,416,32,82,160,349,255,275,416,302,32,37
203926,Doug McDermott,Doug,1610612754,IND,28.0,69,43,26,0.623,46.8,3.3,2.5,2.9,8.3,13.8,15.1,12.8,46.3,0.2,1.3,4.0,1.9,35.6,37,42,328,124,273,175,205,168,253,62,470,285,269,462,419,240,439,350
1628410,Edmond Sumner,Edmond,1610612754,IND,24.0,31,16,15,0.516,46.6,4.6,1.8,4.7,9.4,13.9,15.6,10.8,49.3,0.9,1.3,4.6,2.9,35.5,353,304,179,213,294,54,332,36,194,64,486,95,122,188,413,333,317,358
1629048,Goga Bitadze,Goga,1610612754,IND,20.0,54,32,22,0.593,45.4,2.5,2.7,0.6,8.9,15.2,13.9,12.7,49.3,3.6,0.3,6.3,2.5,43.0,232,133,270,166,447,353,177,460,216,146,409,269,121,15,74,457,365,196
203960,JaKarr Sampson,JaKarr,1610612754,IND,27.0,34,21,13,0.618,46.3,3.0,1.6,2.2,12.0,15.5,10.1,14.3,45.8,1.2,0.5,6.3,3.1,35.6,342,235,153,137,345,240,374,263,118,177,49,418,298,144,130,460,284,352
203087,Jeremy Lamb,Jeremy,1610612754,IND,28.0,46,27,19,0.587,48.1,3.7,1.9,2.6,7.3,15.6,12.2,13.2,48.5,0.8,0.6,3.9,3.7,42.6,280,181,226,174,83,133,308,201,308,187,207,321,153,220,180,221,218,204
203200,Justin Holiday,Justin,1610612754,IND,31.0,73,45,28,0.616,47.0,2.8,1.2,2.7,2.8,14.7,15.0,12.6,47.8,1.2,0.6,3.5,2.0,35.6,2,29,354,139,247,289,427,187,485,118,463,246,181,141,183,166,433,353
1627763,Malcolm Brogdon,Malcolm,1610612754,IND,27.0,54,34,20,0.63,48.5,3.0,1.6,1.8,9.5,15.6,12.0,13.3,47.3,0.3,1.5,2.9,4.2,51.9,232,109,242,113,50,255,363,306,189,189,184,331,211,417,474,62,163,86
1626167,Myles Turner,Myles,1610612754,IND,24.0,62,37,25,0.597,48.9,2.6,2.6,0.6,7.5,15.0,12.6,14.5,45.6,3.5,0.6,4.4,4.2,48.0,123,91,307,161,30,338,189,462,295,132,248,427,302,16,175,313,168,122
1628513,Naz Mitrou-Long,Naz,1610612754,IND,26.0,5,3,2,0.6,47.3,3.0,0.0,4.0,8.1,14.1,8.1,8.1,34.3,1.0,0.0,2.0,3.0,37.8,487,462,23,153,186,241,482,64,262,77,23,26,509,176,1,17,299,306
1628388,T.J. Leaf,T.J.,1610612754,IND,23.0,28,16,12,0.571,44.8,2.0,3.0,2.0,12.1,16.2,13.5,12.1,42.8,0.8,1.4,4.4,3.0,43.8,371,304,141,188,476,422,147,284,114,243,380,196,403,224,457,314,299,181
204456,T.J. McConnell,T.J.,1610612754,IND,28.0,71,44,27,0.62,46.4,2.2,0.9,2.0,11.1,13.9,13.9,13.2,48.5,0.4,0.8,2.6,2.3,46.4,21,32,339,133,322,394,450,290,134,63,414,326,151,381,253,40,399,143
203933,T.J. Warren,T.J.,1610612754,IND,26.0,67,42,25,0.627,48.4,6.4,3.8,5.8,14.6,15.0,12.3,13.7,48.4,0.7,0.7,4.1,3.9,45.4,59,51,307,119,53,12,91,13,65,134,214,375,154,252,221,256,201,156
203506,Victor Oladipo,Victor,1610612754,IND,28.0,19,11,8,0.579,47.2,3.3,1.2,5.4,7.5,17.2,11.8,16.0,43.8,0.4,0.9,3.2,5.5,41.5,406,362,103,179,215,183,430,17,293,331,152,490,373,391,283,101,76,228
