player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank,team
1627936,Alex Caruso,Alex,1610612747,LAL,26.0,64,48,16,0.75,18.4,101.0,1.7,0.085,0.124,1.1,0.314,0.3,0.121,6.1,4.4,4.8,16.9,0.098,100,15,194,32,280,58,374,430,434,62,41,257,318,225,207,230,231,75,LAL
203076,Anthony Davis,Anthony,1610612747,LAL,27.0,62,46,16,0.742,34.4,106.4,7.0,0.197,0.279,1.5,0.228,2.3,0.47,12.8,8.3,12.6,33.0,0.127,123,21,194,42,21,186,21,80,88,16,159,3,57,513,462,529,487,22,LAL
202340,Avery Bradley,Avery,1610612747,LAL,29.0,49,36,13,0.735,24.2,104.0,2.0,0.077,0.11,0.9,0.201,0.1,0.03,9.2,6.2,10.1,24.4,0.108,260,99,153,48,186,101,321,452,457,122,225,427,472,392,335,505,357,50,LAL
201980,Danny Green,Danny,1610612747,LAL,33.0,68,51,17,0.75,24.8,106.0,2.6,0.1,0.141,1.3,0.258,0.5,0.131,9.6,6.2,9.8,23.9,0.095,48,7,202,32,176,173,253,376,394,38,105,154,303,407,336,498,349,85,LAL
1629719,Devontae Cacok,Devontae,1610612747,LAL,23.0,1,0,1,0.0,8.9,109.1,3.0,0.333,0.5,0.0,0.0,0.0,0.0,5.0,5.0,5.0,18.0,0.03,524,518,7,518,447,293,200,5,4,500,500,480,480,160,254,238,250,431,LAL
203079,Dion Waiters,Dion,1610612747,LAL,28.0,10,4,6,0.4,20.7,104.5,2.2,0.102,0.143,0.4,0.138,0.6,0.261,6.8,5.0,5.1,17.2,0.089,449,450,83,339,236,117,288,363,386,347,421,102,143,264,254,247,235,97,LAL
2730,Dwight Howard,Dwight,1610612747,LAL,34.0,69,52,17,0.754,18.9,106.4,4.9,0.257,0.361,0.4,0.144,1.1,0.523,6.8,4.6,6.1,17.0,0.068,37,5,202,31,264,184,68,24,24,323,399,31,33,262,222,313,233,183,LAL
2747,JR Smith,JR,1610612747,LAL,34.0,6,2,4,0.333,13.2,117.9,0.8,0.06,0.088,0.2,0.067,0.0,0.0,7.5,4.0,5.3,9.7,0.004,482,480,55,396,376,509,468,499,498,469,488,480,480,302,165,269,100,506,LAL
201580,JaVale McGee,JaVale,1610612747,LAL,32.0,68,51,17,0.75,16.6,105.7,3.9,0.218,0.313,0.5,0.169,1.4,0.5,6.3,4.4,6.2,16.5,0.065,48,7,202,32,313,163,113,47,55,280,310,19,40,230,206,321,226,205,LAL
201162,Jared Dudley,Jared,1610612747,LAL,34.0,45,30,15,0.667,8.1,98.4,1.0,0.119,0.17,0.3,0.234,0.1,0.075,3.1,2.0,2.2,7.1,0.048,284,152,179,78,460,34,449,298,314,391,143,461,399,72,66,71,63,317,LAL
203484,Kentavious Caldwell-Pope,Kentavious,1610612747,LAL,27.0,69,51,18,0.739,25.5,107.2,1.5,0.056,0.082,0.8,0.189,0.2,0.058,9.0,6.2,8.6,24.4,0.088,37,7,216,46,165,216,395,503,503,146,263,325,427,378,338,456,356,100,LAL
1628961,Kostas Antetokounmpo,Kostas,1610612747,LAL,22.0,5,3,2,0.6,4.0,100.0,0.2,0.05,0.077,0.0,0.0,0.0,0.0,1.4,1.0,2.2,5.6,0.025,487,462,23,153,514,48,520,513,509,500,500,480,480,23,17,74,47,452,LAL
1628398,Kyle Kuzma,Kyle,1610612747,LAL,24.0,61,46,15,0.754,25.0,105.2,3.6,0.135,0.201,0.5,0.106,0.4,0.124,8.4,6.2,7.6,24.2,0.102,140,21,179,30,167,146,140,241,232,318,462,177,315,349,337,398,354,64,LAL
2544,LeBron James,LeBron,1610612747,LAL,35.0,67,50,17,0.746,34.6,103.6,6.9,0.191,0.269,1.2,0.191,0.5,0.106,12.2,8.1,11.6,32.1,0.154,59,12,202,40,17,90,22,92,100,50,256,125,343,506,450,525,479,9,LAL
202693,Markieff Morris,Markieff,1610612747,LAL,30.0,58,22,36,0.379,20.5,109.9,3.1,0.144,0.218,0.5,0.166,0.3,0.149,8.1,5.5,5.8,20.4,0.053,173,221,437,365,239,342,193,206,188,277,322,243,262,329,284,301,292,289,LAL
1626188,Quinn Cook,Quinn,1610612747,LAL,27.0,44,31,13,0.705,11.5,102.5,0.9,0.071,0.102,0.3,0.145,0.0,0.029,3.9,3.1,4.1,11.3,0.057,291,144,153,62,402,72,459,472,476,420,397,473,473,106,119,190,129,262,LAL
200765,Rajon Rondo,Rajon,1610612747,LAL,34.0,48,37,11,0.771,20.5,107.3,2.5,0.119,0.176,0.8,0.237,0.0,0.016,6.8,4.9,6.4,19.9,0.07,263,91,131,24,238,223,262,295,297,141,137,474,477,263,243,335,283,181,LAL
1629659,Talen Horton-Tucker,Talen,1610612747,LAL,19.0,6,2,4,0.333,13.5,111.2,0.8,0.056,0.078,1.3,0.471,0.2,0.143,8.7,4.8,4.3,11.0,0.032,482,480,55,396,366,386,468,505,508,32,12,358,273,362,239,205,119,422,LAL
