player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
203932,Aaron Gordon,Aaron,1610612753,ORL,24.0,62,30,32,0.484,48.2,3.8,3.6,3.1,10.9,13.7,11.1,11.3,46.3,0.9,1.0,3.0,4.9,47.3,123,152,397,247,74,124,103,127,142,52,92,132,265,192,325,77,105,132
202329,Al-Farouq Aminu,Al-Farouq,1610612753,ORL,29.0,18,7,11,0.389,47.7,1.5,3.0,1.0,3.5,17.7,11.2,12.4,42.2,1.0,0.5,3.4,3.6,34.5,411,414,131,356,142,469,150,417,464,366,97,225,421,177,134,127,226,372
1628518,Amile Jefferson,Amile,1610612753,ORL,27.0,18,5,13,0.278,46.5,0.0,3.8,0.0,6.3,8.1,11.3,10.6,42.5,1.9,0.6,4.4,5.0,36.0,411,440,153,467,316,498,93,479,350,12,103,87,414,83,186,304,101,343
1629168,BJ Johnson,BJ,1610612753,ORL,24.0,10,5,5,0.5,43.7,5.3,1.1,5.3,4.2,15.9,9.5,11.6,46.6,0.0,0.5,1.6,3.2,29.4,449,440,71,217,507,32,441,21,437,214,32,157,249,480,152,7,280,469
201571,D.J. Augustin,D.J.,1610612753,ORL,32.0,57,28,29,0.491,48.0,3.1,1.7,1.7,5.9,15.3,12.1,13.9,45.5,0.0,1.0,2.4,4.7,39.1,190,172,365,239,102,216,349,321,364,157,189,394,305,479,345,31,123,284
203095,Evan Fournier,Evan,1610612753,ORL,27.0,66,28,38,0.424,48.0,4.4,1.9,3.1,8.9,12.9,10.8,10.4,46.2,0.3,0.7,3.7,4.1,43.3,70,172,467,327,93,65,321,141,212,32,72,77,273,395,207,196,182,190
1629109,Gary Clark,Gary,1610612753,ORL,25.0,42,23,19,0.548,46.0,1.2,1.7,0.4,2.3,16.5,13.5,14.4,47.6,1.8,0.1,3.7,1.3,31.5,304,213,226,202,385,481,346,469,497,267,372,421,193,85,52,197,493,444
203516,James Ennis III,James,1610612753,ORL,29.0,69,42,27,0.609,47.0,2.8,2.8,3.9,7.4,16.5,12.0,12.9,51.5,0.8,0.8,5.1,3.3,35.5,37,51,339,151,242,284,162,73,305,269,174,302,62,221,239,378,259,357
1628371,Jonathan Isaac,Jonathan,1610612753,ORL,22.0,34,15,19,0.441,48.0,4.7,3.5,3.9,9.9,13.6,11.4,11.9,43.8,3.8,0.5,4.1,4.0,53.8,342,321,226,304,95,50,107,72,172,47,119,177,369,12,129,252,192,66
203705,Josh Magette,Josh,1610612753,ORL,30.0,8,3,5,0.375,48.6,7.7,2.6,2.6,10.3,16.7,14.1,7.7,38.5,1.3,0.0,5.1,3.8,43.2,469,462,71,368,43,6,197,202,162,287,430,21,473,125,1,383,203,193
203920,Khem Birch,Khem,1610612753,ORL,27.0,48,19,29,0.396,48.1,2.5,3.2,0.5,7.4,15.4,11.3,12.7,47.2,1.2,0.5,4.7,4.2,33.9,263,264,365,351,84,352,130,465,300,168,112,274,216,138,150,351,161,387
1628365,Markelle Fultz,Markelle,1610612753,ORL,22.0,72,33,39,0.458,47.7,3.1,1.6,3.0,12.0,13.4,10.1,10.8,46.5,0.3,1.2,3.4,3.4,44.6,9,125,477,278,135,219,364,157,117,42,50,96,253,429,388,132,251,169
1628982,Melvin Frazier Jr.,Melvin,1610612753,ORL,23.0,19,6,13,0.316,45.8,3.3,2.5,0.7,3.6,17.1,13.5,16.7,54.5,0.7,0.4,4.0,1.5,30.7,406,425,153,430,409,189,201,446,458,321,368,500,21,257,94,242,485,458
203487,Michael Carter-Williams,Michael,1610612753,ORL,28.0,45,21,24,0.467,47.8,3.4,1.7,2.8,9.6,15.6,11.1,12.3,44.3,1.3,1.1,5.0,6.7,47.3,284,235,299,273,114,167,342,172,183,192,88,219,347,131,378,371,38,131
1628964,Mo Bamba,Mo,1610612753,ORL,22.0,62,30,32,0.484,47.9,3.2,5.8,1.0,9.5,15.4,12.4,13.0,43.8,4.7,1.4,6.3,2.5,56.9,123,152,397,247,104,213,27,420,187,165,230,313,372,3,445,463,373,41
202696,Nikola Vučević,Nikola,1610612753,ORL,29.0,62,28,34,0.452,48.0,3.2,3.4,1.1,15.5,13.0,10.1,10.6,46.7,1.1,1.2,3.2,3.8,61.8,123,172,420,291,97,211,117,409,53,35,48,86,243,149,395,107,212,21
203082,Terrence Ross,Terrence,1610612753,ORL,29.0,69,31,38,0.449,47.6,3.7,1.4,2.7,4.8,14.9,11.3,12.0,44.0,0.6,1.0,2.7,2.9,41.3,37,144,467,293,155,137,397,181,418,128,106,187,359,299,338,53,327,236
1629724,Vic Law,Vic,1610612753,ORL,24.0,8,2,6,0.25,45.8,0.0,0.7,1.5,4.4,14.1,11.1,12.6,53.3,0.0,0.7,4.4,3.7,27.2,469,480,83,482,399,498,466,352,430,72,93,252,35,480,223,314,220,491
1628411,Wes Iwundu,Wes,1610612753,ORL,25.0,52,23,29,0.442,47.4,2.9,0.9,3.2,5.4,13.8,11.3,12.4,46.8,0.6,0.8,4.0,2.9,31.6,245,213,365,303,175,270,452,122,394,61,110,227,232,287,248,236,315,439
