player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
1628449,Chris Boucher,Chris,1610612761,TOR,27.0,7,4,3,0.571,6.1,0.0,0.0,0.0,0.0,0.9,0.7,2.0,2.9,0.3,0.0,0.7,0.6,4.1,81,79,55,70,175,157,150,141,180,27,32,59,194,94,1,54,144,177,TOR
1627832,Fred VanVleet,Fred,1610612761,TOR,26.0,11,7,4,0.636,39.1,4.1,1.7,4.7,4.9,12.3,7.9,9.5,32.7,0.6,0.9,2.5,2.7,40.1,56,37,77,47,8,6,40,3,49,193,166,190,18,37,191,150,52,18,TOR
200768,Kyle Lowry,Kyle,1610612761,TOR,34.0,11,7,4,0.636,37.6,1.9,0.8,2.4,6.2,11.6,5.9,9.4,30.4,0.7,0.7,3.6,5.5,39.1,56,37,77,47,15,62,103,22,34,186,136,189,37,29,172,200,12,20,TOR
1626259,Malcolm Miller,Malcolm,1610612761,TOR,27.0,1,1,0,1.0,5.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,199,131,1,1,182,157,150,141,180,57,77,1,199,140,217,114,183,193,TOR
201188,Marc Gasol,Marc,1610612761,TOR,35.0,11,7,4,0.636,20.7,0.7,0.5,0.0,2.7,6.0,3.6,5.4,16.4,0.6,0.0,2.9,1.7,17.0,56,37,77,47,101,113,130,141,96,106,96,130,108,37,1,174,79,96,TOR
1629744,Matt Thomas,Matt,1610612761,TOR,25.0,10,7,3,0.7,8.4,0.0,0.0,0.8,0.2,1.0,0.9,2.0,5.2,0.1,0.1,0.6,0.0,6.3,65,37,55,36,160,157,150,86,177,28,37,59,171,134,78,46,183,158,TOR
1626181,Norman Powell,Norman,1610612761,TOR,27.0,11,7,4,0.636,24.8,1.9,0.6,1.6,4.9,8.5,3.9,6.3,19.5,0.3,0.8,2.6,2.1,19.2,56,37,77,47,86,62,114,37,49,136,100,151,93,100,183,164,64,86,TOR
1628384,OG Anunoby,OG,1610612761,TOR,22.0,11,7,4,0.636,35.7,1.5,2.5,0.9,3.8,11.5,7.9,8.5,29.5,1.2,0.8,2.5,2.1,25.6,56,37,77,47,31,78,18,75,69,183,166,184,42,12,183,150,64,53,TOR
1627783,Pascal Siakam,Pascal,1610612761,TOR,26.0,11,7,4,0.636,38.0,2.3,1.4,1.7,9.1,11.6,8.1,9.9,29.3,0.4,0.9,3.0,3.6,34.1,56,37,77,47,13,47,59,32,15,186,172,199,44,78,191,176,30,33,TOR
1628778,Paul Watson,Paul,1610612761,TOR,25.0,2,2,0,1.0,4.3,1.0,0.0,1.0,1.0,1.5,2.5,1.5,2.0,0.0,0.5,0.0,0.5,3.3,182,109,1,1,191,99,150,65,144,38,65,50,199,140,144,1,152,191,TOR
1626178,Rondae Hollis-Jefferson,Rondae,1610612761,TOR,25.0,5,3,2,0.6,7.7,0.4,1.2,0.8,1.6,1.4,0.8,1.8,5.6,0.2,0.0,1.0,1.0,7.7,111,83,40,55,163,136,65,86,129,37,34,55,168,113,1,62,109,148,TOR
201586,Serge Ibaka,Serge,1610612761,TOR,30.0,11,7,4,0.636,22.9,2.2,2.3,0.5,5.8,7.8,5.3,6.5,17.6,1.3,0.2,2.5,1.1,29.1,56,37,77,47,97,50,22,115,37,130,125,156,100,7,99,150,107,40,TOR
1626169,Stanley Johnson,Stanley,1610612761,TOR,24.0,3,2,1,0.667,6.7,2.0,0.0,0.0,2.0,2.0,1.7,3.0,2.7,0.0,0.7,1.0,0.3,8.6,163,109,21,38,169,54,150,141,110,44,48,81,195,140,165,62,171,140,TOR
1629056,Terence Davis,Terence,1610612761,TOR,23.0,6,3,3,0.5,14.0,0.3,0.8,1.7,2.0,2.8,2.5,4.3,8.0,0.0,0.2,1.8,0.7,11.0,98,83,55,85,126,141,99,33,110,55,65,114,148,140,90,108,134,130,TOR
