player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
203992,Bogdan Bogdanović,Bogdan,1610612737,ATL,28.0,44,30,14,0.682,48.2,111.0,5.2,0.104,0.146,1.8,0.268,0.5,0.118,16.5,13.4,11.4,49.2,0.136,290,143,151,74,140,327,360,369,382,137,88,362,336,288,333,172,406,318
1629164,Brandon Goodwin,Brandon,1610612737,ATL,25.0,47,25,22,0.532,48.6,109.1,4.8,0.097,0.138,1.3,0.185,0.0,0.0,16.8,11.5,12.2,44.8,0.165,256,213,274,222,78,225,396,398,411,281,267,495,495,326,135,269,180,216
1628981,Bruno Fernando,Bruno,1610612737,ATL,22.0,33,20,13,0.606,45.9,104.7,12.6,0.256,0.344,0.8,0.111,0.6,0.188,17.1,10.6,11.2,36.6,0.222,364,279,137,139,467,85,23,22,29,464,472,315,227,365,64,150,27,88
1629629,Cam Reddish,Cam,1610612737,ATL,21.0,26,10,16,0.385,46.5,114.9,5.1,0.109,0.154,2.0,0.303,0.6,0.115,16.3,13.0,12.5,50.7,0.08,406,411,170,401,402,485,372,340,353,95,43,334,342,269,295,295,456,481
203991,Clint Capela,Clint,1610612737,ATL,27.0,63,34,29,0.54,48.3,108.2,15.4,0.301,0.419,1.1,0.167,3.3,0.581,15.2,12.8,11.8,48.4,0.177,99,100,399,211,115,184,7,6,8,379,330,21,24,145,268,229,363,187
201568,Danilo Gallinari,Danilo,1610612737,ATL,32.0,51,29,22,0.569,48.4,110.3,7.7,0.155,0.224,1.2,0.174,0.4,0.098,14.8,14.1,10.5,47.6,0.145,226,158,274,181,103,290,172,174,181,353,301,394,372,116,412,103,334,288
1629631,De'Andre Hunter,De'Andre,1610612737,ATL,23.0,23,12,11,0.522,47.1,105.9,6.5,0.125,0.178,1.3,0.213,0.8,0.167,14.7,13.5,13.0,46.0,0.209,420,388,111,235,321,105,252,281,287,289,198,238,249,110,351,347,239,101
1628381,John Collins,John,1610612737,ATL,23.0,63,34,29,0.54,47.9,111.7,9.0,0.183,0.258,0.9,0.13,1.6,0.313,15.6,13.4,11.9,50.1,0.126,99,100,399,211,186,360,97,98,107,444,440,105,122,211,340,241,441,357
1628989,Kevin Huerter,Kevin,1610612737,ATL,22.0,69,40,29,0.58,48.3,111.6,4.4,0.09,0.128,1.9,0.259,0.4,0.078,15.6,12.5,11.2,50.1,0.129,32,48,399,168,122,355,437,437,443,125,102,389,406,213,231,151,436,349
1627739,Kris Dunn,Kris,1610612737,ATL,27.0,4,1,3,0.25,47.8,117.7,6.3,0.125,0.188,2.1,0.286,2.1,0.333,25.3,12.6,12.6,56.8,0.042,519,515,27,486,199,521,260,281,263,82,65,64,107,531,249,314,528,521
101150,Lou Williams,Lou,1610612737,ATL,34.0,66,44,22,0.667,47.0,110.6,3.9,0.08,0.115,1.6,0.224,0.2,0.051,15.0,13.0,12.6,48.4,0.142,70,25,274,79,325,298,470,473,476,218,167,465,456,137,292,304,360,295
1630233,Nathan Knight,Nathan,1610612737,ATL,23.0,33,21,12,0.636,47.4,106.9,7.7,0.155,0.221,1.5,0.205,1.7,0.455,19.6,11.7,11.6,34.7,0.192,364,264,120,120,260,130,175,175,186,225,222,97,52,496,150,194,20,137
1630168,Onyeka Okongwu,Onyeka,1610612737,ATL,20.0,50,31,19,0.62,47.5,112.6,8.0,0.172,0.256,1.8,0.232,2.6,0.688,17.1,12.8,13.0,46.6,0.115,238,130,213,130,246,400,152,123,109,135,142,41,12,363,270,356,285,395
1630219,Skylar Mays,Skylar,1610612737,ATL,23.0,33,19,14,0.576,48.2,105.6,4.5,0.095,0.129,2.5,0.326,0.4,0.08,14.3,9.3,11.8,37.6,0.211,364,298,151,174,124,98,425,405,438,37,30,404,399,92,27,225,30,98
203524,Solomon Hill,Solomon,1610612737,ATL,30.0,71,41,30,0.577,48.1,110.6,5.5,0.111,0.161,1.6,0.218,0.3,0.089,15.4,12.7,11.3,48.4,0.143,12,43,413,172,161,301,329,335,336,201,186,412,385,182,261,167,361,292
203503,Tony Snell,Tony,1610612737,ATL,29.0,47,29,18,0.617,48.4,111.6,4.6,0.09,0.129,0.6,0.088,0.5,0.111,16.1,14.2,11.2,48.0,0.127,256,158,196,133,104,356,418,439,437,486,490,342,347,247,422,148,347,352
1629027,Trae Young,Trae,1610612737,ATL,22.0,63,36,27,0.571,47.6,113.0,4.6,0.094,0.133,1.2,0.181,0.3,0.052,15.4,13.6,12.1,50.5,0.108,99,82,361,176,225,419,410,417,425,354,284,445,455,173,362,263,452,418
