player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank,team
1629599,Amir Coffey,Amir,1610612746,LAC,24.0,10,9,1,0.9,1.6,91.2,0.2,0.133,0.182,0.1,1.0,0.0,0.0,0.3,0.4,0.0,1.6,-0.025,63,31,8,8,233,41,214,106,126,177,1,156,156,21,23,1,20,24,LAC
1630187,Daniel Oturu,Daniel,1610612746,LAC,21.0,8,7,1,0.875,1.9,100.0,0.3,0.154,0.222,0.0,0.0,0.1,1.0,0.4,0.5,0.0,2.0,-0.038,81,38,8,10,229,54,213,80,87,180,180,145,1,24,24,1,22,31,LAC
202326,DeMarcus Cousins,DeMarcus,1610612746,LAC,30.0,7,1,6,0.143,8.3,125.4,1.1,0.157,0.235,0.3,0.286,0.4,0.5,2.3,1.9,2.3,8.3,-0.294,86,137,197,200,162,216,157,76,76,133,39,75,25,73,68,84,81,97,LAC
1627826,Ivica Zubac,Ivica,1610612746,LAC,24.0,17,9,8,0.529,17.7,111.7,3.3,0.188,0.256,0.1,0.091,0.7,0.387,5.2,3.7,2.2,13.4,-0.454,29,31,218,90,115,139,66,52,59,176,162,38,41,122,113,80,118,122,LAC
1630206,Jay Scrubb,Jay,1610612746,LAC,20.0,6,5,1,0.833,1.3,76.5,0.2,0.125,0.167,0.0,0.0,0.0,0.0,0.5,0.3,0.0,1.0,-0.009,100,75,8,13,236,17,217,115,141,180,180,156,156,25,21,1,15,12,LAC
202695,Kawhi Leonard,Kawhi,1610612746,LAC,30.0,11,6,5,0.545,39.2,116.5,5.7,0.147,0.223,2.1,0.371,0.8,0.237,10.5,11.0,5.3,32.5,-1.112,53,58,168,80,10,170,26,89,86,2,22,29,75,209,227,154,215,223,LAC
1628379,Luke Kennard,Luke,1610612746,LAC,25.0,15,9,6,0.6,14.6,109.0,0.6,0.041,0.06,0.1,0.08,0.0,0.0,5.1,4.4,2.3,12.3,-0.357,33,31,197,50,129,121,188,218,218,174,167,156,156,121,122,87,109,108,LAC
202694,Marcus Morris Sr.,Marcus,1610612746,LAC,31.0,19,10,9,0.526,31.8,114.3,3.6,0.112,0.167,0.5,0.106,0.5,0.192,9.0,8.4,4.9,26.4,-0.868,17,18,234,91,53,155,58,142,140,89,154,55,85,181,188,146,173,193,LAC
201587,Nicolas Batum,Nicolas,1610612746,LAC,32.0,19,10,9,0.526,29.2,112.1,4.5,0.149,0.231,1.3,0.27,0.5,0.172,8.5,7.6,4.4,25.5,-0.767,17,18,234,91,63,141,38,87,81,18,43,55,92,173,179,140,166,168,LAC
201976,Patrick Beverley,Patrick,1610612746,LAC,32.0,17,8,9,0.471,19.0,110.8,1.8,0.098,0.139,0.7,0.24,0.7,0.429,5.0,3.2,2.3,13.8,-0.488,29,36,234,106,106,134,123,163,168,71,67,38,37,117,98,85,119,131,LAC
202331,Paul George,Paul,1610612746,LAC,31.0,19,10,9,0.526,40.9,114.7,8.7,0.212,0.318,1.0,0.162,0.5,0.143,10.6,11.3,5.6,34.0,-1.117,17,18,234,91,2,159,6,32,35,31,123,55,103,211,230,158,222,225,LAC
200765,Rajon Rondo,Rajon,1610612746,LAC,35.0,13,7,6,0.538,16.9,117.9,2.3,0.142,0.216,0.4,0.172,0.2,0.15,6.2,5.2,2.5,15.5,-0.482,36,38,197,89,119,179,104,97,95,115,115,115,102,144,134,93,126,129,LAC
202704,Reggie Jackson,Reggie,1610612746,LAC,31.0,19,10,9,0.526,32.7,114.6,2.8,0.084,0.126,0.9,0.196,0.2,0.061,9.6,9.3,5.1,29.7,-0.893,17,18,234,91,47,158,89,184,179,49,100,140,142,198,208,148,187,199,LAC
201586,Serge Ibaka,Serge,1610612746,LAC,31.0,2,0,2,0.0,9.2,105.7,1.5,0.136,0.2,0.5,0.5,1.5,1.0,1.0,6.0,0.0,9.0,-0.199,209,201,35,201,156,87,135,103,105,91,6,7,1,33,152,1,85,77,LAC
1629611,Terance Mann,Terance,1610612746,LAC,24.0,19,10,9,0.526,19.9,107.7,1.8,0.087,0.132,0.5,0.192,0.3,0.167,5.4,5.5,2.5,17.8,-0.474,17,18,234,91,104,105,121,179,172,89,102,104,93,128,137,98,139,126,LAC
1627812,Yogi Ferrell,Yogi,1610612746,LAC,28.0,9,8,1,0.889,1.6,90.0,0.3,0.273,0.333,0.0,0.0,0.0,0.0,0.3,0.2,0.0,1.8,-0.023,73,36,8,9,234,39,205,12,22,180,180,156,156,22,20,1,21,21,LAC
