player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,19.0,45,13,32,0.289,1089.915,4.6,13.5,0.341,1.9,6.8,0.28,1.0,1.4,0.738,1.0,6.0,7.0,3.2,3.3,0.7,1.4,0.3,1.9,1.2,12.1,-13.0,28.2,1,0,28.3,279,371,88,470,229,361,184,493,226,129,381,438,446,323,299,152,213,210,47,447,85,450,482,481,384,508,345,178,29,303
1629718,Charlie Brown Jr.,Charlie,1610612760,OKC,24.0,9,1,8,0.111,151.82666666666665,3.1,10.2,0.302,1.2,5.0,0.238,2.1,2.4,0.9,0.7,3.3,4.0,2.1,1.4,0.9,0.5,0.5,4.5,1.9,9.5,-10.2,20.4,0,0,19.7,491,515,454,526,453,487,373,511,347,270,428,249,318,49,379,441,437,340,364,319,309,374,68,372,468,489,507,245,29,507
1629647,Darius Bazley,Darius,1610612760,OKC,21.0,55,16,39,0.291,1714.205,5.7,14.5,0.396,1.7,6.0,0.29,2.6,3.7,0.702,1.1,7.2,8.3,2.1,2.6,0.6,0.5,1.1,1.3,2.7,15.8,-10.0,29.8,11,0,30.2,189,331,29,469,101,219,144,420,251,197,364,175,145,378,279,86,133,350,102,469,285,86,528,227,211,487,304,51,29,243
203121,Darius Miller,Darius,1610612760,OKC,31.0,18,5,13,0.278,196.795,4.0,8.8,0.458,3.1,7.7,0.405,2.2,2.2,1.0,0.4,4.0,4.4,3.8,1.5,2.4,0.9,0.0,2.4,1.3,13.4,6.8,32.8,0,0,31.3,443,465,391,477,437,421,457,222,62,78,83,235,340,1,498,344,405,153,350,15,161,503,396,467,317,37,206,245,29,220
1630466,Gabriel Deck,Gabriel,1610612760,OKC,26.0,10,1,9,0.1,211.60666666666663,5.4,11.4,0.478,0.3,2.6,0.133,3.1,3.7,0.818,2.7,4.1,6.8,4.1,1.0,1.4,0.0,0.3,1.5,2.7,14.3,-8.7,31.6,0,0,28.2,485,515,441,527,433,263,299,171,438,420,471,118,144,173,93,335,228,136,467,140,495,446,515,217,287,475,246,245,29,311
1629676,Isaiah Roby,Isaiah,1610612760,OKC,23.0,61,19,42,0.311,1425.2766666666666,5.2,10.8,0.483,0.8,2.8,0.294,2.2,3.0,0.744,2.2,6.4,8.6,2.7,2.9,1.3,0.9,1.0,4.1,2.6,13.5,-11.0,31.7,3,0,30.1,124,298,20,450,154,290,327,158,395,411,362,234,236,317,130,127,120,265,79,162,155,140,105,240,315,494,244,115,29,252
1629658,Jaylen Hoard,Jaylen,1610612760,OKC,22.0,19,1,18,0.053,319.63,5.0,9.9,0.5,0.0,1.2,0.0,3.2,4.6,0.683,2.4,5.0,7.3,2.7,1.9,1.5,0.6,1.6,2.1,2.9,13.1,-7.0,30.1,0,0,27.1,440,515,329,530,399,324,391,120,480,458,480,110,80,396,119,251,197,264,229,113,266,28,442,184,334,451,296,245,29,352
1630221,Josh Hall,Josh,1610612760,OKC,20.0,21,2,19,0.095,336.0,3.2,10.6,0.303,0.4,4.0,0.108,2.4,4.7,0.5,0.6,5.7,6.3,3.0,2.7,0.4,0.1,1.1,4.0,3.0,9.2,-10.7,20.2,1,0,20.0,429,501,306,528,393,475,339,509,430,352,476,211,74,488,405,190,244,232,93,495,483,101,118,175,475,490,508,178,29,505
1629620,Justin Robinson,Justin,1610612760,OKC,23.0,9,0,9,0.0,87.74166666666666,2.9,8.6,0.333,1.6,5.7,0.286,1.2,2.1,0.6,0.4,2.5,2.9,3.7,0.8,1.2,0.0,0.0,4.1,3.7,8.6,-18.5,20.5,0,0,19.3,491,531,441,531,477,497,462,494,273,214,369,402,363,457,485,508,522,166,500,193,495,503,102,104,489,522,506,245,29,510
202689,Kemba Walker,Kemba,1610612760,OKC,31.0,43,22,21,0.512,1369.3533333333332,7.5,17.8,0.42,3.3,9.3,0.36,3.5,3.9,0.899,0.4,4.0,4.5,5.6,2.3,1.3,0.3,1.3,1.6,4.3,21.8,2.4,37.9,0,0,38.3,297,252,268,246,163,90,45,354,43,30,211,80,127,51,484,339,394,74,134,180,386,48,509,64,50,132,107,245,29,75
1629026,Kenrich Williams,Kenrich,1610612760,OKC,26.0,66,21,45,0.318,1426.0616666666667,5.5,10.4,0.533,1.3,3.0,0.444,0.9,1.6,0.571,2.1,4.8,6.9,3.8,1.9,1.4,0.4,0.6,3.6,2.1,13.3,-4.5,30.8,0,0,29.0,70,264,11,446,153,249,356,78,330,407,27,460,421,473,140,262,218,155,226,133,335,300,159,332,326,393,272,245,29,283
1629652,Luguentz Dort,Luguentz,1610612760,OKC,22.0,52,18,34,0.346,1543.205,5.8,14.9,0.387,2.6,7.7,0.343,2.8,3.8,0.744,0.9,3.5,4.4,2.1,1.8,1.0,0.4,1.1,3.1,4.1,17.0,-5.9,28.0,0,0,29.1,215,312,61,429,128,214,133,439,111,80,250,141,138,316,327,412,404,356,247,260,328,83,232,75,163,430,352,245,29,276
203488,Mike Muscala,Mike,1610612760,OKC,29.0,35,15,20,0.429,645.4416666666667,6.6,14.9,0.446,3.8,10.3,0.37,1.8,2.0,0.917,1.1,6.3,7.4,1.6,1.2,0.4,0.6,0.3,3.0,2.1,18.9,0.9,32.1,0,0,33.7,354,344,284,352,335,141,134,262,20,14,182,300,370,37,281,129,195,455,429,491,247,449,257,321,104,193,231,245,29,143
1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,22.0,35,16,19,0.457,1179.6083333333331,8.8,17.2,0.508,2.2,5.2,0.418,5.6,7.0,0.808,0.6,4.5,5.1,6.3,3.2,0.8,0.7,1.2,2.1,5.6,25.3,-5.6,42.2,3,0,41.9,354,331,306,314,212,33,52,110,179,253,52,19,20,201,426,297,338,48,49,387,216,55,445,21,22,419,60,115,29,43
1629004,Svi Mykhailiuk,Svi,1610612760,OKC,24.0,66,13,53,0.197,1324.4483333333333,5.7,13.8,0.411,2.9,8.5,0.334,1.0,1.4,0.76,0.7,3.8,4.4,3.0,2.4,1.4,0.3,0.8,1.7,1.5,15.2,-6.2,27.7,0,0,28.9,70,371,1,513,178,227,174,379,83,52,280,435,449,289,401,380,399,234,124,134,381,232,500,429,248,438,360,245,29,286
1630177,Theo Maledon,Theo,1610612760,OKC,20.0,65,20,45,0.308,1777.7016666666666,4.6,12.4,0.368,2.1,6.3,0.335,2.0,2.7,0.748,0.5,3.8,4.3,4.6,2.9,1.1,0.2,0.4,2.6,2.3,13.3,-12.6,26.6,1,0,27.0,81,279,11,451,90,364,241,470,187,170,274,264,256,313,453,383,410,109,78,234,436,426,362,283,321,506,400,178,29,357
1628396,Tony Bradley,Tony,1610612760,OKC,23.0,42,15,27,0.357,683.9466666666667,6.9,10.4,0.665,0.0,0.2,0.0,2.0,2.9,0.691,4.5,8.1,12.6,1.9,1.7,0.8,1.6,0.9,3.2,2.5,15.8,-0.8,39.2,3,0,35.1,303,344,163,422,323,120,357,14,480,507,480,279,241,389,25,51,29,376,273,397,66,146,212,249,215,268,92,115,29,122
1629660,Ty Jerome,Ty,1610612760,OKC,23.0,33,7,26,0.212,787.7833333333333,5.8,13.1,0.446,3.2,7.7,0.423,1.2,1.6,0.765,0.5,3.7,4.2,5.5,2.1,0.9,0.3,0.5,2.8,1.5,16.1,-6.2,30.8,0,0,31.4,364,445,181,507,302,206,204,261,56,79,47,413,424,284,476,389,424,77,165,351,403,382,318,434,194,436,275,245,29,214
