player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
1629014,Anfernee Simons,Anfernee,1610612757,POR,22.0,64,37,27,0.578,1104.4566666666667,114.4,5.5,0.109,0.164,0.8,0.135,0.3,0.07,12.9,15.7,12.3,45.5,0.087,89,73,361,169,227,466,332,342,328,473,426,414,418,28,481,267,182,470
1629604,CJ Elleby,CJ,1610612757,POR,21.0,30,19,11,0.633,192.38333333333333,107.6,5.2,0.089,0.127,1.5,0.25,0.7,0.143,16.0,17.2,18.0,41.4,0.194,385,298,111,124,440,159,356,440,444,239,110,268,284,217,506,519,59,136
203468,CJ McCollum,CJ,1610612757,POR,29.0,47,28,19,0.596,1599.7583333333334,112.8,4.7,0.099,0.139,1.3,0.175,0.6,0.127,12.8,12.6,13.1,46.5,0.111,256,177,213,151,120,410,418,391,410,297,299,310,319,24,228,355,241,414
2546,Carmelo Anthony,Carmelo,1610612757,POR,37.0,69,39,30,0.565,1690.1433333333334,115.8,5.2,0.107,0.16,1.3,0.197,1.1,0.212,13.7,14.6,11.6,48.2,0.068,32,56,413,184,104,502,365,351,341,303,242,183,197,52,436,180,331,502
203081,Damian Lillard,Damian,1610612757,POR,30.0,67,39,28,0.582,2397.7966666666666,115.6,5.0,0.104,0.149,1.2,0.174,0.3,0.07,15.0,12.9,13.9,47.6,0.072,58,56,379,164,5,497,382,364,369,331,303,419,417,124,270,421,291,496
1627884,Derrick Jones Jr.,Derrick,1610612757,POR,24.0,58,32,26,0.552,1317.9283333333333,114.0,4.7,0.094,0.136,1.3,0.202,2.0,0.34,13.8,13.7,14.1,48.9,0.094,157,115,341,199,179,455,416,416,416,286,226,74,104,58,349,435,363,452
202683,Enes Freedom,Enes,1610612757,POR,29.0,72,42,30,0.583,1757.236666666667,114.8,14.0,0.281,0.404,0.9,0.149,1.3,0.279,13.4,13.4,13.3,49.1,0.082,1,36,413,162,94,478,14,15,12,442,385,144,144,40,312,371,373,481
1628385,Harry Giles III,Harry,1610612757,POR,23.0,38,23,15,0.605,347.9216666666667,111.5,14.1,0.254,0.372,1.1,0.182,1.8,0.394,17.7,17.2,14.9,42.2,0.134,335,234,163,141,389,348,13,23,21,385,279,92,72,383,507,468,74,334
203994,Jusuf Nurkić,Jusuf,1610612757,POR,26.0,37,22,15,0.595,880.0983333333334,108.2,13.4,0.283,0.386,2.1,0.23,2.1,0.429,14.6,12.3,14.4,43.5,0.18,338,252,163,152,282,183,18,13,15,94,152,62,61,101,194,449,111,173
1629833,Keljin Blevins,Keljin,1610612757,POR,25.0,17,11,6,0.647,74.91333333333333,107.5,4.5,0.071,0.1,1.3,0.167,0.0,0.0,21.8,21.1,24.3,34.6,0.207,452,398,61,110,489,157,434,497,508,313,333,495,495,514,529,534,17,110
1629642,Nassir Little,Nassir,1610612757,POR,21.0,48,27,21,0.563,640.37,118.4,7.2,0.144,0.217,0.4,0.07,1.0,0.188,13.9,17.5,15.0,46.5,0.032,251,189,258,189,336,525,209,217,197,505,500,205,226,61,510,475,239,524
1626181,Norman Powell,Norman,1610612757,POR,28.0,69,32,37,0.464,2205.4816666666666,112.5,3.8,0.079,0.115,1.8,0.224,0.4,0.072,16.1,13.7,13.4,45.7,0.117,32,115,497,305,21,397,483,481,478,150,165,396,415,225,354,379,195,394
203496,Robert Covington,Robert,1610612757,POR,30.0,70,42,28,0.6,2242.778333333333,113.8,8.7,0.183,0.259,2.2,0.289,1.8,0.341,14.3,12.6,13.9,47.0,0.096,21,36,379,143,17,448,119,97,103,77,61,91,103,86,226,423,271,450
1626178,Rondae Hollis-Jefferson,Rondae,1610612757,POR,26.0,11,6,5,0.545,107.30166666666666,112.8,6.7,0.14,0.195,0.9,0.154,1.8,0.333,8.5,10.3,19.2,45.6,0.113,479,456,50,206,467,408,240,228,247,445,374,93,107,3,46,528,191,409
1628388,T.J. Leaf,T.J.,1610612757,POR,24.0,7,6,1,0.857,35.416666666666664,110.7,6.8,0.106,0.139,2.7,0.5,1.4,0.2,20.3,19.0,29.8,40.7,0.16,501,456,6,7,518,310,236,355,405,25,2,143,214,497,523,539,47,245
