player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
202711,Bojan Bogdanović,Bojan,1610612762,UTA,32.0,72,52,20,0.722,2215.565,167,122,165,410,826,571,561,2396,4,61,115,187,1785.2,1,1,236,34,20,38,49,21,76,535,511,513,535,396,516,394,47,73,UTA
202324,Derrick Favors,Derrick,1610612762,UTA,29.0,68,49,19,0.721,1039.205,34,95,12,286,367,293,279,1214,68,16,143,63,1150.2,47,6,213,36,245,333,95,375,131,311,308,319,340,22,292,475,234,185,UTA
1628378,Donovan Mitchell,Donovan,1610612762,UTA,24.0,53,39,14,0.736,1771.4366666666667,151,111,118,448,623,445,476,1874,15,47,117,249,2152.5,208,56,151,25,93,51,62,63,61,466,439,465,470,221,484,406,28,43,UTA
1630190,Elijah Hughes,Elijah,1610612762,UTA,23.0,18,14,4,0.778,63.715,3,0,3,2,28,27,12,70,1,1,1,4,50.8,443,357,40,15,494,486,510,471,514,59,64,36,55,462,39,8,484,490,UTA
101141,Ersan Ilyasova,Ersan,1610612762,UTA,34.0,17,14,3,0.824,147.53833333333333,7,2,5,4,49,41,32,148,3,4,29,9,136.8,452,357,27,10,454,456,492,444,503,86,89,73,86,417,107,135,446,449,UTA
1627777,Georges Niang,Georges,1610612762,UTA,28.0,72,52,20,0.722,1154.4366666666667,52,55,54,96,377,297,251,1044,8,10,116,25,847.7,1,1,236,34,218,269,197,187,310,317,312,288,303,327,212,399,370,252,UTA
1629714,Jarrell Brantley,Jarrell,1610612762,UTA,25.0,28,23,5,0.821,138.31333333333333,4,13,7,26,41,40,35,162,2,4,17,1,137.9,397,234,50,11,457,479,402,420,437,73,86,84,90,437,107,100,519,448,UTA
204060,Joe Ingles,Joe,1610612762,UTA,33.0,67,47,20,0.701,1866.555,109,74,109,180,671,477,476,1872,12,14,120,110,1632.8,58,11,236,53,73,116,132,76,206,489,454,465,469,265,261,416,136,95,UTA
203903,Jordan Clarkson,Jordan,1610612762,UTA,29.0,68,49,19,0.721,1817.6166666666663,166,94,151,466,622,487,479,1900,10,39,110,126,1929.8,47,6,213,36,82,41,98,31,56,465,458,468,479,290,461,375,112,59,UTA
1629752,Juwan Morgan,Juwan,1610612762,UTA,24.0,29,24,5,0.828,147.10166666666666,3,10,4,20,58,48,44,174,1,2,21,6,93.1,395,223,50,9,455,486,416,455,446,95,102,97,97,462,63,114,465,462,UTA
1629744,Matt Thomas,Matt,1610612762,UTA,26.0,45,27,18,0.6,326.63,22,7,11,14,129,89,85,324,0,5,18,6,218.3,279,189,196,143,396,373,438,389,468,151,143,142,144,495,116,103,465,415,UTA
201144,Mike Conley,Mike,1610612762,UTA,33.0,51,37,14,0.725,1497.615,105,59,68,248,465,364,375,1370,9,24,98,132,1634.9,226,73,151,31,139,124,181,146,160,376,370,390,384,307,364,340,100,94,UTA
1629671,Miye Oni,Miye,1610612762,UTA,23.0,54,45,9,0.833,519.4116666666666,14,14,10,10,189,134,96,460,8,3,61,7,288.8,196,19,88,8,358,411,392,398,479,188,177,151,174,327,87,232,458,383,UTA
1626220,Royce O'Neale,Royce,1610612762,UTA,28.0,71,51,20,0.718,2240.48,92,71,90,134,802,545,562,2370,32,9,182,68,1533.5,12,4,236,40,18,148,139,108,256,528,499,514,531,109,198,521,217,108,UTA
203497,Rudy Gobert,Rudy,1610612762,UTA,29.0,71,52,19,0.732,2186.661666666667,91,246,48,780,770,514,537,2040,190,41,163,347,2872.5,12,1,213,28,23,150,6,217,7,520,480,498,495,1,470,498,9,10,UTA
1630235,Trent Forrest,Trent,1610612762,UTA,23.0,30,22,8,0.733,302.0133333333333,12,6,3,44,112,87,70,312,4,3,22,17,226.3,385,252,76,26,404,424,445,471,393,139,142,127,140,396,87,116,404,410,UTA
1628962,Udoka Azubuike,Udoka,1610612762,UTA,21.0,15,13,2,0.867,57.2,2,2,0,8,32,21,11,62,4,1,9,6,43.6,458,371,15,6,499,493,492,498,487,65,52,32,49,396,39,64,465,498,UTA
