player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank
203992,Bogdan Bogdanović,Bogdan,1610612737,ATL,29.0,4,1,3,0.25,50.7,115.2,7.1,0.14,0.224,0.5,0.1,0.5,0.167,22.7,15.2,9.5,43.6,-1.479,169,150,34,154,57,159,81,92,74,167,152,113,83,191,158,72,104,159
203991,Clint Capela,Clint,1610612737,ATL,28.0,2,0,2,0.0,51.8,120.5,14.1,0.244,0.44,1.3,0.5,1.3,1.0,26.9,30.8,12.8,56.4,-1.631,194,186,16,186,23,196,12,23,11,107,13,48,1,210,210,128,197,196
201568,Danilo Gallinari,Danilo,1610612737,ATL,33.0,5,1,4,0.2,50.7,117.4,8.6,0.181,0.244,0.5,0.056,0.0,0.0,20.5,12.3,13.6,47.3,-1.534,139,150,52,160,54,179,54,47,63,168,171,148,148,170,96,141,134,177
1629631,De'Andre Hunter,De'Andre,1610612737,ATL,24.0,5,1,4,0.2,50.8,116.7,4.9,0.097,0.156,1.2,0.211,0.3,0.1,18.6,18.3,9.9,49.4,-1.536,139,150,52,160,52,175,144,153,142,118,85,137,119,138,191,75,152,178
1626153,Delon Wright,Delon,1610612737,ATL,30.0,5,1,4,0.2,50.7,107.0,4.8,0.088,0.144,1.5,0.235,0.4,0.111,17.4,18.9,8.9,44.4,-1.259,139,150,52,160,56,81,151,167,151,85,67,128,113,120,195,59,111,100
203476,Gorgui Dieng,Gorgui,1610612737,ATL,32.0,2,0,2,0.0,43.3,113.0,8.3,0.333,0.333,0.0,0.0,0.0,0.0,8.3,0.0,0.0,50.0,-1.359,194,186,16,186,191,138,56,3,30,177,177,148,148,26,1,1,156,130
1630552,Jalen Johnson,Jalen,1610612737,ATL,20.0,2,0,2,0.0,42.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,54.5,-0.999,194,186,16,186,202,40,206,206,206,177,177,148,148,29,1,1,191,38
1628381,John Collins,John,1610612737,ATL,24.0,5,1,4,0.2,50.5,122.1,8.7,0.174,0.28,0.8,0.143,0.4,0.2,23.2,22.0,12.9,49.8,-1.698,139,150,52,160,63,205,53,55,42,143,125,122,72,193,201,130,154,207
1628989,Kevin Huerter,Kevin,1610612737,ATL,23.0,5,1,4,0.2,52.4,117.7,4.8,0.093,0.146,2.0,0.333,1.0,0.5,19.1,23.9,10.2,47.1,-1.587,139,150,52,160,10,180,154,162,150,50,31,66,14,151,203,80,131,186
1628995,Kevin Knox II,Kevin,1610612737,ATL,22.0,2,0,2,0.0,42.0,100.0,9.1,0.333,0.333,9.1,0.667,0.0,0.0,9.1,0.0,0.0,54.5,-0.999,194,186,16,186,202,40,46,3,30,2,9,148,148,29,1,1,191,38
1630168,Onyeka Okongwu,Onyeka,1610612737,ATL,21.0,5,1,4,0.2,51.6,105.7,7.7,0.143,0.225,1.9,0.308,1.9,0.571,17.2,15.8,8.1,42.1,-1.225,139,150,52,160,28,71,69,87,73,60,41,19,10,112,168,45,78,86
1630219,Skylar Mays,Skylar,1610612737,ATL,24.0,2,0,2,0.0,42.0,100.0,4.5,0.167,0.167,4.5,0.333,0.0,0.0,9.1,0.0,0.0,54.5,-0.999,194,186,16,186,202,40,158,61,131,11,31,148,148,29,1,1,191,38
1627789,Timothe Luwawu-Cabarrot,Timothe,1610612737,ATL,27.0,4,0,4,0.0,46.1,112.2,6.3,0.176,0.231,0.0,0.0,0.0,0.0,12.5,0.0,2.1,37.5,-1.425,169,186,52,186,168,130,111,50,69,177,177,148,148,56,1,14,38,147
1629027,Trae Young,Trae,1610612737,ATL,23.0,5,1,4,0.2,50.8,115.5,5.4,0.105,0.164,0.8,0.158,0.0,0.0,22.6,16.9,13.1,48.5,-1.492,139,150,52,160,50,163,133,137,134,144,116,148,148,189,183,134,147,165
