player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
203083,Andre Drummond,Andre,1610612751,BKN,28.0,4,0,4,0.0,59.91666666666666,6,11,0.545,0,0,0.0,3,5,0.6,3,9,12,3,6,5,3,1,12,6,15,-25,51.9,0,0,46.0,169,186,52,186,153,153,163,44,162,187,162,131,128,153,114,141,135,150,102,77,73,61,99,119,157,167,146,44,3,147,BKN
201933,Blake Griffin,Blake,1610612751,BKN,33.0,2,0,2,0.0,25.456666666666667,2,7,0.286,2,5,0.4,2,2,1.0,2,2,4,4,1,1,1,0,3,6,8,6,23.8,0,0,22.0,194,186,16,186,173,180,174,190,134,144,44,140,152,1,129,184,173,135,167,143,106,1,46,119,173,70,170,44,3,171,BKN
1628971,Bruce Brown,Bruce,1610612751,BKN,25.0,4,0,4,0.0,138.64333333333337,21,37,0.568,6,14,0.429,8,10,0.8,6,13,19,11,9,5,3,3,16,10,56,-27,110.3,0,0,108.0,169,186,52,186,102,93,108,34,90,101,32,90,94,80,81,117,106,88,78,77,73,126,131,97,97,174,105,44,3,104,BKN
1630560,Cam Thomas,Cam,1610612751,BKN,20.0,1,0,1,0.0,0.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,207,186,4,186,216,203,211,203,162,187,162,176,180,176,180,206,209,191,186,177,148,1,1,191,206,90,214,44,3,214,BKN
1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,20.0,1,0,1,0.0,0.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,207,186,4,186,216,203,211,203,162,187,162,176,180,176,180,206,209,191,186,177,148,1,1,191,206,90,214,44,3,214,BKN
201609,Goran Dragic,Goran,1610612751,BKN,36.0,4,0,4,0.0,79.16333333333333,18,32,0.563,4,12,0.333,2,2,1.0,6,12,18,6,5,3,0,0,11,3,42,12,76.6,0,0,76.0,169,186,52,186,139,109,118,37,106,112,94,140,152,1,81,120,115,117,114,110,148,1,91,149,116,51,127,44,3,124,BKN
1630556,Kessler Edwards,Kessler,1610612751,BKN,21.0,2,0,2,0.0,7.156666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,1,0,0,3,0,0,-5,3.5,0,0,3.0,194,186,16,186,205,203,211,203,162,187,162,176,180,176,180,206,209,174,167,143,148,1,46,191,206,119,204,44,3,206,BKN
201142,Kevin Durant,Kevin,1610612751,BKN,33.0,4,0,4,0.0,176.00333333333333,32,83,0.386,7,21,0.333,34,38,0.895,2,21,23,25,21,4,1,7,15,37,105,-31,164.1,0,0,170.0,169,186,52,186,79,67,58,155,82,84,94,27,28,40,129,83,96,51,30,92,106,179,123,29,58,183,70,44,3,66,BKN
202681,Kyrie Irving,Kyrie,1610612751,BKN,30.0,4,0,4,0.0,170.45166666666665,28,63,0.444,8,21,0.381,21,21,1.0,6,15,21,21,9,7,5,3,13,16,85,-9,168.7,0,0,159.0,169,186,52,186,86,74,76,103,75,84,67,43,59,1,81,107,99,57,78,58,53,126,109,71,68,126,68,44,3,69,BKN
1629651,Nic Claxton,Nic,1610612751,BKN,23.0,4,0,4,0.0,97.87666666666668,19,24,0.792,0,0,0.0,4,22,0.182,7,18,25,6,2,5,9,0,6,15,42,-9,121.0,0,0,101.0,169,186,52,186,132,101,128,7,162,187,162,118,54,175,72,94,90,117,151,77,23,1,66,76,116,126,97,44,3,108,BKN
201988,Patty Mills,Patty,1610612751,BKN,33.0,4,0,4,0.0,72.34,9,16,0.563,7,13,0.538,0,0,0.0,0,4,4,0,1,0,1,0,5,1,25,2,31.8,0,0,38.0,169,186,52,186,142,134,153,37,82,107,10,176,180,176,180,165,173,191,167,177,106,1,60,174,135,90,163,44,3,155,BKN
203552,Seth Curry,Seth,1610612751,BKN,31.0,4,0,4,0.0,132.23166666666663,22,39,0.564,12,23,0.522,2,3,0.667,2,8,10,12,3,1,3,2,15,4,58,-8,97.0,0,0,100.0,169,186,52,186,109,86,104,35,53,80,14,140,143,133,129,148,146,85,134,143,73,100,123,138,93,123,114,44,3,110,BKN
