player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
1630174,Aaron Nesmith,Aaron,1610612738,BOS,22.0,15,8,7,0.533,3.5,97.1,90.7,90.7,95.2,89.3,89.3,1.9,1.4,1.4,0.103,3.0,13.0,0.074,0.177,0.129,4.3,4.4,0.265,0.32,0.169,0.18,93.73,100.19,83.49,100.19,0.064,107,4,17,0.3,1.1,0.235,33,40,194,67,190,176,189,189,22,22,22,81,91,91,114,21,139,37,49,41,40,42,197,198,108,99,188,91,91,153,164,145,196,184,199,BOS
201143,Al Horford,Al,1610612738,BOS,36.0,23,14,9,0.609,35.4,109.5,111.0,111.0,103.2,105.1,105.1,6.3,5.9,5.9,0.143,2.62,24.4,0.043,0.209,0.129,9.3,9.2,0.645,0.663,0.127,0.131,97.72,96.17,80.14,96.17,0.131,1634,101,193,4.4,8.4,0.523,5,7,204,34,35,95,83,83,53,66,66,46,50,50,82,36,47,75,38,43,103,103,33,31,159,160,120,145,145,38,14,13,60,70,49,BOS
1628464,Daniel Theis,Daniel,1610612738,BOS,30.0,16,10,6,0.625,12.5,104.1,102.4,102.4,112.4,110.8,110.8,-8.2,-8.4,-8.4,0.094,1.0,14.3,0.067,0.186,0.129,14.3,14.4,0.618,0.633,0.143,0.148,99.84,101.39,84.5,101.39,0.096,420,30,51,1.9,3.2,0.588,29,21,162,26,135,146,149,149,139,119,119,150,152,152,125,123,121,42,44,42,173,178,43,51,139,141,88,79,79,81,70,86,121,138,30,BOS
1628401,Derrick White,Derrick,1610612738,BOS,27.0,23,13,10,0.565,25.4,105.2,106.1,106.1,103.3,104.6,104.6,1.8,1.5,1.5,0.163,2.1,21.1,0.014,0.099,0.058,10.0,10.1,0.438,0.494,0.171,0.176,98.7,97.69,81.4,97.69,0.074,1187,64,176,2.8,7.7,0.364,5,13,213,53,79,140,136,136,57,62,62,86,89,89,72,59,60,157,149,167,118,117,161,159,103,107,104,122,122,130,30,19,96,77,165,BOS
1629684,Grant Williams,Grant,1610612738,BOS,23.0,24,14,10,0.583,27.2,107.8,109.2,109.2,106.0,107.6,107.6,1.8,1.6,1.6,0.044,0.95,8.9,0.035,0.098,0.068,9.4,9.4,0.55,0.599,0.131,0.133,98.34,96.95,80.79,96.95,0.052,1312,65,150,2.7,6.3,0.433,1,7,213,39,75,112,109,109,78,88,88,82,87,87,176,138,160,95,151,139,106,108,82,72,150,155,107,130,130,172,29,32,98,91,110,BOS
1627759,Jaylen Brown,Jaylen,1610612738,BOS,25.0,24,14,10,0.583,38.3,108.6,110.7,110.7,104.8,106.3,106.3,3.9,4.4,4.4,0.167,1.15,13.4,0.037,0.138,0.089,11.7,11.6,0.542,0.581,0.265,0.269,97.56,95.94,79.95,95.94,0.126,1835,197,419,8.2,17.5,0.47,1,7,213,39,15,104,89,89,66,79,79,63,64,64,69,120,135,87,95,98,144,145,89,89,23,27,123,149,149,45,3,3,12,18,91,BOS
1628369,Jayson Tatum,Jayson,1610612738,BOS,24.0,24,14,10,0.583,41.0,108.4,110.2,110.2,103.5,105.5,105.5,4.9,4.7,4.7,0.263,1.48,18.6,0.025,0.132,0.08,12.6,12.6,0.507,0.562,0.288,0.294,98.3,96.58,80.48,96.58,0.131,1985,201,472,8.4,19.7,0.426,1,7,213,39,4,105,99,99,59,70,70,55,60,60,31,100,74,120,106,110,160,160,115,107,15,16,109,139,139,37,2,1,10,9,119,BOS
1629752,Juwan Morgan,Juwan,1610612738,BOS,25.0,9,6,3,0.667,1.6,83.0,71.0,71.0,93.7,83.9,83.9,-10.7,-12.9,-12.9,0.0,0.0,0.0,0.111,0.063,0.088,0.0,0.0,0.0,0.266,0.056,0.06,89.07,101.74,84.79,101.74,0.0,31,0,1,0.0,0.1,0.0,80,58,34,16,214,201,210,210,20,17,17,164,168,168,191,175,191,12,192,99,1,1,203,201,209,209,213,76,76,200,203,207,203,210,203,BOS
1628436,Luke Kornet,Luke,1610612738,BOS,26.0,9,4,5,0.444,2.1,106.8,100.0,100.0,95.7,81.0,81.0,11.1,19.0,19.0,0.1,1.0,16.7,0.048,0.19,0.119,16.7,16.7,0.875,0.875,0.116,0.123,92.24,103.71,86.42,103.71,0.129,39,3,4,0.3,0.4,0.75,80,87,139,103,206,123,159,159,24,14,14,31,20,20,118,123,87,67,41,51,193,194,9,9,167,167,204,55,55,39,169,188,188,206,8,BOS
1630238,Malik Fitts,Malik,1610612738,BOS,24.0,9,6,3,0.667,1.8,100.9,90.0,90.0,64.6,54.5,54.5,36.3,35.5,35.5,0.0,0.0,0.0,0.0,0.105,0.061,0.0,0.0,1.0,1.0,0.125,0.139,82.56,95.19,79.33,95.19,0.214,30,3,4,0.3,0.4,0.75,80,58,34,16,213,162,191,191,5,5,5,10,11,11,191,175,191,180,137,161,1,1,2,4,162,150,214,157,157,10,169,188,188,206,8,BOS
203935,Marcus Smart,Marcus,1610612738,BOS,28.0,21,12,9,0.571,36.2,108.1,110.4,110.4,106.2,107.9,107.9,1.9,2.5,2.5,0.258,2.37,25.5,0.026,0.095,0.061,10.8,10.8,0.491,0.529,0.206,0.209,98.89,97.06,80.88,97.06,0.092,1534,113,279,5.4,13.3,0.405,13,14,204,51,28,108,94,94,81,92,92,80,75,75,33,44,42,116,157,160,128,128,135,129,69,74,101,127,127,89,11,10,41,35,136,BOS
203917,Nik Stauskas,Nik,1610612738,BOS,28.0,13,8,5,0.615,1.8,107.6,98.0,98.0,81.3,71.2,71.2,26.3,26.8,26.8,0.333,0.0,22.2,0.0,0.154,0.08,0.0,0.0,0.375,0.472,0.259,0.277,90.43,101.35,84.46,101.35,0.158,49,3,12,0.2,0.9,0.25,40,40,139,29,212,116,169,169,11,7,7,14,13,13,12,175,55,180,77,111,1,1,181,165,28,23,209,81,81,20,169,160,199,194,194,BOS
1630202,Payton Pritchard,Payton,1610612738,BOS,24.0,24,14,10,0.583,12.9,114.7,112.5,112.5,103.0,103.2,103.2,11.7,9.3,9.3,0.184,4.22,25.0,0.036,0.111,0.076,5.9,5.9,0.539,0.545,0.165,0.172,96.07,96.88,80.73,96.88,0.09,622,43,102,1.8,4.3,0.422,1,7,213,39,133,40,66,66,50,51,51,27,30,30,63,5,43,90,131,120,53,53,94,118,116,113,152,133,133,100,51,47,124,113,120,BOS
1629057,Robert Williams III,Robert,1610612738,BOS,24.0,17,9,8,0.529,23.2,107.7,108.0,108.0,99.7,100.5,100.5,8.0,7.5,7.5,0.068,1.7,14.5,0.108,0.143,0.126,8.5,8.5,0.679,0.725,0.109,0.113,97.2,96.68,80.57,96.68,0.136,796,53,78,3.1,4.6,0.679,26,27,201,68,90,113,116,116,35,44,44,38,40,40,151,78,119,16,87,45,90,89,22,19,177,180,128,138,138,34,41,65,86,110,14,BOS
1630573,Sam Hauser,Sam,1610612738,BOS,24.0,7,3,4,0.429,2.1,93.3,82.1,82.1,58.2,50.0,50.0,35.1,32.1,32.1,0.333,0.0,28.6,0.0,0.063,0.033,0.0,0.0,0.375,0.512,0.172,0.19,82.35,94.77,78.97,94.77,0.145,28,1,4,0.1,0.6,0.25,97,98,52,105,205,188,199,199,4,4,4,11,12,12,12,175,28,180,192,204,1,1,181,144,101,87,215,165,165,28,194,188,201,201,194,BOS
