player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank,team
1627936,Alex Caruso,Alex,1610612741,CHI,28.0,4,1,3,0.25,113.43333333333334,103.8,9,0.078,0.107,5,0.263,4,0.364,32,24,26,98,-2.57,169,150,34,154,123,56,141,179,188,77,56,63,31,82,80,93,93,88,CHI
1630245,Ayo Dosunmu,Ayo,1610612741,CHI,22.0,5,1,4,0.2,85.68333333333334,103.8,9,0.103,0.141,1,0.071,0,0.0,28,22,27,90,-1.99,139,150,52,160,136,57,141,141,158,143,165,148,148,76,74,98,87,74,CHI
1629632,Coby White,Coby,1610612741,CHI,22.0,5,1,4,0.2,98.11666666666666,105.2,17,0.168,0.23,1,0.063,0,0.0,42,24,28,94,-2.35,139,150,52,160,131,68,98,59,71,143,168,148,148,98,80,102,91,83,CHI
201942,DeMar DeRozan,DeMar,1610612741,CHI,32.0,5,1,4,0.2,203.31666666666663,112.8,26,0.13,0.177,9,0.273,2,0.133,69,47,61,198,-5.64,139,150,52,160,67,136,70,109,119,40,53,86,105,146,139,158,155,148,CHI
1627884,Derrick Jones Jr.,Derrick,1610612741,CHI,25.0,5,1,4,0.2,59.115,104.8,4,0.068,0.095,1,0.1,0,0.0,22,13,9,40,-1.37,139,150,52,160,154,64,165,189,193,143,152,148,148,67,55,53,56,62,CHI
1629750,Javonte Green,Javonte,1610612741,CHI,28.0,5,1,4,0.2,71.625,94.3,7,0.089,0.123,9,0.692,0,0.0,33,23,21,80,-1.3,139,150,52,160,143,29,150,164,170,40,8,148,148,86,78,82,82,60,CHI
202696,Nikola Vučević,Nikola,1610612741,CHI,31.0,5,1,4,0.2,180.78,107.1,48,0.271,0.366,2,0.061,6,0.375,61,37,48,170,-4.42,139,150,52,160,78,83,40,18,22,127,170,43,29,129,118,138,139,126,CHI
1630172,Patrick Williams,Patrick,1610612741,CHI,20.0,5,1,4,0.2,152.81333333333333,114.8,21,0.139,0.189,5,0.208,3,0.25,50,31,54,162,-4.51,139,150,52,160,96,156,83,93,107,77,87,73,51,113,100,150,137,127,CHI
1628396,Tony Bradley,Tony,1610612741,CHI,24.0,2,0,2,0.0,7.783333333333333,63.2,4,0.267,0.364,0,0.0,0,0.0,4,4,2,8,0.0,194,186,16,186,200,6,165,19,23,177,177,148,148,30,29,17,16,6,CHI
202684,Tristan Thompson,Tristan,1610612741,CHI,31.0,5,1,4,0.2,38.21666666666667,110.7,6,0.15,0.207,1,0.25,0,0.0,12,12,13,40,-1.06,139,150,52,160,163,118,156,81,94,143,61,148,148,46,54,64,56,55,CHI
1628972,Troy Brown Jr.,Troy,1610612741,CHI,22.0,3,0,3,0.0,36.55,92.4,7,0.171,0.241,2,0.286,0,0.0,12,10,11,42,-0.61,188,186,34,186,166,27,150,58,64,127,45,148,148,46,50,58,58,45,CHI
203897,Zach LaVine,Zach,1610612741,CHI,27.0,4,1,3,0.25,152.56666666666666,109.3,21,0.132,0.181,3,0.143,1,0.077,40,38,35,138,-3.93,169,150,34,154,97,108,83,105,113,110,125,106,127,96,123,122,118,114,CHI
