player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1627742,Brandon Ingram,Brandon,1610612740,NOP,24.0,6,2,4,0.333,49.9,11.9,25.0,0.475,2.3,5.7,0.407,8.3,10.0,0.83,0.8,7.0,7.8,7.8,4.9,0.8,0.4,0.8,2.3,7.0,34.3,1.1,54.4,2,0,54.9,103,102,80,114,79,20,21,87,94,120,41,16,15,69,139,84,113,29,24,138,119,91,189,31,14,92,27,24,3,19
203468,CJ McCollum,CJ,1610612740,NOP,30.0,6,2,4,0.333,50.5,10.6,27.0,0.392,3.7,11.0,0.333,3.9,5.6,0.692,2.4,6.3,8.6,6.3,3.2,0.9,1.1,1.1,3.2,4.1,28.7,-2.2,51.1,0,0,51.2,103,102,80,114,62,28,12,152,38,26,94,64,56,128,71,110,101,50,63,135,63,69,153,83,30,116,37,44,3,32
1628984,Devonte' Graham,Devonte',1610612740,NOP,27.0,6,2,4,0.333,51.8,5.2,15.5,0.333,4.3,12.1,0.357,6.0,6.9,0.875,1.7,6.0,7.8,3.4,3.4,0.9,0.9,1.7,2.6,7.8,20.7,0.0,36.9,0,0,39.7,103,102,80,114,25,151,105,172,23,21,82,35,42,48,94,117,114,117,52,136,77,26,179,23,84,98,130,44,3,90
202066,Garrett Temple,Garrett,1610612740,NOP,36.0,1,1,0,1.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.3,20.0,0,0,16.7,207,150,215,1,216,203,211,203,162,187,162,176,180,176,180,4,17,191,186,177,148,158,197,191,206,205,200,44,3,205
1630529,Herbert Jones,Herbert,1610612740,NOP,23.0,6,2,4,0.333,50.4,4.7,9.8,0.477,1.1,2.7,0.417,3.8,4.9,0.773,1.8,2.7,4.5,2.4,1.8,2.4,1.1,0.4,4.9,3.6,14.3,-2.9,32.2,0,0,29.4,103,102,80,114,68,163,173,83,136,167,38,68,63,99,90,196,191,145,134,37,57,135,83,110,154,121,163,44,3,169
1629637,Jaxson Hayes,Jaxson,1610612740,NOP,22.0,6,2,4,0.333,50.6,8.5,15.2,0.56,0.0,1.8,0.0,4.3,6.7,0.636,2.4,6.7,9.1,0.6,2.4,0.0,1.2,1.8,6.7,5.5,21.3,-17.1,34.5,0,0,33.5,103,102,80,114,59,59,108,41,162,176,162,58,44,147,67,93,85,189,98,177,51,22,37,49,73,181,154,44,3,154
202685,Jonas Valančiūnas,Jonas,1610612740,NOP,30.0,6,2,4,0.333,51.1,9.6,19.9,0.485,0.3,1.8,0.167,5.8,7.6,0.769,9.6,15.5,25.1,5.3,3.5,1.2,0.3,1.5,5.0,6.1,25.4,-4.4,64.4,4,0,59.1,103,102,80,114,47,45,54,72,160,177,155,37,31,102,4,6,2,63,51,117,136,41,79,43,50,130,14,11,3,16
1630631,Jose Alvarado,Jose,1610612740,NOP,24.0,6,2,4,0.333,51.5,7.0,14.5,0.485,2.6,7.0,0.375,4.4,5.7,0.769,0.9,2.6,3.5,4.0,3.1,3.1,0.4,0.4,7.9,4.4,21.1,-12.8,38.8,0,0,38.3,103,102,80,114,33,93,116,73,74,93,69,55,53,102,137,197,202,98,69,19,118,136,24,70,78,164,109,44,3,103
1626204,Larry Nance Jr.,Larry,1610612740,NOP,29.0,6,2,4,0.333,49.0,8.3,14.7,0.564,0.8,3.4,0.222,3.4,4.2,0.818,7.2,6.0,13.2,4.2,2.3,1.1,0.8,0.4,5.7,4.2,20.8,6.4,46.2,0,0,42.6,103,102,80,114,104,63,113,35,150,160,141,75,83,75,6,116,34,91,106,123,86,143,59,82,83,50,65,44,3,74
1630230,Naji Marshall,Naji,1610612740,NOP,24.0,6,2,4,0.333,47.0,5.8,8.3,0.7,0.0,0.0,0.0,3.3,3.3,1.0,2.5,2.5,5.0,4.2,2.5,0.8,0.8,0.8,4.2,4.2,15.0,0.0,29.8,0,0,27.5,103,102,80,114,148,129,190,12,162,187,162,76,110,1,62,200,178,88,93,141,80,93,116,80,145,98,172,44,3,172
1630530,Trey Murphy III,Trey,1610612740,NOP,22.0,6,2,4,0.333,48.7,3.7,8.9,0.409,3.7,7.7,0.474,1.6,2.0,0.8,1.2,4.9,6.1,1.2,0.4,1.2,0.4,0.0,3.7,1.2,12.6,13.0,26.2,0,0,26.8,103,102,80,114,111,188,185,130,40,79,26,131,140,80,121,148,154,181,185,112,124,158,140,179,167,25,185,44,3,177
1626195,Willy Hernangomez,Willy,1610612740,NOP,28.0,1,1,0,1.0,31.9,16.7,66.7,0.25,0.0,16.7,0.0,0.0,0.0,0.0,33.3,0.0,33.3,0.0,0.0,0.0,0.0,0.0,16.7,0.0,33.3,-33.3,73.3,0,0,66.7,207,150,215,1,216,7,1,194,162,5,162,176,180,176,1,206,1,191,186,177,148,158,3,191,16,205,10,44,3,10
