player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,pct_dreb,stl,pct_stl,blk,pct_blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,def_ws,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,pct_dreb_rank,stl_rank,pct_stl_rank,blk_rank,pct_blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,def_ws_rank,team
1630598,Aaron Wiggins,Aaron,1610612760,OKC,23.0,50,13,37,0.26,1208.75,112.6,127,0.098,0.142,30,0.157,10,0.099,373,359,288,1176,2.79,289,400,518,526,230,438,261,434,435,252,400,321,404,348,391,360,379,277,OKC
1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,20.0,61,19,42,0.311,1232.705,106.1,245,0.189,0.268,39,0.192,38,0.309,412,325,242,1100,5.15,203,311,554,494,224,139,110,91,113,210,273,94,126,379,367,321,364,135,OKC
1629647,Darius Bazley,Darius,1610612760,OKC,22.0,69,19,50,0.275,1923.9133333333332,113.1,365,0.176,0.257,58,0.194,70,0.354,699,586,411,1994,4.11,110,311,591,514,103,460,44,125,128,107,268,28,89,534,543,447,530,195,OKC
202324,Derrick Favors,Derrick,1610612760,OKC,30.0,39,15,24,0.385,652.46,106.5,126,0.178,0.238,17,0.179,12,0.245,200,144,133,544,2.63,359,366,329,436,344,150,262,121,160,355,328,291,179,245,231,233,247,290,OKC
1630466,Gabriel Deck,Gabriel,1610612760,OKC,27.0,7,2,5,0.286,55.605,113.6,5,0.077,0.119,1,0.25,0,0.0,32,23,27,60,0.11,513,512,112,506,521,474,528,525,519,507,117,520,520,103,102,112,91,525,OKC
1630686,Georgios Kalaitzakis,Georgios,1610612760,OKC,23.0,13,8,5,0.615,213.47833333333327,124.9,15,0.074,0.115,11,0.379,2,0.1,83,76,85,246,-0.29,474,446,112,162,443,583,482,533,524,392,28,457,399,166,176,181,168,603,OKC
1629676,Isaiah Roby,Isaiah,1610612760,OKC,24.0,45,10,35,0.222,948.4233333333332,113.4,142,0.145,0.212,36,0.228,34,0.337,332,272,230,1044,1.96,329,427,495,552,288,470,246,202,208,221,177,105,101,320,333,309,347,334,OKC
1629658,Jaylen Hoard,Jaylen,1610612760,OKC,23.0,7,2,5,0.286,239.57166666666663,119.1,54,0.228,0.333,6,0.188,5,0.2,81,78,79,256,0.09,513,512,112,506,436,564,389,45,43,443,293,406,229,164,179,175,172,534,OKC
1630526,Jeremiah Robinson-Earl,Jeremiah,1610612760,OKC,21.0,49,15,34,0.306,1087.1083333333331,110.9,199,0.172,0.25,29,0.177,15,0.165,379,323,244,1066,3.01,296,366,484,498,253,352,164,133,145,264,335,251,283,354,365,323,354,260,OKC
1630581,Josh Giddey,Josh,1610612760,OKC,19.0,54,17,37,0.315,1700.3516666666667,109.4,323,0.175,0.256,51,0.188,20,0.12,581,512,362,1676,5.43,259,338,518,490,145,270,61,127,130,143,290,199,365,472,492,413,469,127,OKC
