player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
1627749,Dejounte Murray,Dejounte,1610612759,SAS,25.0,68,30,38,0.441,2365.931666666667,573,1241,0.462,96,294,0.327,196,247,0.794,80,483,563,627,180,138,23,58,138,225,1438,49,3357.1,39,13,3046.0,121,196,533,384,33,17,13,231,122,108,302,49,47,230,92,16,34,5,28,1,164,577,475,48,24,156,7,12,2,10,SAS
1630170,Devin Vassell,Devin,1610612759,SAS,21.0,71,29,42,0.408,1936.8866666666668,326,764,0.427,137,380,0.361,83,99,0.838,44,262,306,136,58,76,41,26,143,93,872,32,1736.2,1,0,1685.0,88,204,554,419,101,100,86,347,67,67,178,173,194,146,192,98,122,157,202,46,81,428,485,191,107,183,109,194,40,104,SAS
1629719,Devontae Cacok,Devontae,1610612759,SAS,25.0,15,5,10,0.333,121.01666666666668,21,31,0.677,0,0,0.0,4,7,0.571,8,34,42,6,3,8,7,2,16,7,46,-1,147.4,0,0,124.0,462,481,162,467,485,463,489,15,514,562,514,484,476,486,445,429,439,490,502,417,365,110,141,477,474,267,454,268,40,461,SAS
203926,Doug McDermott,Doug,1610612759,SAS,30.0,51,21,30,0.412,1223.24,215,465,0.462,108,256,0.422,40,51,0.784,18,97,115,64,43,13,6,23,79,44,578,-38,826.0,0,0,903.0,279,280,436,415,226,192,191,229,105,130,38,301,311,248,363,314,327,287,273,378,383,399,322,324,197,408,280,268,40,252,SAS
1627751,Jakob Poeltl,Jakob,1610612759,SAS,26.0,68,30,38,0.441,1969.65,410,663,0.618,1,1,1.0,94,190,0.495,262,372,634,189,109,45,118,39,212,192,915,117,2339.3,28,0,2065.0,121,196,533,384,98,63,114,40,476,538,1,149,84,521,4,43,17,105,91,171,5,514,590,66,97,99,45,23,40,68,SAS
1628537,Jaylen Morris,Jaylen,1610612759,SAS,26.0,3,0,3,0.0,16.033333333333335,0,6,0.0,0,2,0.0,2,4,0.5,0,2,2,2,1,0,0,1,2,2,2,8,6.4,0,0,6.0,547,580,72,580,568,578,549,578,514,517,514,511,503,510,557,554,563,533,536,554,520,70,47,529,570,225,577,268,40,574,SAS
1629111,Jock Landale,Jock,1610612759,SAS,26.0,54,24,30,0.444,588.7316666666667,101,204,0.495,29,89,0.326,34,41,0.829,63,75,138,45,31,10,14,12,53,46,265,-17,539.1,1,0,525.0,259,250,436,376,360,320,334,154,288,294,307,325,336,168,132,349,301,331,336,399,264,271,243,317,330,348,341,194,40,340,SAS
1630580,Joe Wieskamp,Joe,1610612759,SAS,22.0,29,11,18,0.379,205.14166666666668,20,56,0.357,14,43,0.326,7,13,0.538,4,10,14,9,2,4,3,2,14,7,61,0,110.3,0,0,112.0,409,415,239,442,447,464,452,509,359,367,308,451,435,502,480,497,499,467,516,469,432,110,133,477,458,262,474,268,40,470,SAS
1626196,Josh Richardson,Josh,1610612759,SAS,28.0,65,38,27,0.585,1599.7166666666667,234,534,0.438,102,246,0.415,96,108,0.889,42,143,185,115,66,56,29,25,116,88,666,138,1249.5,0,0,1238.0,160,111,379,204,162,173,163,312,113,145,45,145,177,57,200,244,238,184,183,118,129,416,426,204,159,87,187,268,40,185,SAS
1630563,Joshua Primo,Joshua,1610612759,SAS,19.0,50,22,28,0.44,965.04,101,270,0.374,42,137,0.307,44,59,0.746,32,81,113,81,57,20,23,10,79,67,288,-81,617.1,0,0,610.0,289,271,399,386,284,320,293,489,245,236,362,285,289,324,258,339,330,252,207,342,164,246,322,260,316,483,326,268,40,319,SAS
1628966,Keita Bates-Diop,Keita,1610612759,SAS,26.0,59,23,36,0.39,956.5483333333332,136,263,0.517,17,55,0.309,46,61,0.754,62,169,231,41,45,27,14,26,61,48,335,4,751.7,1,0,706.0,216,260,508,432,287,275,302,115,336,339,354,275,280,301,135,209,183,342,260,288,264,428,268,312,292,239,300,194,40,297,SAS
1629640,Keldon Johnson,Keldon,1610612759,SAS,22.0,75,33,42,0.44,2391.725,471,1011,0.466,159,399,0.398,177,234,0.756,80,377,457,158,92,58,14,63,148,188,1278,75,2187.4,6,0,2196.0,46,168,554,386,31,41,45,218,45,52,78,59,57,295,92,41,48,136,112,107,264,583,492,68,42,126,58,85,40,51,SAS
1629022,Lonnie Walker IV,Lonnie,1610612759,SAS,23.0,70,27,43,0.386,1612.3233333333333,311,764,0.407,111,353,0.314,116,148,0.784,18,163,181,152,71,44,19,27,98,91,849,-80,1412.2,0,0,1419.0,101,223,562,435,160,107,86,402,102,82,336,118,125,249,363,218,243,144,163,177,208,439,381,199,114,479,156,268,40,148,SAS
