player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
1631121,Bryce McGowens,Bryce,1610612766,CHA,20.0,46,16,30,0.348,786.9966666666667,80,202,0.396,26,80,0.325,60,80,0.75,20,73,93,54,43,15,6,19,48,69,246,-150,458.6,0,0,461.0,315,357,342,440,316,344,331,447,298,305,332,229,222,290,337,343,349,308,273,351,365,306,164,240,327,484,349,253,39,346,CHA
1628998,Cody Martin,Cody,1610612766,CHA,27.0,7,2,5,0.286,133.71166666666667,14,36,0.389,3,14,0.214,4,7,0.571,8,16,24,11,2,4,1,4,13,6,35,-26,93.3,0,0,83.0,482,491,61,465,456,467,458,463,418,414,459,456,453,465,417,454,448,438,491,448,466,116,81,457,468,327,464,253,39,467,CHA
1628372,Dennis Smith Jr.,Dennis,1610612766,CHA,25.0,54,19,35,0.352,1389.8433333333332,186,452,0.412,24,111,0.216,78,106,0.736,27,140,167,261,82,75,25,37,122,81,474,-70,1283.9,1,0,1126.0,270,324,420,438,204,230,202,416,307,263,456,193,189,327,298,248,260,74,155,51,154,429,370,216,237,404,180,192,39,207,CHA
202330,Gordon Hayward,Gordon,1610612766,CHA,33.0,50,20,30,0.4,1576.9016666666666,276,581,0.475,52,160,0.325,129,159,0.811,33,182,215,206,99,42,12,19,70,143,733,-108,1363.0,2,0,1314.0,294,310,342,407,173,144,143,219,223,211,332,117,126,189,264,180,202,100,118,181,278,306,231,118,143,449,174,155,39,177,CHA
1630550,JT Thor,JT,1610612766,CHA,20.0,69,22,47,0.319,968.775,95,238,0.399,39,123,0.317,33,47,0.702,36,116,152,36,44,22,23,13,66,37,262,-163,589.4,0,0,579.0,123,290,517,453,272,320,301,444,261,249,348,309,299,370,247,274,278,355,268,299,166,237,216,327,320,493,321,253,39,314,CHA
1630547,James Bouknight,James,1610612766,CHA,22.0,34,9,25,0.265,515.4666666666667,69,193,0.358,33,109,0.303,20,30,0.667,8,64,72,41,32,14,5,13,49,28,191,-97,363.9,0,0,375.0,385,426,256,479,364,358,339,496,276,268,376,364,361,403,417,358,373,341,325,361,385,237,168,372,357,440,376,253,39,369,CHA
1630539,Kai Jones,Kai,1610612766,CHA,22.0,46,13,33,0.283,549.6266666666667,67,120,0.558,4,19,0.211,19,26,0.731,37,86,123,15,31,17,30,8,65,24,157,-32,437.1,1,0,393.0,315,391,385,471,360,362,385,75,407,391,460,368,373,334,242,320,312,426,330,331,118,172,209,383,378,343,356,192,39,365,CHA
1626162,Kelly Oubre Jr.,Kelly,1610612766,CHA,27.0,48,16,32,0.333,1547.5116666666668,353,819,0.431,108,339,0.319,158,208,0.76,65,184,249,54,64,68,18,55,141,189,972,-278,1545.8,3,0,1555.0,302,357,377,442,180,104,86,357,107,82,347,91,81,276,128,178,172,308,200,70,207,495,406,73,102,522,149,130,39,137,CHA
1628424,Kobi Simmons,Kobi,1610612766,CHA,25.0,5,1,4,0.2,27.77166666666667,1,6,0.167,1,5,0.2,2,2,1.0,1,3,4,5,1,0,2,0,0,2,5,-19,22.3,0,0,19.0,499,507,45,505,518,526,519,530,459,468,461,476,484,1,499,514,513,480,506,513,440,1,1,489,522,310,516,253,39,517,CHA
1630163,LaMelo Ball,LaMelo,1610612766,CHA,21.0,36,13,23,0.361,1267.755,296,721,0.411,144,383,0.376,102,121,0.843,42,189,231,304,129,46,11,27,118,110,838,-150,1613.2,17,3,1631.0,373,391,226,429,217,125,106,420,59,61,157,149,171,131,219,169,189,51,69,155,298,375,359,167,117,484,140,39,9,132,CHA
1631109,Mark Williams,Mark,1610612766,CHA,21.0,43,18,25,0.419,827.975,160,251,0.637,0,0,0.0,67,97,0.691,93,211,304,18,40,28,45,20,94,76,387,-79,957.8,11,0,855.0,327,339,256,390,299,251,292,31,492,524,492,214,206,386,75,149,123,417,291,264,68,322,284,225,264,419,248,56,39,260,CHA
1630208,Nick Richards,Nick,1610612766,CHA,25.0,65,21,44,0.323,1217.675,197,313,0.629,1,1,1.0,137,183,0.749,147,269,416,38,59,11,71,38,154,159,532,-113,1275.2,14,0,1151.0,171,303,504,452,226,213,263,37,459,509,1,111,103,305,34,92,63,348,215,383,28,434,433,101,217,454,183,46,39,199,CHA
1629023,P.J. Washington,P.J.,1610612766,CHA,24.0,73,24,49,0.329,2379.563333333333,434,978,0.444,149,428,0.348,127,174,0.73,73,285,358,175,110,66,79,62,193,151,1144,-375,2161.1,3,0,2116.0,92,271,523,449,40,65,54,308,53,38,257,119,112,336,105,77,83,126,100,75,21,508,497,110,75,534,71,130,39,68,CHA
1629004,Svi Mykhailiuk,Svi,1610612766,CHA,26.0,32,16,16,0.5,467.9016666666666,77,173,0.445,42,99,0.424,26,39,0.667,15,38,53,53,24,15,4,11,23,30,222,20,398.1,0,0,408.0,392,357,153,264,374,347,348,304,252,280,46,338,330,403,367,400,398,311,359,351,412,217,114,366,341,176,366,253,39,359,CHA
1626179,Terry Rozier,Terry,1610612766,CHA,29.0,63,19,44,0.302,2220.9266666666667,493,1188,0.415,165,505,0.327,178,220,0.809,51,208,259,319,134,74,16,64,119,191,1329,-288,2254.3,1,0,2252.0,189,324,504,459,67,43,26,413,34,22,329,76,77,191,182,153,163,49,66,54,228,514,363,72,48,525,61,192,39,58,CHA
