player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
203952,Andrew Wiggins,Andrew,1610612744,GSW,28.0,13,6,7,0.462,34.0,2.4,2.7,1.5,7.8,10.6,9.8,9.4,32.5,1.2,0.8,3.5,3.2,31.0,35,43,184,101,46,47,21,59,35,166,183,166,45,17,173,211,37,40,GSW
1630237,Anthony Lamb,Anthony,1610612744,GSW,25.0,6,3,3,0.5,5.2,0.0,0.0,0.0,0.3,1.8,1.7,1.5,3.7,0.2,0.0,0.5,0.0,2.7,96,88,51,71,169,161,160,149,174,46,39,47,177,132,1,44,182,180,GSW
1628978,Donte DiVincenzo,Donte,1610612744,GSW,26.0,13,6,7,0.462,18.1,0.5,0.8,0.4,1.4,6.2,6.2,5.8,19.5,0.2,0.2,1.5,1.1,15.1,35,43,184,101,114,131,99,131,134,108,121,121,104,109,99,101,100,102,GSW
203110,Draymond Green,Draymond,1610612744,GSW,33.0,12,5,7,0.417,30.6,1.6,1.4,0.3,5.3,9.3,9.8,7.9,28.2,1.0,0.6,4.0,3.6,33.2,42,67,184,121,56,67,69,134,59,147,182,150,68,20,162,213,34,35,GSW
1627780,Gary Payton II,Gary,1610612744,GSW,30.0,12,5,7,0.417,16.0,0.7,1.6,0.8,5.3,4.5,4.8,3.6,16.8,0.5,0.3,1.6,0.7,14.9,42,67,184,121,126,123,64,100,59,78,100,87,118,49,116,104,132,105,GSW
203210,JaMychal Green,JaMychal,1610612744,GSW,33.0,7,2,5,0.286,7.0,0.4,0.0,0.3,1.1,1.0,2.7,1.6,5.1,0.1,0.0,1.4,0.0,4.9,81,105,164,149,157,144,160,140,142,32,72,50,165,134,1,93,182,154,GSW
1630228,Jonathan Kuminga,Jonathan,1610612744,GSW,20.0,10,5,5,0.5,6.1,0.5,0.5,0.0,1.6,1.8,2.4,1.7,5.0,0.0,0.0,0.5,0.7,5.4,63,67,164,71,160,133,120,149,127,45,63,52,166,147,1,44,131,147,GSW
1629673,Jordan Poole,Jordan,1610612744,GSW,24.0,13,6,7,0.462,21.9,0.8,0.5,1.3,3.8,6.9,5.2,6.9,21.8,0.2,0.8,2.5,2.6,20.0,35,43,184,101,97,111,117,64,81,114,107,134,99,109,181,164,47,82,GSW
1626172,Kevon Looney,Kevon,1610612744,GSW,27.0,13,6,7,0.462,25.0,0.5,1.8,0.0,5.5,9.3,7.2,7.2,28.5,0.4,0.5,2.8,1.4,29.1,35,43,184,101,87,131,58,149,56,148,145,140,65,77,149,183,83,47,GSW
202691,Klay Thompson,Klay,1610612744,GSW,33.0,13,6,7,0.462,36.0,1.5,2.5,3.0,2.8,11.3,11.0,10.5,36.3,0.3,0.5,2.2,1.6,27.4,35,43,184,101,38,68,29,15,92,175,197,177,26,89,156,144,70,53,GSW
1630541,Moses Moody,Moses,1610612744,GSW,21.0,12,6,6,0.5,13.4,1.3,1.3,0.3,1.5,4.1,3.8,3.1,11.7,0.3,0.1,1.5,0.8,12.0,42,43,182,71,133,84,80,134,130,75,88,81,138,82,86,95,126,122,GSW
1631116,Patrick Baldwin Jr.,Patrick,1610612744,GSW,20.0,3,1,2,0.333,3.8,0.0,0.0,0.0,0.0,0.7,1.0,0.7,4.0,0.0,0.0,0.0,0.0,1.7,175,132,36,127,178,161,160,149,177,24,26,28,169,147,1,1,182,189,GSW
201939,Stephen Curry,Stephen,1610612744,GSW,35.0,13,6,7,0.462,37.9,4.9,2.7,3.2,9.8,12.8,11.3,10.8,39.8,0.5,1.0,2.6,4.5,46.9,35,43,184,101,25,5,21,14,21,195,199,183,11,60,185,177,20,13,GSW
