player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
1627863,Danuel House Jr.,Danuel,1610612755,PHI,30.0,7,3,4,0.429,42.01833333333333,9,21,0.429,1,10,0.1,1,1,1.0,0,12,12,1,1,0,0,2,4,1,20,-25,34.9,0,0,34.0,81,88,71,109,154,136,140,108,132,119,151,151,162,1,165,117,126,161,150,159,147,115,65,152,144,178,148,58,6,149,PHI
1629001,De'Anthony Melton,De'Anthony,1610612755,PHI,25.0,11,7,4,0.636,274.16333333333336,31,81,0.383,19,49,0.388,6,8,0.75,14,22,36,18,8,13,9,6,20,10,87,4,215.2,0,0,204.0,46,35,71,23,48,66,59,148,29,36,51,91,96,96,42,80,67,62,74,23,24,163,154,85,63,59,56,58,6,58,PHI
203473,Dewayne Dedmon,Dewayne,1610612755,PHI,33.0,1,0,1,0.0,5.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,1,0,0,-4,0.2,0,0,1.0,203,189,12,189,204,189,200,189,153,163,153,162,164,162,165,182,187,184,150,159,147,1,31,182,194,97,209,58,6,202,PHI
1627788,Furkan Korkmaz,Furkan,1610612755,PHI,25.0,3,1,2,0.333,11.266666666666667,0,2,0.0,0,1,0.0,2,2,1.0,0,1,1,1,1,0,0,1,0,2,2,-1,3.7,0,0,4.0,175,132,36,127,185,189,192,189,153,163,153,128,139,1,165,182,187,161,150,159,147,83,1,136,185,82,194,58,6,191,PHI
1627777,Georges Niang,Georges,1610612755,PHI,30.0,11,7,4,0.636,157.26166666666666,18,36,0.5,12,26,0.462,0,0,0.0,0,4,4,2,5,0,2,2,16,1,48,-14,56.8,0,0,70.0,46,35,71,23,97,104,108,54,58,77,24,162,164,162,165,152,161,151,95,159,84,115,138,152,102,148,132,58,6,123,PHI
1630531,Jaden Springer,Jaden,1610612755,PHI,20.0,4,1,3,0.25,16.91,4,4,1.0,0,0,0.0,1,2,0.5,0,0,0,0,1,1,0,0,2,1,9,3,11.0,0,0,11.0,155,132,51,151,172,155,173,1,153,182,153,151,139,145,165,198,201,184,150,141,147,1,42,152,159,63,172,58,6,172,PHI
1629667,Jalen McDaniels,Jalen,1610612755,PHI,25.0,8,5,3,0.625,101.50833333333334,8,20,0.4,3,9,0.333,0,0,0.0,3,13,16,5,3,1,0,0,8,1,19,14,45.7,0,0,45.0,73,67,51,30,121,141,141,135,116,123,82,162,164,162,111,111,115,124,121,141,147,1,93,152,146,42,140,58,6,141,PHI
201935,James Harden,James,1610612755,PHI,33.0,11,7,4,0.636,427.195,72,183,0.393,31,82,0.378,48,55,0.873,6,62,68,91,35,20,4,15,28,46,223,-40,478.1,5,0,461.0,46,35,71,23,29,31,25,143,20,22,59,17,18,50,86,26,31,8,12,12,56,208,172,17,24,207,21,7,6,22,PHI
203954,Joel Embiid,Joel,1610612755,PHI,29.0,9,5,4,0.556,336.4033333333333,66,153,0.431,5,28,0.179,76,84,0.905,16,72,88,24,35,6,25,11,27,60,213,-6,412.6,5,0,392.0,70,67,71,50,41,36,33,106,104,69,144,7,8,35,33,16,19,54,12,66,3,196,171,12,27,114,25,7,6,29,PHI
1626149,Montrezl Harrell,Montrezl,1610612755,PHI,29.0,2,2,0,1.0,6.95,0,3,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,-3,1.2,0,0,1.0,184,105,1,1,193,189,183,189,153,182,153,162,164,162,165,182,187,184,182,159,147,1,1,182,194,90,202,58,6,202,PHI
