player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1629717,Armoni Brooks,Armoni,1610612751,BKN,26.0,10,3,7,0.3,48.8,7.0,21.6,0.326,5.2,15.0,0.344,0.5,0.9,0.5,3.3,5.2,8.5,2.3,1.4,0.5,0.5,1.9,1.4,0.5,19.7,13.1,34.8,0,0,37.6,493,489,464,452,102,271,90,527,17,8,282,512,508,494,140,342,231,469,466,534,406,40,550,542,242,26,430,257,38,334
1627732,Ben Simmons,Ben,1610612751,BKN,27.0,15,7,8,0.467,47.3,5.7,9.7,0.581,0.0,0.0,0.0,0.8,2.0,0.4,4.1,11.6,15.7,11.3,3.6,1.6,1.2,0.4,4.7,2.8,12.1,-5.0,52.7,3,0,44.7,467,440,456,349,344,406,525,55,498,541,498,491,415,523,95,33,42,14,78,214,173,475,154,296,502,369,102,135,38,178
1630560,Cam Thomas,Cam,1610612751,BKN,22.0,66,23,43,0.348,48.0,12.2,27.5,0.442,3.3,9.2,0.364,6.6,7.7,0.856,0.6,4.3,5.0,4.4,2.9,1.0,0.4,1.8,3.2,6.3,34.3,-4.7,48.3,0,0,49.8,170,270,46,425,233,31,9,323,127,135,213,32,44,102,503,442,481,248,155,424,447,48,402,37,21,364,162,257,38,96
1629661,Cameron Johnson,Cameron,1610612751,BKN,28.0,58,21,37,0.362,48.5,8.4,18.8,0.446,4.2,10.7,0.391,2.6,3.3,0.789,1.7,5.9,7.6,4.2,1.7,1.5,0.5,1.0,3.2,2.8,23.5,-2.3,43.0,1,0,43.4,232,289,86,416,155,174,149,308,54,73,120,256,273,240,294,262,290,267,406,247,414,242,404,285,145,311,256,190,38,198
1641727,Dariq Whitehead,Dariq,1610612751,BKN,19.0,2,1,1,0.5,43.6,1.8,9.1,0.2,0.0,5.5,0.0,1.8,3.6,0.5,0.0,7.3,7.3,5.5,0.0,0.0,1.8,1.8,0.0,1.8,5.5,-40.0,27.8,0,0,21.8,555,538,546,300,552,556,542,552,498,356,498,354,237,494,545,171,312,178,550,539,81,45,556,433,557,563,527,257,38,549
1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,22.0,61,25,36,0.41,48.5,8.9,15.5,0.571,0.2,0.8,0.267,4.0,6.5,0.61,8.5,12.0,20.5,4.5,3.7,1.3,2.3,1.5,6.9,5.6,21.9,3.4,60.2,6,0,54.2,206,247,99,378,154,151,273,62,484,508,426,127,73,463,10,21,6,242,70,342,53,90,31,65,194,160,28,93,38,50
203471,Dennis Schröder,Dennis,1610612751,BKN,30.0,80,30,50,0.375,48.7,7.9,18.2,0.435,2.7,7.2,0.375,3.5,4.2,0.836,0.8,4.0,4.7,9.6,3.0,1.2,0.3,1.3,3.2,3.6,22.0,-2.5,43.7,8,0,42.1,23,201,26,407,129,204,169,355,213,242,168,170,198,132,472,474,500,31,132,350,464,150,399,196,189,314,238,73,38,221
1628372,Dennis Smith Jr.,Dennis,1610612751,BKN,26.0,56,19,37,0.339,49.0,6.8,15.6,0.435,1.5,5.0,0.294,2.0,2.7,0.741,2.3,5.3,7.6,9.4,3.1,3.1,0.6,1.1,5.6,2.3,17.1,-1.7,48.3,3,0,43.0,252,307,86,430,73,300,266,353,379,375,394,334,333,338,214,324,291,37,117,22,362,212,76,367,348,300,164,135,38,206
1627827,Dorian Finney-Smith,Dorian,1610612751,BKN,31.0,68,28,40,0.412,49.0,5.4,12.9,0.421,3.0,8.5,0.348,0.8,1.2,0.717,2.8,5.3,8.0,2.7,1.5,1.4,1.0,0.5,3.8,1.2,14.7,-2.7,34.0,0,0,33.1,148,221,67,375,77,428,403,401,167,170,267,485,496,366,179,328,254,414,450,270,234,462,285,502,428,321,438,257,38,433
1631367,Jacob Gilyard,Jacob,1610612751,BKN,25.0,41,12,29,0.293,49.3,4.2,10.6,0.4,3.6,8.9,0.405,0.1,0.1,1.0,0.6,2.6,3.2,9.7,2.1,2.3,0.4,0.4,2.8,1.0,12.2,-12.1,36.5,0,0,34.1,346,384,179,456,46,511,500,442,101,149,76,528,536,1,505,540,550,29,308,66,457,491,466,514,500,507,390,257,38,407
1630592,Jalen Wilson,Jalen,1610612751,BKN,23.0,43,14,29,0.326,49.2,5.6,13.2,0.425,1.8,5.5,0.324,2.8,3.4,0.826,3.5,6.2,9.7,3.3,1.4,0.8,0.3,0.8,3.6,2.5,15.8,-0.3,34.4,1,0,32.9,330,361,179,442,55,410,385,390,337,355,338,233,267,158,130,244,178,345,468,486,471,329,338,336,390,261,435,190,38,440
1628966,Keita Bates-Diop,Keita,1610612751,BKN,28.0,53,29,24,0.547,48.7,5.3,12.2,0.434,1.5,5.1,0.304,2.3,3.1,0.762,2.3,5.8,8.1,2.8,1.1,1.8,1.6,1.2,2.6,1.9,14.4,-4.0,37.5,0,0,33.7,278,213,263,268,133,443,437,358,365,374,367,283,294,284,220,277,251,404,509,142,108,190,490,418,438,353,360,257,38,415
