player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1629599,Amir Coffey,Amir,1610612746,LAC,27.0,70,46,24,0.657,1460.5966666666666,5.5,11.6,0.472,2.3,6.0,0.38,2.0,2.3,0.859,1.0,3.9,4.9,2.5,1.1,1.3,0.5,0.7,3.4,1.9,15.2,-3.0,29.1,1,0,28.5,128,52,263,92,194,428,465,215,266,314,153,333,379,95,435,484,494,450,513,307,414,391,386,416,414,331,520,190,38,512
1630538,Bones Hyland,Bones,1610612746,LAC,23.0,37,20,17,0.541,540.21,8.6,22.3,0.386,3.9,12.0,0.326,1.6,2.0,0.783,0.4,4.4,4.9,8.3,3.9,2.3,0.4,1.8,4.5,3.0,22.7,-5.8,45.1,1,0,45.1,368,297,359,275,354,172,82,472,76,46,334,394,408,252,532,430,492,74,60,72,455,58,184,262,177,379,214,190,38,177
1630527,Brandon Boston,Brandon,1610612746,LAC,22.0,32,17,15,0.531,345.1716666666667,9.0,22.4,0.404,1.9,7.2,0.269,3.2,4.6,0.697,2.6,4.6,7.2,1.8,3.3,1.5,1.1,1.8,5.6,3.1,23.2,-15.4,39.2,0,0,39.5,385,331,390,285,399,146,81,437,317,241,423,198,175,392,189,416,322,519,100,238,193,49,80,258,165,529,332,257,38,291
1628464,Daniel Theis,Daniel,1610612746,LAC,32.0,60,38,22,0.633,1014.84,7.4,13.9,0.532,1.2,3.4,0.366,1.8,2.4,0.76,4.0,7.5,11.5,2.9,2.0,1.0,2.4,1.3,6.0,2.7,17.8,2.9,44.2,1,0,40.3,215,124,302,117,262,247,367,100,406,451,207,360,374,288,100,169,126,395,341,449,50,157,63,307,319,172,236,190,38,274
1627826,Ivica Zubac,Ivica,1610612746,LAC,27.0,68,42,26,0.618,1794.4483333333333,9.0,13.9,0.649,0.0,0.0,0.0,3.2,4.4,0.723,5.2,11.5,16.7,2.5,2.1,0.6,2.2,1.1,4.8,3.7,21.2,4.9,51.4,23,0,46.1,148,88,230,142,142,150,363,23,498,541,498,196,184,357,41,35,34,452,311,524,58,232,154,194,208,123,128,25,38,158
201935,James Harden,James,1610612746,LAC,34.0,72,46,26,0.639,2469.668333333333,6.8,16.0,0.428,3.6,9.5,0.381,5.9,6.7,0.878,0.7,6.5,7.2,11.9,3.6,1.5,1.1,0.8,2.5,4.6,23.2,5.7,53.9,23,3,51.1,108,52,230,107,34,298,263,383,101,121,150,46,70,69,500,224,326,12,77,249,195,334,499,108,166,109,96,25,8,87
1641757,Jordan Miller,Jordan,1610612746,LAC,24.0,8,5,3,0.625,28.191666666666663,8.5,15.3,0.556,1.7,3.4,0.5,3.4,3.4,1.0,5.1,3.4,8.5,0.0,1.7,0.0,0.0,3.4,3.4,1.7,22.1,-22.1,30.6,0,0,32.3,510,466,529,128,539,175,291,79,352,449,9,179,267,1,48,513,233,553,416,539,520,9,368,450,188,548,499,257,38,453
1630563,Joshua Primo,Joshua,1610612746,LAC,21.0,2,2,0,1.0,10.266666666666667,4.7,14.0,0.333,0.0,4.7,0.0,0.0,0.0,0.0,4.7,0.0,4.7,0.0,18.7,0.0,4.7,4.7,0.0,0.0,9.4,-4.7,10.3,0,0,23.4,555,511,560,1,557,493,357,521,498,403,498,531,538,531,68,557,507,553,1,539,8,6,556,547,536,365,566,257,38,548
202695,Kawhi Leonard,Kawhi,1610612746,LAC,33.0,68,44,24,0.647,2330.04,12.6,23.9,0.525,2.9,6.9,0.417,5.2,5.9,0.885,1.7,6.8,8.6,5.0,2.5,2.3,1.2,0.6,2.0,5.9,33.2,8.1,59.1,4,1,56.7,148,72,263,103,53,22,49,109,183,255,48,68,98,62,286,197,230,207,231,75,168,411,533,55,30,68,44,120,16,40
1641738,Kobe Brown,Kobe,1610612746,LAC,24.0,44,27,17,0.614,393.9983333333333,4.5,11.0,0.411,1.7,5.8,0.292,0.1,0.2,0.5,2.4,5.1,7.6,3.0,1.1,1.5,0.7,0.7,6.0,0.4,10.8,-11.2,30.0,0,0,27.5,326,231,359,155,389,497,493,424,351,334,396,529,534,494,206,353,296,375,511,260,311,363,67,544,520,482,511,257,38,521
203486,Mason Plumlee,Mason,1610612746,LAC,34.0,46,29,17,0.63,673.9266666666666,6.2,10.9,0.569,0.0,0.4,0.0,5.0,7.1,0.707,4.3,12.4,16.7,3.9,2.6,1.0,1.2,1.0,4.8,6.1,17.4,0.8,47.3,2,0,42.4,315,213,359,121,324,372,496,67,498,515,498,73,59,378,86,22,35,300,201,448,169,262,151,48,336,230,179,157,38,225
1631217,Moussa Diabaté,Moussa,1610612746,LAC,22.0,11,7,4,0.636,64.23833333333333,7.5,14.2,0.526,0.0,0.0,0.0,6.7,10.5,0.643,11.2,6.7,17.9,3.0,1.5,3.7,0.7,2.2,3.0,7.5,21.7,-1.5,59.6,0,0,51.6,485,440,510,108,505,239,350,107,498,541,498,32,13,447,5,204,21,379,454,12,304,24,433,17,196,295,39,257,38,80
1626181,Norman Powell,Norman,1610612746,LAC,31.0,76,48,28,0.632,1990.378333333333,9.0,18.5,0.486,4.0,9.3,0.435,3.4,4.1,0.831,0.4,4.3,4.7,2.0,1.6,1.0,0.5,0.9,3.3,3.6,25.5,5.1,37.2,0,0,39.3,61,36,193,119,107,153,169,181,67,133,28,174,200,149,540,444,504,509,434,432,380,298,393,200,118,117,378,257,38,295
200782,P.J. Tucker,P.J.,1610612746,LAC,39.0,31,13,18,0.419,486.3133333333333,1.8,4.9,0.36,1.3,3.5,0.371,0.3,0.3,1.0,2.8,5.6,8.4,1.6,0.8,1.6,0.7,0.2,5.3,1.1,5.1,-2.4,23.6,0,0,20.9,392,377,348,371,363,557,564,502,402,446,188,522,532,1,178,299,238,535,542,215,329,517,106,510,560,312,547,257,38,553
202331,Paul George,Paul,1610612746,LAC,34.0,74,48,26,0.649,2501.766666666667,11.2,23.7,0.471,4.7,11.3,0.413,5.1,5.6,0.907,0.7,6.7,7.4,5.0,2.9,2.2,0.7,1.1,3.9,4.5,32.1,8.8,54.2,3,0,54.9,87,36,230,100,31,58,54,220,36,60,60,70,113,46,489,203,304,206,145,87,322,236,280,116,40,55,91,135,38,55
201566,Russell Westbrook,Russell,1610612746,LAC,35.0,68,45,23,0.662,1528.8166666666666,9.5,20.8,0.454,1.3,4.8,0.273,3.5,5.0,0.688,2.9,7.8,10.8,9.6,4.5,2.3,0.7,1.4,3.8,3.8,23.7,3.3,55.6,8,1,51.5,148,66,292,88,183,117,112,275,398,396,418,172,144,401,166,146,154,32,30,69,318,134,290,174,147,163,74,73,16,83
1629611,Terance Mann,Terance,1610612746,LAC,27.0,75,47,28,0.627,1872.8916666666669,6.5,12.6,0.515,1.8,5.2,0.348,2.0,2.4,0.832,2.2,4.3,6.5,3.0,1.2,1.1,0.4,0.7,3.7,2.0,16.9,1.3,32.5,2,0,31.2,76,45,193,126,129,335,425,118,332,368,268,329,362,148,228,448,364,372,488,403,447,355,304,406,356,211,465,157,38,472
1629875,Xavier Moon,Xavier,1610612746,LAC,29.0,14,7,7,0.5,119.25,6.0,18.5,0.326,0.8,6.8,0.118,0.4,0.8,0.5,3.2,4.0,7.2,8.5,2.0,1.2,1.2,0.0,3.2,1.2,13.3,-14.9,39.9,0,0,34.6,475,440,464,300,468,384,170,527,437,259,490,516,515,494,146,471,321,65,335,364,172,525,404,497,477,528,318,257,38,397
