player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
1629678,Admiral Schofield,Admiral,1610612753,ORL,27.0,23,15,8,0.652,3.7,0.4,1.1,0.385,0.3,0.7,0.375,0.0,0.1,0.0,0.1,0.6,0.7,0.3,0.2,0.0,0.0,0.1,0.4,0.1,1.1,-0.6,2.4,0,0,2.5,420,347,456,98,539,543,534,475,414,447,168,531,531,531,523,513,526,524,507,538,520,463,516,522,540,304,547,257,38,540,ORL
1641710,Anthony Black,Anthony,1610612753,ORL,20.0,69,39,30,0.565,16.9,1.7,3.6,0.466,0.5,1.4,0.394,0.7,1.2,0.613,0.5,1.5,2.0,1.3,0.8,0.5,0.3,0.2,1.6,1.1,4.6,-0.5,10.6,0,0,10.1,138,117,168,236,298,366,382,231,329,374,113,318,270,462,364,374,376,284,269,311,280,363,251,248,359,293,371,257,38,371,ORL
1631216,Caleb Houstan,Caleb,1610612753,ORL,21.0,59,31,28,0.525,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.3,0.1,0.0,1.0,0.3,4.3,-0.5,7.4,0,0,8.1,225,193,193,292,363,420,392,471,181,187,182,425,455,199,366,469,453,482,482,445,495,524,406,476,382,300,447,257,38,420,ORL
1629643,Chuma Okeke,Chuma,1610612753,ORL,25.0,47,24,23,0.511,9.2,0.9,2.4,0.357,0.5,1.7,0.28,0.1,0.1,0.571,0.4,1.3,1.7,0.4,0.3,0.2,0.1,0.0,0.4,0.1,2.3,-1.5,5.6,0,0,5.6,312,257,292,298,458,488,472,507,346,327,411,517,512,479,409,410,419,500,450,476,395,518,515,531,486,371,490,257,38,485,ORL
1630175,Cole Anthony,Cole,1610612753,ORL,24.0,81,47,34,0.58,22.4,4.1,9.4,0.435,1.1,3.4,0.338,2.2,2.7,0.826,0.8,3.0,3.8,2.9,1.6,0.8,0.5,0.4,2.2,2.0,11.6,1.4,22.7,3,0,22.0,18,45,113,207,213,157,137,352,198,181,288,96,100,161,233,173,193,130,111,172,191,232,117,124,146,150,169,135,38,165,ORL
1630532,Franz Wagner,Franz,1610612753,ORL,22.0,72,44,28,0.611,32.5,7.3,15.2,0.482,1.3,4.6,0.281,3.8,4.4,0.85,1.0,4.3,5.3,3.7,1.9,1.1,0.4,1.1,2.3,3.8,19.7,2.8,34.1,0,0,33.0,108,72,193,158,67,52,54,192,161,114,408,39,41,117,169,82,97,92,74,68,226,25,85,39,53,89,61,257,38,66,ORL
203914,Gary Harris,Gary,1610612753,ORL,29.0,54,35,19,0.648,24.0,2.4,5.5,0.441,1.4,3.8,0.371,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.6,0.9,0.3,0.1,1.7,0.7,6.9,1.7,14.3,0,0,13.9,271,155,337,102,196,285,266,325,150,145,192,344,346,297,384,419,420,233,356,117,308,445,226,372,262,135,297,257,38,288,ORL
1629048,Goga Bitadze,Goga,1610612753,ORL,24.0,62,34,28,0.548,15.4,2.0,3.4,0.603,0.0,0.2,0.143,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.7,0.5,1.2,0.3,1.7,1.3,5.0,0.4,16.8,5,0,14.3,200,165,193,265,331,322,403,39,487,502,478,247,222,442,62,199,131,295,298,306,24,336,222,222,341,215,247,104,38,275,ORL
1630591,Jalen Suggs,Jalen,1610612753,ORL,23.0,75,43,32,0.573,27.0,4.5,9.5,0.471,2.0,5.1,0.397,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.8,1.4,0.6,0.3,2.7,2.4,12.6,0.6,24.7,0,0,24.5,76,79,137,221,146,144,134,221,74,85,98,150,147,296,290,253,278,144,87,15,113,267,39,91,128,196,143,257,38,134,ORL
1641724,Jett Howard,Jett,1610612753,ORL,20.0,18,9,9,0.5,3.7,0.6,1.7,0.333,0.4,1.4,0.28,0.1,0.2,0.5,0.1,0.3,0.4,0.3,0.2,0.1,0.1,0.0,0.2,0.2,1.6,0.2,3.1,0,0,3.2,450,412,444,300,536,520,511,521,379,373,412,505,496,494,539,537,545,514,524,514,444,525,545,514,518,232,535,257,38,526,ORL
204060,Joe Ingles,Joe,1610612753,ORL,36.0,68,42,26,0.618,17.2,1.5,3.3,0.436,1.0,2.4,0.435,0.4,0.5,0.824,0.3,1.8,2.1,3.0,1.0,0.6,0.1,0.1,1.3,0.5,4.4,2.4,12.5,0,0,11.9,148,88,230,142,291,406,408,347,217,261,29,400,422,165,465,331,369,128,222,241,487,502,337,434,377,103,335,257,38,333,ORL
1628371,Jonathan Isaac,Jonathan,1610612753,ORL,26.0,58,35,23,0.603,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.0,1.4,0.72,1.3,3.2,4.5,0.5,0.5,0.7,1.2,0.3,1.1,1.2,6.8,3.1,18.3,0,0,16.4,232,155,292,165,322,275,297,125,287,302,168,226,217,362,123,159,138,472,404,191,21,323,389,236,273,73,227,257,38,240,ORL
1630284,Kevon Harris,Kevon,1610612753,ORL,27.0,2,1,1,0.5,3.0,1.0,1.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5,0.0,2.0,0.0,3.5,0,0,3.5,555,538,546,300,552,460,519,12,498,541,498,531,538,531,545,449,493,474,385,539,520,525,268,547,498,254,523,257,38,520,ORL
1628365,Markelle Fultz,Markelle,1610612753,ORL,26.0,43,25,18,0.581,21.2,3.6,7.6,0.472,0.1,0.4,0.222,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1.2,1.0,0.3,0.6,1.5,0.9,7.8,0.3,18.6,0,0,16.5,330,247,348,204,230,192,194,212,470,476,449,371,357,392,117,320,258,142,187,96,247,124,266,293,232,224,222,257,38,238,ORL
1629021,Moritz Wagner,Moritz,1610612753,ORL,27.0,80,46,34,0.575,17.7,4.2,6.9,0.601,0.5,1.4,0.33,2.1,2.6,0.814,1.5,2.9,4.3,1.2,1.2,0.5,0.3,0.5,2.0,2.4,10.9,1.2,18.9,3,0,18.4,23,52,113,218,280,155,209,41,348,365,327,104,109,189,91,195,149,316,176,327,305,172,154,94,163,163,218,135,38,214,ORL
1631094,Paolo Banchero,Paolo,1610612753,ORL,21.0,80,46,34,0.575,35.0,8.0,17.6,0.455,1.5,4.4,0.339,5.1,7.0,0.725,1.0,5.9,6.9,5.4,3.1,0.9,0.6,1.1,1.9,4.8,22.6,0.0,40.3,16,2,39.3,23,52,113,218,24,34,29,271,138,126,287,17,11,355,165,34,52,41,15,133,129,21,173,23,32,253,31,43,10,32,ORL
1630243,Trevelin Queen,Trevelin,1610612753,ORL,27.0,14,5,9,0.357,11.8,1.0,2.7,0.368,0.2,1.2,0.176,0.6,0.9,0.75,0.2,1.2,1.4,1.3,0.5,0.5,0.4,0.0,1.1,0.8,2.9,-0.6,8.6,0,0,7.5,475,466,444,419,401,460,449,498,428,385,471,337,340,307,492,428,451,292,385,314,243,525,399,340,458,312,419,257,38,436,ORL
1628976,Wendell Carter Jr.,Wendell,1610612753,ORL,25.0,55,30,25,0.545,25.6,4.1,7.7,0.525,1.2,3.1,0.374,1.7,2.4,0.694,2.0,4.9,6.9,1.7,1.2,0.6,0.5,0.4,2.2,2.5,11.0,0.9,24.1,9,0,23.1,258,201,242,270,175,158,184,110,193,198,178,141,118,394,50,58,51,219,166,238,162,213,108,86,159,177,150,64,38,149,ORL
