player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank,team
1629599,Amir Coffey,Amir,1610612746,LAC,27.0,72,41,31,0.569,1748.0,0.15,0.168,0.167,0.233,0.208,0.18,0.157,0.087,0.109,0.104,0.092,0.077,0.133,0.043,0.166,0.168,0.144,0.177,95,83,395,214,137,391,323,340,188,250,215,296,472,520,529,481,43,464,500,250,151,354,281,LAC
1627732,Ben Simmons,Ben,1610612746,LAC,28.0,51,26,25,0.51,1120.0,0.133,0.127,0.115,0.0,0.0,0.061,0.068,0.24,0.271,0.265,0.458,0.307,0.207,0.24,0.092,0.222,0.132,0.1,275,240,300,262,252,461,479,528,499,542,498,491,183,107,126,11,536,244,171,97,343,396,522,LAC
203992,Bogdan Bogdanović,Bogdan,1610612746,LAC,32.0,54,33,21,0.611,1348.0,0.183,0.179,0.196,0.284,0.284,0.114,0.103,0.077,0.142,0.126,0.198,0.195,0.169,0.087,0.102,0.232,0.136,0.181,258,166,253,153,207,237,282,224,98,90,389,436,492,414,459,214,374,358,424,115,372,388,255,LAC
1642353,Cam Christie,Cam,1610612746,LAC,19.0,13,10,3,0.769,59.0,0.192,0.163,0.238,0.143,0.333,0.087,0.154,0.158,0.214,0.197,0.25,0.083,0.385,0.143,0.125,0.129,0.143,0.146,489,419,39,51,517,205,352,109,356,25,457,302,320,208,239,132,57,17,310,158,53,360,406,LAC
1627884,Derrick Jones Jr.,Derrick,1610612746,LAC,28.0,77,48,29,0.623,1873.0,0.16,0.186,0.173,0.156,0.17,0.128,0.144,0.224,0.132,0.154,0.058,0.115,0.212,0.193,0.159,0.214,0.149,0.174,43,30,362,132,112,331,251,316,336,343,355,331,202,447,364,547,130,222,225,234,320,339,295,LAC
1629234,Drew Eubanks,Drew,1610612746,LAC,28.0,61,25,36,0.41,746.0,0.149,0.189,0.145,0.014,0.01,0.169,0.202,0.382,0.323,0.337,0.143,0.161,0.105,0.52,0.274,0.201,0.223,0.164,201,252,455,384,322,393,231,436,488,523,247,188,78,50,56,327,284,519,29,463,277,150,329,LAC
1627826,Ivica Zubac,Ivica,1610612746,LAC,28.0,80,50,30,0.625,2624.0,0.192,0.251,0.2,0.0,0.0,0.174,0.209,0.536,0.383,0.418,0.146,0.156,0.104,0.404,0.248,0.187,0.248,0.213,16,23,383,127,13,204,74,215,499,542,232,174,10,18,8,322,267,520,77,426,213,109,142,LAC
201935,James Harden,James,1610612746,LAC,35.0,79,50,29,0.633,2789.0,0.286,0.22,0.259,0.32,0.336,0.478,0.437,0.09,0.207,0.179,0.463,0.398,0.22,0.214,0.273,0.156,0.352,0.272,23,23,362,113,5,23,137,59,50,21,7,12,469,223,294,9,564,191,201,461,109,32,48,LAC
1641757,Jordan Miller,Jordan,1610612746,LAC,25.0,37,21,16,0.568,420.0,0.175,0.174,0.177,0.077,0.123,0.207,0.205,0.225,0.125,0.151,0.189,0.178,0.185,0.122,0.235,0.168,0.197,0.168,361,280,189,216,395,268,298,297,449,434,164,184,199,471,373,232,335,304,349,406,150,212,317,LAC
202695,Kawhi Leonard,Kawhi,1610612746,LAC,33.0,37,26,11,0.703,1180.0,0.28,0.282,0.293,0.262,0.263,0.26,0.262,0.162,0.22,0.208,0.167,0.241,0.241,0.15,0.129,0.139,0.294,0.277,361,240,128,70,238,33,32,22,130,126,102,107,310,196,212,277,460,141,291,169,71,66,43,LAC
1641738,Kobe Brown,Kobe,1610612746,LAC,25.0,40,25,15,0.625,272.0,0.134,0.159,0.153,0.092,0.13,0.047,0.056,0.279,0.275,0.277,0.212,0.129,0.137,0.148,0.111,0.204,0.118,0.131,342,252,179,127,434,455,365,402,437,421,515,511,142,101,115,192,181,455,301,129,287,426,468,LAC
1627739,Kris Dunn,Kris,1610612746,LAC,31.0,74,45,29,0.608,1783.0,0.126,0.123,0.137,0.166,0.181,0.025,0.028,0.15,0.161,0.159,0.216,0.139,0.328,0.173,0.084,0.308,0.056,0.113,71,56,362,157,131,484,497,458,319,317,538,541,341,355,348,188,211,39,249,87,508,540,503,LAC
201587,Nicolas Batum,Nicolas,1610612746,LAC,36.0,78,47,31,0.603,1367.0,0.087,0.092,0.098,0.236,0.199,0.033,0.032,0.165,0.173,0.172,0.128,0.084,0.209,0.247,0.04,0.205,0.04,0.099,35,36,395,165,201,554,530,547,179,275,531,537,303,310,313,369,59,237,168,52,294,548,526,LAC
1626181,Norman Powell,Norman,1610612746,LAC,32.0,60,39,21,0.65,1958.0,0.255,0.261,0.267,0.357,0.328,0.299,0.293,0.051,0.122,0.106,0.114,0.181,0.188,0.051,0.313,0.157,0.269,0.277,206,100,253,99,96,56,62,49,24,30,75,75,535,481,526,401,344,295,489,507,112,87,44,LAC
1631116,Patrick Baldwin Jr.,Patrick,1610612746,LAC,22.0,24,3,21,0.125,107.0,0.151,0.209,0.167,0.481,0.299,0.034,0.047,0.152,0.282,0.24,0.054,0.2,0.176,0.182,0.095,0.175,0.051,0.199,432,508,253,545,493,376,161,344,5,70,529,523,334,92,165,550,385,333,238,101,177,543,188,LAC
201988,Patty Mills,Patty,1610612746,LAC,36.0,29,12,17,0.414,321.0,0.15,0.146,0.167,0.299,0.284,0.09,0.078,0.056,0.08,0.074,0.163,0.153,0.22,0.111,0.063,0.18,0.121,0.153,412,393,202,381,423,389,414,342,78,91,452,481,525,555,561,289,254,190,373,64,195,421,375,LAC
1642280,Trentyn Flowers,Trentyn,1610612746,LAC,20.0,6,4,2,0.667,27.0,0.194,0.222,0.262,0.0,0.118,0.25,0.214,0.167,0.143,0.148,0.0,0.067,0.0,0.0,0.0,0.267,0.182,0.204,524,493,23,84,542,196,133,56,499,445,115,164,296,406,387,558,31,541,519,1,449,246,168,LAC
