player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
202692,Alec Burks,Alec,1610612748,MIA,33.0,49,26,23,0.531,17.6,0.236,0.764,0.152,0.045,0.742,0.107,0.106,0.11,0.107,0.556,0.444,0.955,0.045,0.861,0.139,115,271,0.424,293,240,283,247,320,540,27,539,235,23,368,386,469,540,318,230,231,267,74,484,309,294,373,MIA
203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,60,27,33,0.45,30.7,0.585,0.415,0.456,0.072,0.362,0.108,0.182,0.156,0.384,0.504,0.496,0.869,0.131,0.63,0.37,376,839,0.448,206,232,428,346,88,237,330,309,127,288,365,122,258,329,364,189,347,152,369,189,83,74,282,MIA
1628389,Bam Adebayo,Bam,1610612748,MIA,27.0,78,36,42,0.462,34.3,0.801,0.199,0.654,0.116,0.168,0.07,0.178,0.12,0.538,0.605,0.395,0.886,0.114,0.646,0.354,540,1113,0.485,35,136,517,327,32,88,479,115,60,447,460,132,439,166,264,289,328,171,352,206,27,32,164,MIA
1630558,Davion Mitchell,Davion,1610612748,MIA,26.0,74,25,49,0.338,27.4,0.557,0.443,0.473,0.024,0.429,0.189,0.098,0.172,0.449,0.281,0.719,0.821,0.179,0.484,0.516,223,476,0.468,71,252,548,436,137,275,292,296,343,213,103,415,178,244,511,42,378,121,487,71,186,196,217,MIA
1630696,Dru Smith,Dru,1610612748,MIA,27.0,14,8,6,0.571,19.2,0.508,0.492,0.345,0.0,0.552,0.08,0.103,0.138,0.345,0.4,0.6,0.875,0.125,0.645,0.355,31,61,0.508,482,445,76,210,289,347,220,435,456,110,433,402,365,373,450,100,338,157,355,202,445,459,110,MIA
1629130,Duncan Robinson,Duncan,1610612748,MIA,31.0,74,30,44,0.405,24.1,0.271,0.729,0.245,0.012,0.698,0.109,0.057,0.152,0.233,0.76,0.24,0.884,0.116,0.841,0.159,290,663,0.437,71,196,524,387,202,526,41,513,412,36,358,506,284,485,91,461,333,166,100,458,121,112,321,MIA
1629312,Haywood Highsmith,Haywood,1610612748,MIA,28.0,74,35,39,0.473,24.6,0.404,0.596,0.377,0.021,0.559,0.146,0.064,0.199,0.356,0.667,0.333,0.978,0.022,0.821,0.179,179,391,0.458,71,149,486,311,189,452,115,406,353,107,222,488,99,358,187,353,178,321,114,444,236,234,253,MIA
1641815,Isaiah Stevens,Isaiah,1610612748,MIA,24.0,3,3,0,1.0,1.9,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,549,508,1,1,567,350,209,553,456,499,530,544,534,551,544,537,496,350,554,537,558,558,558,MIA
1631170,Jaime Jaquez Jr.,Jaime,1610612748,MIA,24.0,66,32,34,0.485,20.7,0.742,0.258,0.618,0.032,0.195,0.144,0.187,0.114,0.586,0.443,0.557,0.892,0.108,0.521,0.479,213,462,0.461,156,179,441,303,261,107,460,135,306,431,232,106,460,135,424,129,322,177,459,99,196,206,237,MIA
1630528,Josh Christopher,Josh,1610612748,MIA,23.0,14,9,5,0.643,5.0,0.645,0.355,0.643,0.0,0.214,0.393,0.143,0.179,0.643,0.556,0.444,1.0,0.0,0.636,0.364,11,31,0.355,482,434,64,103,528,193,374,119,456,419,8,258,157,104,318,230,1,350,362,195,497,491,504,MIA
