player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank,team
1631260,AJ Green,AJ,1610612749,MIL,25.0,73,44,29,0.603,22.7,113.5,114.0,114.0,106.9,107.6,107.6,6.6,6.4,6.4,0.086,2.7,18.6,0.011,0.087,0.051,6.9,6.9,0.612,0.621,0.123,0.127,101.39,100.84,84.03,100.84,0.058,3487,182,424,2.5,5.8,0.429,86,62,362,164,220,150,149,149,110,122,122,85,94,94,406,90,252,532,442,489,85,85,62,87,496,499,280,312,312,484,231,220,310,298,353,MIL
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,67,39,28,0.582,14.6,110.9,110.6,110.6,111.9,112.1,112.1,-0.9,-1.5,-1.5,0.109,1.43,23.8,0.066,0.114,0.091,16.6,16.6,0.553,0.554,0.115,0.118,101.45,101.48,84.56,101.48,0.051,2071,94,197,1.4,2.9,0.477,147,100,349,201,378,257,266,266,316,316,316,276,287,287,331,378,113,138,316,222,546,549,212,323,519,524,272,257,257,508,329,335,430,454,186,MIL
1626171,Bobby Portis,Bobby,1610612749,MIL,30.0,49,30,19,0.612,25.4,113.3,114.1,114.1,110.0,110.8,110.8,3.3,3.4,3.4,0.126,1.82,13.2,0.071,0.235,0.156,7.2,7.2,0.52,0.542,0.234,0.239,101.89,101.2,84.33,101.2,0.131,2625,277,595,5.7,12.1,0.466,293,196,226,150,174,157,146,146,240,266,266,156,156,156,288,255,417,121,33,49,100,101,335,364,84,89,233,291,291,63,137,135,87,93,224,MIL
201572,Brook Lopez,Brook,1610612749,MIL,37.0,80,47,33,0.588,31.8,114.1,114.8,114.8,111.6,112.7,112.7,2.5,2.2,2.2,0.078,1.7,13.5,0.046,0.107,0.078,7.9,7.9,0.599,0.624,0.157,0.159,101.07,100.24,83.53,100.24,0.087,5325,394,774,4.9,9.7,0.509,16,36,428,191,73,133,126,126,303,337,337,179,187,187,449,289,406,228,352,299,145,145,85,82,341,364,308,358,358,293,72,89,122,140,107,MIL
1641753,Chris Livingston,Chris,1610612749,MIL,21.0,21,15,6,0.714,5.0,90.8,89.6,89.6,105.2,102.2,102.2,-14.4,-12.6,-12.6,0.078,0.83,11.1,0.091,0.198,0.148,13.3,13.3,0.333,0.441,0.15,0.158,102.1,104.34,86.95,104.34,0.099,230,9,27,0.4,1.3,0.333,445,349,76,68,527,551,549,549,66,45,45,531,511,511,448,513,471,67,73,62,491,492,536,513,387,373,217,101,101,208,508,499,540,538,514,MIL
203081,Damian Lillard,Damian,1610612749,MIL,34.0,58,32,26,0.552,36.1,114.1,115.3,115.3,113.4,114.6,114.6,0.8,0.7,0.7,0.299,2.53,23.8,0.014,0.108,0.063,9.4,9.3,0.547,0.621,0.269,0.275,101.9,100.86,84.05,100.86,0.144,4407,444,992,7.7,17.1,0.448,223,179,315,228,12,130,108,108,387,420,420,226,223,223,33,111,114,512,342,404,260,256,233,86,42,41,231,309,309,34,57,48,38,31,287,MIL
1629018,Gary Trent Jr.,Gary,1610612749,MIL,26.0,74,44,30,0.595,25.6,116.0,115.9,115.9,113.5,114.0,114.0,2.5,1.9,1.9,0.064,2.07,10.6,0.011,0.074,0.044,5.1,5.1,0.568,0.591,0.168,0.173,100.96,100.75,83.96,100.75,0.07,3972,283,657,3.8,8.9,0.431,71,62,383,181,170,79,93,93,391,390,390,178,192,192,500,184,492,533,512,535,37,37,166,178,291,292,319,322,322,409,129,113,177,159,342,MIL
203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,30.0,67,40,27,0.597,34.2,117.7,118.9,118.9,110.4,111.7,111.7,7.3,7.2,7.2,0.339,2.1,19.2,0.067,0.266,0.172,9.1,9.1,0.607,0.625,0.346,0.352,101.24,100.18,83.48,100.18,0.21,4772,793,1319,11.8,19.7,0.601,147,89,334,177,36,52,42,42,257,302,302,75,77,77,18,174,233,135,14,31,235,233,70,79,2,2,297,366,366,2,2,11,1,9,39,MIL
1631123,Jamaree Bouyea,Jamaree,1610612749,MIL,25.0,5,4,1,0.8,12.3,117.6,118.5,118.5,117.3,117.8,117.8,0.3,0.6,0.6,0.213,1.25,30.3,0.019,0.058,0.041,24.2,24.5,0.542,0.581,0.163,0.162,101.34,100.75,83.95,100.75,0.067,130,6,12,1.2,2.4,0.5,535,493,10,32,417,53,45,45,506,508,508,234,224,224,110,426,43,474,548,549,564,564,253,222,317,347,284,323,323,430,517,528,460,480,125,MIL
1630579,Jericho Sims,Jericho,1610612749,MIL,26.0,53,34,19,0.642,11.9,112.6,111.5,111.5,110.8,109.1,109.1,1.9,2.4,2.4,0.068,1.0,23.1,0.114,0.196,0.156,23.1,23.1,0.634,0.639,0.074,0.077,97.45,98.7,82.25,98.7,0.07,1295,45,71,0.8,1.3,0.634,263,157,226,105,425,186,242,242,273,182,182,196,181,181,484,476,127,38,77,50,562,562,38,56,560,560,530,477,477,407,408,446,490,534,29,MIL
