player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank
1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,15,9,6,0.6,584.7666666666667,135,298,0.453,46,130,0.354,64,89,0.719,18,99,117,82,39,17,11,10,32,63,380,38,688.4,3,0,681.0,28,29,168,51,13,7,5,94,4,3,81,12,7,100,33,8,9,7,8,15,19,195,187,9,6,30,8,12,7,8
1628978,Donte DiVincenzo,Donte,1610612750,MIN,28.0,15,9,6,0.6,377.325,46,126,0.365,28,88,0.318,10,13,0.769,12,34,46,50,28,21,4,3,45,16,130,-62,307.2,0,0,304.0,28,29,168,51,32,47,35,165,19,11,109,76,75,86,48,51,52,17,20,12,60,126,203,64,47,208,40,48,7,35
1630183,Jaden McDaniels,Jaden,1610612750,MIN,24.0,15,9,6,0.6,497.0733333333333,87,169,0.515,21,55,0.382,25,28,0.893,27,57,84,23,18,19,13,8,50,25,220,77,433.3,2,0,412.0,28,29,168,51,21,17,20,45,35,42,60,36,43,30,9,26,19,51,35,14,12,187,208,43,21,10,21,21,7,22
1641740,Jaylen Clark,Jaylen,1610612750,MIN,23.0,5,3,2,0.6,28.40333333333333,4,5,0.8,0,1,0.0,3,4,0.75,2,5,7,1,1,2,0,0,2,4,11,0,25.9,0,0,23.0,115,88,24,51,170,156,181,14,164,168,164,124,124,90,138,145,150,172,163,122,160,1,41,124,158,97,160,48,7,162
1631169,Josh Minott,Josh,1610612750,MIN,22.0,5,3,2,0.6,22.65,2,8,0.25,1,6,0.167,0,0,0.0,0,0,0,2,2,0,1,0,1,2,5,-1,9.0,0,0,10.0,115,88,24,51,174,172,160,189,139,132,156,162,165,162,180,204,208,159,141,165,113,1,25,157,184,100,193,48,7,187
203944,Julius Randle,Julius,1610612750,MIN,30.0,15,9,6,0.6,533.255,115,229,0.502,30,78,0.385,66,75,0.88,27,61,88,74,49,12,2,14,45,63,326,40,535.6,2,1,546.0,28,29,168,51,19,10,13,48,13,18,58,9,13,35,9,20,18,10,3,33,81,204,203,9,9,29,16,21,2,12
1631159,Leonard Miller,Leonard,1610612750,MIN,21.0,3,3,0,1.0,12.933333333333334,6,8,0.75,1,1,1.0,0,0,0.0,3,2,5,0,1,0,0,0,0,0,13,3,18.0,0,0,19.0,176,88,1,1,193,143,160,16,139,168,1,162,165,162,116,177,164,192,163,165,160,1,1,188,153,87,176,48,7,169
1630568,Luka Garza,Luka,1610612750,MIN,26.0,5,3,2,0.6,18.53333333333333,6,6,1.0,1,1,1.0,0,0,0.0,3,0,3,0,0,0,0,0,1,0,13,-2,16.6,0,0,17.0,115,88,24,51,180,143,174,1,139,168,1,162,165,162,116,204,180,192,189,165,160,1,25,188,153,106,180,48,7,178
201144,Mike Conley,Mike,1610612750,MIN,37.0,15,9,6,0.6,356.1933333333333,29,96,0.302,20,60,0.333,12,13,0.923,12,32,44,50,12,9,3,3,21,19,90,55,241.8,0,0,228.0,28,29,168,51,36,72,52,185,39,36,95,72,75,27,48,57,56,17,61,45,68,126,164,57,68,20,54,48,7,58
1629675,Naz Reid,Naz,1610612750,MIN,25.0,15,9,6,0.6,374.59,56,110,0.509,25,63,0.397,19,25,0.76,16,55,71,25,28,11,14,6,43,28,156,1,325.7,0,0,327.0,28,29,168,51,33,35,44,46,27,30,52,52,49,88,37,29,29,47,20,37,8,173,200,39,35,90,35,48,7,31
1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,26.0,15,9,6,0.6,309.6533333333333,44,113,0.389,22,63,0.349,15,17,0.882,8,19,27,35,23,6,5,4,24,24,125,-10,219.9,0,0,231.0,28,29,168,51,44,51,43,149,30,30,88,61,64,34,75,88,81,30,26,69,49,149,172,46,51,133,59,48,7,56
1642265,Rob Dillingham,Rob,1610612750,MIN,20.0,3,1,2,0.333,16.416666666666668,3,8,0.375,1,2,0.5,1,2,0.5,0,2,2,7,0,0,0,0,1,3,8,-2,20.9,0,0,18.0,176,139,24,132,182,162,160,156,139,157,17,148,147,140,180,177,186,104,189,165,160,1,25,136,165,106,170,48,7,173
203497,Rudy Gobert,Rudy,1610612750,MIN,32.0,15,9,6,0.6,411.14666666666665,46,79,0.582,0,0,0.0,26,50,0.52,47,82,129,11,13,8,18,10,38,59,118,59,354.3,1,0,310.0,28,29,168,51,27,47,65,34,164,190,164,35,22,139,4,13,6,86,51,50,4,195,193,12,55,18,30,30,7,33
1630545,Terrence Shannon Jr.,Terrence,1610612750,MIN,24.0,9,4,5,0.444,57.06,13,27,0.481,3,8,0.375,12,12,1.0,1,9,10,3,3,4,0,2,9,9,41,4,66.5,0,0,65.0,63,73,155,99,146,115,122,73,116,127,63,72,83,1,156,124,134,149,128,89,160,109,96,92,109,84,124,48,7,124
