player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
1629626,Bol Bol,Bol,1610612756,PHX,25.0,36,10,26,0.278,12.5,1.0,0.8,0.8,2.2,5.8,3.8,4.9,13.1,0.7,0.0,0.6,0.5,13.4,370,419,315,470,411,322,348,324,352,226,161,212,403,89,1,67,442,350,PHX
203078,Bradley Beal,Bradley,1610612756,PHX,31.0,53,22,31,0.415,32.1,2.2,1.4,1.7,7.1,12.3,8.5,12.5,31.6,0.5,0.4,2.6,2.2,29.5,263,274,395,377,67,102,178,138,97,533,448,558,78,138,344,524,125,100,PHX
1628998,Cody Martin,Cody,1610612756,PHX,29.0,53,16,37,0.302,22.1,1.4,0.7,1.5,2.8,8.2,6.4,7.6,22.0,0.6,0.3,1.8,1.2,18.8,263,340,465,455,230,229,361,167,299,335,323,363,246,117,249,348,272,244,PHX
1631221,Collin Gillespie,Collin,1610612756,PHX,25.0,33,12,21,0.364,14.0,0.8,0.6,0.3,1.5,4.9,3.4,4.3,13.7,0.2,0.3,0.9,0.8,14.1,390,393,253,419,385,373,398,466,431,170,146,187,391,412,270,129,365,336,PHX
1627814,Damion Lee,Damion,1610612756,PHX,32.0,25,6,19,0.24,5.8,0.8,0.3,0.4,1.4,1.9,1.4,1.5,5.7,0.0,0.1,0.2,0.5,5.3,427,473,226,501,516,387,478,442,438,37,44,45,519,519,107,26,456,503,PHX
1626164,Devin Booker,Devin,1610612756,PHX,28.0,75,35,40,0.467,37.3,2.9,2.0,3.4,8.1,13.2,10.9,13.2,38.1,0.2,0.8,2.6,5.4,41.5,59,149,503,319,3,54,85,22,64,555,559,565,11,351,513,528,10,26,PHX
1628960,Grayson Allen,Grayson,1610612756,PHX,29.0,64,29,35,0.453,24.1,1.6,1.1,1.3,2.1,9.2,6.9,9.1,24.9,0.3,0.3,1.5,1.7,19.7,170,212,447,344,203,193,257,213,362,392,364,444,194,274,248,251,180,225,PHX
1641779,Jalen Bridges,Jalen,1610612756,PHX,24.0,8,1,7,0.125,3.8,0.0,0.0,0.0,0.0,0.6,0.9,0.3,3.8,0.0,0.0,0.0,0.4,1.2,516,539,90,545,548,534,531,530,551,9,24,7,546,519,1,1,478,564,PHX
201142,Kevin Durant,Kevin,1610612756,PHX,36.0,62,33,29,0.532,36.5,3.3,2.1,2.7,9.0,14.3,10.6,13.0,36.8,1.2,0.5,1.7,5.3,43.2,192,166,362,244,7,38,78,58,48,566,553,563,18,27,403,317,13,18,PHX
203486,Mason Plumlee,Mason,1610612756,PHX,35.0,74,33,41,0.446,17.6,0.8,1.0,0.3,3.4,6.7,4.9,6.4,17.6,0.6,0.4,2.1,1.5,17.0,71,166,512,352,321,389,268,478,254,267,229,289,319,109,309,415,203,281,PHX
1628420,Monté Morris,Monté,1610612756,PHX,29.0,45,21,24,0.467,12.7,0.5,0.5,0.6,1.7,5.0,3.9,4.2,12.8,0.1,0.3,0.5,0.6,10.5,318,280,291,319,404,464,438,384,409,177,174,178,409,495,274,62,406,407,PHX
1630208,Nick Richards,Nick,1610612756,PHX,27.0,57,17,40,0.298,22.0,0.9,2.9,0.6,6.9,9.0,6.6,8.5,22.6,1.0,0.9,2.5,2.1,22.6,232,323,503,459,231,348,29,383,103,385,333,403,238,52,526,509,131,176,PHX
1642345,Oso Ighodaro,Oso,1610612756,PHX,22.0,61,25,36,0.41,17.1,0.7,0.6,0.3,3.5,5.9,5.0,5.2,17.2,0.5,0.2,1.7,0.8,12.5,201,252,455,384,330,412,380,476,249,231,233,226,328,170,213,314,358,372,PHX
1626220,Royce O'Neale,Royce,1610612756,PHX,32.0,75,33,42,0.44,24.5,1.8,1.0,1.5,1.6,8.9,7.3,8.7,25.9,0.5,0.3,2.0,0.4,21.1,59,166,517,356,191,163,288,172,419,372,377,418,173,184,223,402,467,196,PHX
1642346,Ryan Dunn,Ryan,1610612756,PHX,22.0,74,32,42,0.432,19.1,1.2,1.1,0.9,3.2,6.4,5.7,5.8,18.2,0.5,0.3,2.2,0.4,15.3,71,179,517,363,293,261,248,287,263,251,279,262,309,132,250,445,477,318,PHX
1631102,TyTy Washington Jr.,TyTy,1610612756,PHX,23.0,16,4,12,0.25,7.4,0.6,0.1,0.3,0.9,1.8,2.8,1.8,8.8,0.0,0.0,0.3,0.3,5.0,469,493,146,489,494,427,523,460,484,33,106,54,475,519,1,27,521,508,PHX
1626145,Tyus Jones,Tyus,1610612756,PHX,29.0,81,36,45,0.444,26.8,1.6,0.8,1.2,2.9,9.8,8.1,9.9,28.4,0.1,0.3,0.8,0.9,22.8,12,136,529,353,152,203,326,235,294,427,420,475,138,463,281,106,318,171,PHX
203995,Vasilije Micić,Vasilije,1610612756,PHX,31.0,41,8,33,0.195,19.1,1.0,0.7,0.2,1.8,8.0,5.4,7.0,20.1,0.0,0.6,1.1,1.2,13.1,336,445,428,526,292,329,368,482,402,323,259,320,278,519,423,170,268,354,PHX
