player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
201942,DeMar DeRozan,DeMar,1610612758,SAC,35.0,77,38,39,0.494,48.2,3.4,2.4,1.1,8.6,15.8,13.3,13.7,47.1,0.6,1.0,2.6,5.5,48.0,43,110,486,288,145,214,288,465,266,132,209,141,347,350,348,84,60,167
1642269,Devin Carter,Devin,1610612758,SAC,23.0,36,18,18,0.5,47.6,3.4,3.1,3.5,6.5,13.8,12.0,14.4,44.0,0.5,0.6,4.7,5.7,41.8,370,312,211,266,245,228,169,153,378,55,89,205,472,385,173,427,54,274
1627734,Domantas Sabonis,Domantas,1610612758,SAC,29.0,70,36,34,0.514,48.1,3.9,5.9,1.9,17.1,16.4,12.7,12.9,46.9,0.5,1.2,4.5,5.5,62.5,118,136,441,259,182,134,25,382,28,172,127,105,365,370,417,401,61,18
203926,Doug McDermott,Doug,1610612758,SAC,33.0,42,21,21,0.5,46.9,1.9,1.2,2.5,1.4,11.8,10.6,10.3,45.9,0.3,0.4,4.1,0.4,26.9,330,280,253,266,376,460,482,307,543,19,45,32,411,470,100,341,552,545
1642403,Isaac Jones,Isaac,1610612758,SAC,24.0,40,19,21,0.475,46.6,3.1,3.8,2.8,15.6,18.3,10.3,14.3,45.7,1.5,2.0,4.6,4.6,38.3,342,302,253,308,416,278,109,266,51,368,41,189,417,110,544,409,114,366
1642384,Isaiah Crawford,Isaiah,1610612758,SAC,23.0,15,7,8,0.467,45.7,6.0,2.0,0.0,8.0,17.0,6.0,9.0,32.0,2.0,0.0,2.0,1.0,32.1,476,460,104,319,495,19,362,530,297,236,15,19,561,68,1,41,536,498
203109,Jae Crowder,Jae,1610612758,SAC,34.0,9,3,6,0.333,47.8,2.3,0.9,0.0,0.9,13.5,11.2,12.6,44.7,0.0,0.5,4.7,1.4,28.4,509,508,76,437,224,403,507,530,547,45,55,91,453,519,115,418,494,534
1631222,Jake LaRavia,Jake,1610612758,SAC,23.0,66,40,26,0.606,46.1,3.2,2.1,2.9,6.6,20.2,14.5,15.1,47.9,0.8,0.9,4.5,3.1,40.2,156,89,315,163,461,245,337,242,372,498,353,291,302,268,297,397,270,310
202685,Jonas Valančiūnas,Jonas,1610612758,SAC,33.0,81,23,58,0.284,47.4,1.8,7.6,0.3,18.0,20.3,14.1,15.9,48.4,1.4,1.2,5.6,5.2,61.2,12,265,567,468,302,470,6,524,19,504,302,364,266,123,426,503,74,22
1631099,Keegan Murray,Keegan,1610612758,SAC,24.0,76,36,40,0.474,48.1,3.2,2.1,3.4,6.9,16.1,13.4,12.5,46.5,1.3,0.5,3.4,1.5,37.7,51,136,503,309,171,256,347,170,359,146,228,88,384,151,137,218,488,381
1631165,Keon Ellis,Keon,1610612758,SAC,25.0,80,39,41,0.488,48.7,3.6,1.6,3.9,3.9,17.2,12.5,13.7,48.5,1.6,0.4,4.4,2.4,39.6,16,100,512,299,85,184,443,120,480,254,112,152,261,98,73,382,397,323
1628370,Malik Monk,Malik,1610612758,SAC,27.0,65,36,29,0.554,47.3,4.1,1.8,4.3,10.9,16.1,13.6,12.9,47.8,0.9,1.2,3.6,3.4,48.2,162,136,362,226,308,118,407,87,171,148,255,104,310,233,435,258,225,163
1628365,Markelle Fultz,Markelle,1610612758,SAC,27.0,21,9,12,0.429,48.8,2.7,0.8,2.9,10.1,17.2,10.1,13.8,45.6,0.5,0.5,3.2,0.8,38.9,445,434,146,365,76,354,519,233,200,262,36,156,424,362,143,171,544,352
1630222,Mason Jones,Mason,1610612758,SAC,26.0,10,4,6,0.4,48.3,3.2,5.3,6.4,17.0,18.1,9.6,12.8,29.8,1.1,0.0,3.2,3.2,55.6,503,493,76,389,135,253,50,12,31,348,31,98,563,183,1,173,259,68
1627746,Skal Labissiere,Skal,1610612758,SAC,29.0,4,2,2,0.5,44.3,0.0,0.0,0.0,7.4,18.5,0.0,18.5,22.2,0.0,0.0,3.7,0.0,37.4,541,525,23,266,544,534,531,530,330,394,1,520,567,519,1,273,556,391
1629056,Terence Davis,Terence,1610612758,SAC,28.0,1,1,0,1.0,52.6,0.0,0.0,0.0,0.0,13.3,0.0,0.0,66.7,0.0,0.0,0.0,0.0,18.0,562,539,1,1,4,534,531,530,551,40,1,1,2,519,1,1,556,563
1630678,Terry Taylor,Terry,1610612758,SAC,25.0,3,1,2,0.333,45.2,0.0,0.0,0.0,0.0,14.3,0.0,14.3,57.1,0.0,0.0,0.0,0.0,30.0,549,539,23,437,526,534,531,530,551,65,1,192,14,519,1,1,556,522
1626168,Trey Lyles,Trey,1610612758,SAC,29.0,69,34,35,0.493,48.1,2.6,2.9,2.3,4.8,16.7,13.5,13.3,47.0,0.8,0.4,3.1,2.8,39.4,129,157,447,292,175,369,192,334,445,200,230,123,360,253,105,156,307,328
203897,Zach LaVine,Zach,1610612758,SAC,30.0,74,32,42,0.432,47.4,4.6,2.4,6.0,11.0,17.0,14.1,15.8,52.9,0.2,0.9,2.2,4.2,46.8,71,179,517,363,299,74,290,18,164,243,306,354,68,489,285,53,151,188
