season_id,player_id,player,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
22016,202331,Paul George,1610612754,IND,Indiana Pacers,Transition,Offensive,0.559,75,0.147,1.123,0.492,0.142,0.126,0.123,0.016,0.494,0.585,3.4,3.8,1.2,2.5,1.3
22016,201952,Jeff Teague,1610612754,IND,Indiana Pacers,Transition,Offensive,0.246,82,0.162,0.948,0.511,0.152,0.227,0.133,0.014,0.46,0.541,2.6,2.4,0.8,1.6,0.8
22016,101139,CJ Miles,1610612754,IND,Indiana Pacers,Transition,Offensive,0.74,76,0.163,1.231,0.485,0.111,0.06,0.111,0.034,0.496,0.604,1.5,1.9,0.6,1.3,0.7
22016,101145,Monta Ellis,1610612754,IND,Indiana Pacers,Transition,Offensive,0.523,74,0.173,1.101,0.576,0.116,0.147,0.109,0.031,0.527,0.611,1.7,1.9,0.8,1.3,0.6
22016,1626167,Myles Turner,1610612754,IND,Indiana Pacers,Transition,Offensive,0.913,81,0.09,1.364,0.6,0.192,0.02,0.192,0.071,0.636,0.629,1.2,1.7,0.6,1.0,0.4
22016,203922,Glenn Robinson III,1610612754,IND,Indiana Pacers,Transition,Offensive,0.631,69,0.21,1.151,0.522,0.14,0.093,0.128,0.035,0.523,0.609,1.2,1.4,0.5,1.0,0.5
22016,201155,Rodney Stuckey,1610612754,IND,Indiana Pacers,Transition,Offensive,0.104,39,0.179,0.823,0.429,0.258,0.177,0.274,0.016,0.435,0.457,1.6,1.3,0.4,0.9,0.5
22016,201166,Aaron Brooks,1610612754,IND,Indiana Pacers,Transition,Offensive,0.042,65,0.102,0.718,0.333,0.051,0.256,0.051,0.0,0.282,0.463,0.6,0.4,0.1,0.4,0.3
22016,202730,Lavoy Allen,1610612754,IND,Indiana Pacers,Transition,Offensive,0.231,61,0.08,0.941,0.5,0.235,0.235,0.235,0.059,0.471,0.5,0.3,0.3,0.1,0.2,0.1
22016,202338,Kevin Seraphin,1610612754,IND,Indiana Pacers,Transition,Offensive,0.496,49,0.047,1.091,0.75,0.0,0.273,0.0,0.0,0.545,0.75,0.2,0.2,0.1,0.2,0.0
22016,2744,Al Jefferson,1610612754,IND,Indiana Pacers,Transition,Offensive,0.52,66,0.018,1.1,0.5,0.2,0.0,0.2,0.0,0.6,0.5,0.2,0.2,0.1,0.1,0.1
