season_id,player_id,player,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season,season_start,season_end
22017,2594,Kyle Korver,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.892,73,0.366,1.255,0.487,0.015,0.064,0.015,0.005,0.461,0.661,204,256,92,189,97,2017-18,2017,2018
22017,2747,JR Smith,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.422,80,0.142,0.929,0.359,0.051,0.051,0.04,0.03,0.354,0.462,99,92,33,92,59,2017-18,2017,2018
22017,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.202,59,0.054,0.8,0.298,0.02,0.06,0.02,0.02,0.28,0.415,50,40,14,47,33,2017-18,2017,2018
22017,203109,Jae Crowder,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.627,53,0.054,1.04,0.348,0.08,0.0,0.08,0.0,0.4,0.478,25,26,8,23,15,2017-18,2017,2018
22017,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.904,82,0.009,1.263,0.563,0.105,0.105,0.053,0.053,0.526,0.656,19,24,9,16,7,2017-18,2017,2018
22017,201145,Jeff Green,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.92,78,0.018,1.286,0.636,0.214,0.071,0.214,0.071,0.571,0.682,14,18,7,11,4,2017-18,2017,2018
22017,101112,Channing Frye,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.879,44,0.068,1.231,0.636,0.0,0.154,0.0,0.0,0.538,0.727,13,16,7,11,4,2017-18,2017,2018
22017,203918,Rodney Hood,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.819,21,0.059,1.154,0.5,0.077,0.0,0.077,0.0,0.538,0.542,13,15,6,12,6,2017-18,2017,2018
22017,202738,Isaiah Thomas,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.718,15,0.042,1.091,0.286,0.273,0.091,0.273,0.0,0.455,0.357,11,12,2,7,5,2017-18,2017,2018
22017,203903,Jordan Clarkson,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.104,28,0.047,0.688,0.333,0.063,0.063,0.063,0.063,0.313,0.333,16,11,5,15,10,2017-18,2017,2018
