season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22021,1630180,Saddiq Bey,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.552,82,0.325,1.005,0.361,0.057,0.044,0.057,0.009,0.374,0.508,5.3,5.3,1.7,4.8,3.1,DET
22021,203924,Jerami Grant,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.636,47,0.287,1.039,0.396,0.063,0.051,0.063,0.004,0.412,0.531,5.4,5.6,1.9,4.8,2.9,DET
22021,1630595,Cade Cunningham,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.512,64,0.172,0.987,0.367,0.022,0.03,0.013,0.0,0.37,0.498,3.6,3.5,1.3,3.4,2.2,DET
22021,1628402,Frank Jackson,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.49,53,0.364,0.98,0.366,0.044,0.049,0.044,0.005,0.373,0.492,3.8,3.8,1.3,3.5,2.2,DET
22021,202709,Cory Joseph,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.857,65,0.294,1.161,0.447,0.045,0.065,0.045,0.019,0.432,0.606,2.4,2.8,1.0,2.2,1.2,DET
22021,203585,Rodney McGruder,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.983,51,0.418,1.404,0.536,0.055,0.055,0.046,0.0,0.532,0.753,2.1,3.0,1.0,1.9,0.9,DET
22021,1628977,Hamidou Diallo,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.217,58,0.286,0.832,0.373,0.054,0.054,0.049,0.011,0.375,0.431,3.2,2.6,1.1,2.9,1.8,DET
22021,1630165,Killian Hayes,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.182,66,0.254,0.791,0.309,0.02,0.072,0.013,0.0,0.301,0.414,2.3,1.8,0.7,2.1,1.5,DET
22021,1626168,Trey Lyles,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.246,51,0.253,0.853,0.355,0.093,0.109,0.093,0.031,0.349,0.439,2.5,2.2,0.7,2.1,1.4,DET
22021,1628367,Josh Jackson,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.176,39,0.372,0.784,0.302,0.034,0.052,0.026,0.0,0.31,0.401,3.0,2.3,0.8,2.7,1.9,DET
22021,203482,Kelly Olynyk,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.448,40,0.21,0.963,0.364,0.025,0.025,0.025,0.0,0.358,0.494,2.0,2.0,0.7,1.9,1.2,DET
22021,1630587,Isaiah Livers,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.495,19,0.495,0.982,0.388,0.036,0.091,0.036,0.018,0.364,0.531,2.9,2.8,1.0,2.6,1.6,DET
22021,1630191,Isaiah Stewart,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.43,71,0.08,0.959,0.396,0.02,0.02,0.02,0.02,0.388,0.49,0.7,0.7,0.3,0.7,0.4,DET
22021,1628963,Marvin Bagley III,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.192,18,0.21,0.804,0.311,0.098,0.02,0.098,0.0,0.353,0.389,2.8,2.3,0.8,2.5,1.7,DET
22021,1630240,Saben Lee,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.099,37,0.187,0.696,0.286,0.022,0.065,0.0,0.0,0.283,0.357,1.2,0.9,0.3,1.1,0.8,DET
22021,1630296,Braxton Key,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.198,9,0.31,0.808,0.348,0.115,0.077,0.077,0.077,0.346,0.413,2.9,2.3,0.9,2.6,1.7,DET
22021,1630199,Cassius Stanley,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.173,9,0.411,0.783,0.318,0.043,0.043,0.043,0.043,0.304,0.386,2.6,2.0,0.8,2.4,1.7,DET
22021,1630691,Jamorko Pickett,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.091,13,0.464,0.692,0.24,0.0,0.038,0.0,0.0,0.231,0.36,2.0,1.4,0.5,1.9,1.5,DET
22021,1630568,Luka Garza,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.048,32,0.116,0.591,0.19,0.045,0.0,0.045,0.0,0.227,0.262,0.7,0.4,0.1,0.7,0.5,DET
22021,1628476,Derrick Walton Jr.,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.317,3,0.256,0.9,0.333,0.0,0.1,0.0,0.0,0.3,0.5,3.3,3.0,1.0,3.0,2.0,DET
22021,1629620,Justin Robinson,1610612765,DET,Detroit Pistons,Spotup,Offensive,0.023,5,0.333,0.5,0.167,0.0,0.0,0.0,0.0,0.167,0.25,2.4,1.2,0.4,2.4,2.0,DET
