season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
42021,1626172,Kevon Looney,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.475,22,0.43,1.408,0.821,0.122,0.122,0.122,0.041,0.714,0.821,49,69,32,39,7,GSW
42021,203110,Draymond Green,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.275,22,0.225,1.28,0.683,0.18,0.06,0.16,0.06,0.64,0.683,50,64,28,41,13,GSW
42021,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.425,22,0.115,1.405,0.765,0.167,0.048,0.167,0.024,0.762,0.765,42,59,26,34,8,GSW
42021,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.225,22,0.076,1.226,0.577,0.129,0.032,0.129,0.0,0.613,0.577,31,38,15,26,11,GSW
42021,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.15,22,0.04,1.182,0.55,0.136,0.0,0.136,0.045,0.591,0.55,22,26,11,20,9,GSW
42021,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.9,22,0.039,1.692,0.75,0.231,0.0,0.231,0.154,0.769,0.75,13,22,9,12,3,GSW
42021,1630228,Jonathan Kuminga,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.622,16,0.167,1.5,0.727,0.214,0.071,0.214,0.071,0.714,0.727,14,21,8,11,3,GSW
42021,202357,Nemanja Bjelica,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.8,15,0.227,1.6,0.778,0.2,0.0,0.2,0.1,0.8,0.778,10,16,7,9,2,GSW
42021,203490,Otto Porter Jr.,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.0,19,0.085,1.5,0.75,0.0,0.0,0.0,0.0,0.75,0.75,8,12,6,8,2,GSW
42021,1627780,Gary Payton II,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.0,12,0.153,1.222,0.571,0.222,0.0,0.111,0.0,0.667,0.571,9,11,4,7,3,GSW
42021,1630541,Moses Moody,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.0,13,0.147,1.6,0.75,0.2,0.0,0.2,0.0,0.8,0.75,5,8,3,4,1,GSW
42021,2738,Andre Iguodala,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.0,7,0.143,1.0,1.0,0.0,0.5,0.0,0.0,0.5,1.0,2,2,1,1,0,GSW
42021,1627814,Damion Lee,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.0,16,0.095,0.5,0.333,0.0,0.25,0.0,0.0,0.25,0.333,4,2,1,3,2,GSW
42021,1629308,Juan Toscano-Anderson,1610612744,GSW,Golden State Warriors,Cut,Offensive,0.0,14,0.053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,GSW
