season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22021,201580,JaVale McGee,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.96,74,0.028,0.571,0.286,0.1,0.24,0.1,0.0,0.29,0.286,0.3,0.2,0.1,0.2,0.1,PHX
22021,1630188,Jalen Smith,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.272,29,0.067,1.083,0.5,0.25,0.08,0.25,0.0,0.58,0.5,0.4,0.4,0.1,0.3,0.1,PHX
22021,1629013,Landry Shamet,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.928,69,0.068,0.667,0.304,0.17,0.1,0.17,0.03,0.37,0.304,0.4,0.3,0.1,0.3,0.2,PHX
22021,202687,Bismack Biyombo,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.063,36,0.053,1.313,0.667,0.38,0.12,0.31,0.06,0.69,0.667,0.4,0.6,0.2,0.3,0.1,PHX
22021,1626166,Cameron Payne,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.211,58,0.062,1.12,0.667,0.16,0.12,0.08,0.0,0.6,0.667,0.4,0.5,0.2,0.3,0.1,PHX
22021,101108,Chris Paul,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.847,65,0.063,0.757,0.524,0.14,0.32,0.11,0.03,0.38,0.524,0.6,0.4,0.2,0.3,0.2,PHX
22021,1629661,Cameron Johnson,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.744,66,0.063,0.833,0.423,0.11,0.17,0.11,0.0,0.42,0.423,0.5,0.5,0.2,0.4,0.2,PHX
22021,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.414,67,0.05,1.0,0.52,0.12,0.12,0.12,0.03,0.5,0.52,0.5,0.5,0.2,0.4,0.2,PHX
22021,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.613,58,0.044,0.9,0.452,0.18,0.08,0.15,0.02,0.45,0.452,0.7,0.6,0.2,0.5,0.3,PHX
22021,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.47,68,0.048,0.974,0.5,0.13,0.11,0.13,0.03,0.5,0.5,0.6,0.5,0.2,0.4,0.2,PHX
22021,1628969,Mikal Bridges,1610612756,PHX,Phoenix Suns,Postup,Defensive,0.508,82,0.039,0.953,0.5,0.23,0.14,0.19,0.02,0.49,0.5,0.5,0.5,0.2,0.3,0.2,PHX
