season_id,player_id,player,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,team
22022,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.804,76,0.19,1.298,0.693,0.213,0.106,0.206,0.04,0.667,0.693,1.9,2.4,0.9,1.3,0.4,LAC
22022,203486,Mason Plumlee,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.964,23,0.146,1.571,0.923,0.286,0.143,0.286,0.05,0.81,0.923,0.9,1.4,0.5,0.6,0.0,LAC
22022,201587,Nicolas Batum,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.302,78,0.062,1.0,0.5,0.071,0.214,0.036,0.0,0.429,0.65,0.4,0.4,0.1,0.3,0.1,LAC
22022,1629611,Terance Mann,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.92,81,0.028,1.389,0.643,0.111,0.111,0.111,0.0,0.611,0.75,0.2,0.3,0.1,0.2,0.1,LAC
22022,1626181,Norman Powell,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.378,60,0.02,1.053,0.563,0.053,0.105,0.105,0.05,0.474,0.594,0.3,0.3,0.2,0.3,0.1,LAC
22022,203496,Robert Covington,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.275,48,0.075,0.952,0.438,0.048,0.19,0.048,0.0,0.381,0.563,0.4,0.4,0.1,0.3,0.2,LAC
22022,202704,Reggie Jackson,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.586,52,0.019,1.167,0.444,0.167,0.083,0.167,0.0,0.5,0.556,0.2,0.3,0.1,0.2,0.1,LAC
22022,202694,Marcus Morris Sr.,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.047,65,0.03,0.636,0.294,0.091,0.136,0.091,0.0,0.273,0.353,0.3,0.2,0.1,0.3,0.2,LAC
22022,202331,Paul George,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.811,56,0.008,1.3,0.556,0.0,0.1,0.0,0.0,0.5,0.722,0.2,0.2,0.1,0.2,0.1,LAC
22022,1628379,Luke Kennard,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.136,35,0.045,0.818,0.4,0.0,0.091,0.0,0.0,0.364,0.45,0.3,0.3,0.1,0.3,0.2,LAC
